Time A,Detector A,
0.0005,3.1412,
0.0014,3.1412,
0.0115,3.1463,
0.019,3.1412,
0.0191,3.1412,
0.0247,3.1463,
0.0249,3.1361,
0.0291,3.1412,
0.03,3.1412,
0.0306,3.1463,
0.0491,3.1412,
0.0498,3.1412,
0.0649,3.1463,
0.0657,3.1412,
0.0783,3.1412,
0.0956,3.1361,
0.1471,3.1361,
0.1681,3.1361,
0.1891,3.1361,
0.1894,3.1412,
0.1968,3.131,
0.1973,3.1361,
0.198,3.1361,
0.1984,3.1259,
0.1986,3.1259,
0.1989,3.131,
0.1993,3.1259,
0.1996,3.1361,
0.1999,3.131,
0.2003,3.1259,
0.2006,3.131,
0.201,3.131,
0.2013,3.131,
0.2017,3.1259,
0.202,3.131,
0.2024,3.131,
0.2027,3.1361,
0.2031,3.131,
0.2034,3.1259,
0.2037,3.131,
0.2041,3.131,
0.2044,3.1259,
0.2048,3.131,
0.2051,3.131,
0.2055,3.1361,
0.2059,3.1259,
0.2063,3.131,
0.2066,3.131,
0.207,3.131,
0.2073,3.1259,
0.2081,3.131,
0.2085,3.1361,
0.2088,3.1361,
0.2091,3.131,
0.2095,3.131,
0.2099,3.131,
0.2102,3.1259,
0.2106,3.131,
0.2109,3.131,
0.2112,3.131,
0.2116,3.1361,
0.2119,3.131,
0.2123,3.1361,
0.2126,3.131,
0.213,3.131,
0.2133,3.131,
0.2137,3.131,
0.2143,3.1259,
0.2147,3.131,
0.215,3.131,
0.2153,3.1259,
0.2157,3.1259,
0.216,3.131,
0.2164,3.131,
0.2167,3.1259,
0.217,3.1259,
0.2174,3.131,
0.2177,3.131,
0.2181,3.131,
0.2184,3.1259,
0.2187,3.1259,
0.2191,3.131,
0.2194,3.1259,
0.2198,3.1259,
0.2202,3.131,
0.2205,3.131,
0.2208,3.131,
0.2212,3.1259,
0.2215,3.1259,
0.222,3.131,
0.2223,3.1208,
0.2227,3.1259,
0.223,3.131,
0.2233,3.1259,
0.2237,3.131,
0.2241,3.1361,
0.2245,3.131,
0.2248,3.1361,
0.2252,3.131,
0.2255,3.1361,
0.2258,3.131,
0.2262,3.131,
0.2265,3.1361,
0.2269,3.131,
0.2272,3.131,
0.2275,3.131,
0.2279,3.131,
0.2281,3.1259,
0.2282,3.1259,
0.2286,3.131,
0.2289,3.131,
0.2293,3.131,
0.2297,3.131,
0.2303,3.1259,
0.2306,3.131,
0.231,3.131,
0.2313,3.131,
0.2317,3.1361,
0.232,3.131,
0.2324,3.131,
0.2327,3.131,
0.2331,3.1259,
0.2334,3.1361,
0.2338,3.131,
0.2341,3.1361,
0.2347,3.131,
0.235,3.1361,
0.2354,3.131,
0.2357,3.131,
0.236,3.131,
0.2364,3.131,
0.2367,3.131,
0.2371,3.1361,
0.2374,3.1361,
0.2378,3.131,
0.2382,3.1259,
0.2385,3.131,
0.2389,3.131,
0.2393,3.131,
0.2396,3.131,
0.24,3.131,
0.2403,3.131,
0.2407,3.131,
0.241,3.131,
0.2413,3.1259,
0.2417,3.1361,
0.242,3.131,
0.2424,3.1361,
0.2427,3.131,
0.2431,3.131,
0.2434,3.1361,
0.2438,3.131,
0.2441,3.1361,
0.2445,3.1361,
0.2448,3.131,
0.2452,3.1361,
0.2455,3.131,
0.2462,3.131,
0.2464,3.1259,
0.2465,3.1208,
0.2467,3.1208,
0.2471,3.1259,
0.2475,3.131,
0.2478,3.131,
0.2482,3.1259,
0.2492,3.1208,
0.2496,3.1157,
0.2499,3.1157,
0.2503,3.1208,
0.2507,3.1208,
0.251,3.1259,
0.2514,3.131,
0.2518,3.1259,
0.2521,3.1259,
0.2525,3.1259,
0.2528,3.1259,
0.2532,3.1208,
0.2535,3.1259,
0.254,3.1259,
0.2543,3.1259,
0.2547,3.131,
0.255,3.131,
0.2554,3.131,
0.2557,3.131,
0.2561,3.131,
0.2564,3.131,
0.2567,3.131,
0.2571,3.131,
0.2574,3.1259,
0.2578,3.131,
0.2581,3.131,
0.2585,3.131,
0.2588,3.131,
0.2592,3.131,
0.2596,3.131,
0.2599,3.1361,
0.2602,3.131,
0.2606,3.131,
0.2609,3.131,
0.2613,3.131,
0.2616,3.131,
0.2621,3.1208,
0.2624,3.131,
0.2627,3.1259,
0.2631,3.131,
0.2634,3.131,
0.2638,3.1361,
0.2641,3.1259,
0.2645,3.131,
0.2648,3.131,
0.2653,3.131,
0.2656,3.131,
0.2659,3.131,
0.2663,3.1259,
0.2666,3.131,
0.267,3.131,
0.2673,3.1361,
0.2676,3.1259,
0.268,3.1259,
0.2683,3.131,
0.2687,3.131,
0.2689,3.131,
0.2691,3.1361,
0.2692,3.1259,
0.27,3.1157,
0.2703,3.1259,
0.2706,3.1259,
0.271,3.1259,
0.2713,3.1259,
0.2717,3.131,
0.272,3.131,
0.2724,3.1259,
0.2727,3.131,
0.2731,3.131,
0.2734,3.131,
0.2737,3.131,
0.2741,3.131,
0.2744,3.131,
0.2748,3.131,
0.2751,3.131,
0.2755,3.131,
0.2758,3.131,
0.2762,3.1259,
0.2765,3.1259,
0.2796,3.1259,
0.28,3.1208,
0.2803,3.131,
0.2808,3.1259,
0.2812,3.131,
0.2815,3.131,
0.2819,3.131,
0.2822,3.131,
0.2826,3.131,
0.2829,3.131,
0.2833,3.131,
0.2836,3.131,
0.284,3.131,
0.2843,3.131,
0.2847,3.131,
0.285,3.1361,
0.2854,3.1259,
0.2859,3.1208,
0.2862,3.1259,
0.2866,3.131,
0.2869,3.131,
0.2873,3.131,
0.2876,3.131,
0.288,3.131,
0.2883,3.131,
0.2887,3.131,
0.289,3.131,
0.2898,3.1259,
0.2901,3.1361,
0.2904,3.131,
0.2908,3.1259,
0.2911,3.131,
0.2915,3.131,
0.2918,3.1259,
0.2922,3.131,
0.2925,3.131,
0.2929,3.131,
0.2932,3.1259,
0.2936,3.131,
0.294,3.1208,
0.2944,3.1259,
0.2947,3.131,
0.295,3.131,
0.2954,3.131,
0.2957,3.131,
0.2961,3.131,
0.2964,3.1259,
0.2975,3.1157,
0.2978,3.1259,
0.2982,3.131,
0.2985,3.1259,
0.2989,3.131,
0.2992,3.131,
0.2996,3.131,
0.3002,3.131,
0.3005,3.131,
0.3009,3.131,
0.3012,3.131,
0.3016,3.131,
0.3021,3.131,
0.3024,3.1208,
0.3028,3.131,
0.3031,3.1259,
0.3035,3.1259,
0.3038,3.131,
0.3041,3.131,
0.3045,3.131,
0.3048,3.1259,
0.3052,3.1361,
0.3055,3.131,
0.3059,3.1412,
0.3062,3.1361,
0.3066,3.131,
0.3069,3.131,
0.3073,3.131,
0.3076,3.1259,
0.3079,3.131,
0.3083,3.1259,
0.3086,3.131,
0.3093,3.1208,
0.3095,3.1157,
0.3106,3.1259,
0.3109,3.131,
0.3112,3.1361,
0.3116,3.1259,
0.3125,3.1259,
0.3129,3.1259,
0.3132,3.131,
0.3136,3.1259,
0.3156,3.1157,
0.3166,3.1157,
0.317,3.1259,
0.3195,3.1259,
0.3199,3.1259,
0.3202,3.1259,
0.3205,3.1259,
0.3209,3.131,
0.3212,3.131,
0.3217,3.1208,
0.322,3.131,
0.3223,3.131,
0.3227,3.1259,
0.323,3.1259,
0.3234,3.1157,
0.3237,3.131,
0.324,3.131,
0.3246,3.131,
0.3249,3.131,
0.3252,3.131,
0.3257,3.1259,
0.3262,3.1208,
0.3265,3.131,
0.3269,3.1208,
0.3272,3.1259,
0.3276,3.1259,
0.3283,3.1208,
0.3286,3.1157,
0.3307,3.1259,
0.3311,3.1208,
0.3315,3.1208,
0.3319,3.1259,
0.3324,3.1208,
0.3338,3.1208,
0.3597,3.1259,
0.3637,3.1259,
0.37,3.1259,
0.3756,3.1361,
0.3763,3.1259,
0.3766,3.1259,
0.3768,3.1259,
0.377,3.1208,
0.3776,3.1208,
0.3786,3.1259,
0.3789,3.1208,
0.3797,3.1208,
0.38,3.1259,
0.3801,3.1259,
0.3803,3.1208,
0.3805,3.131,
0.3807,3.1259,
0.3808,3.1259,
0.381,3.1259,
0.3812,3.131,
0.3815,3.1208,
0.3824,3.1208,
0.3827,3.1259,
0.383,3.1259,
0.3835,3.1208,
0.3837,3.1157,
0.3841,3.1208,
0.3843,3.1208,
0.3845,3.1259,
0.3848,3.1259,
0.3858,3.1259,
0.3875,3.1259,
0.4075,3.1208,
0.4294,3.131,
0.4354,3.1208,
0.4401,3.1208,
0.4409,3.1208,
0.4412,3.1105,
0.4418,3.1208,
0.4437,3.1208,
0.4441,3.1157,
0.4467,3.1259,
0.4471,3.1157,
0.4482,3.1208,
0.4485,3.1208,
0.4518,3.131,
0.4521,3.1208,
0.4528,3.131,
0.4531,3.1208,
0.4537,3.131,
0.4557,3.1259,
0.458,3.131,
0.4582,3.131,
0.459,3.1259,
0.4597,3.1259,
0.46,3.1157,
0.4605,3.1259,
0.4622,3.1259,
0.4637,3.1208,
0.469,3.1259,
0.4717,3.131,
0.4722,3.1259,
0.4738,3.131,
0.477,3.1208,
0.4773,3.1208,
0.4793,3.1208,
0.4817,3.1259,
0.4823,3.1259,
0.4853,3.1259,
0.4867,3.1259,
0.4876,3.1259,
0.4884,3.1259,
0.4887,3.131,
0.4922,3.131,
0.4961,3.131,
0.4965,3.1259,
0.4968,3.1208,
0.5029,3.131,
0.5035,3.1208,
0.5055,3.131,
0.5092,3.1259,
0.5095,3.1259,
0.5106,3.1157,
0.5132,3.1157,
0.5212,3.1259,
0.5264,3.1157,
0.537,3.1259,
0.5463,3.1259,
0.548,3.1361,
0.5485,3.1259,
0.5487,3.131,
0.5494,3.1208,
0.5517,3.1361,
0.5538,3.1157,
0.5547,3.1208,
0.555,3.1259,
0.5554,3.131,
0.5567,3.1259,
0.5569,3.1361,
0.5572,3.1259,
0.5575,3.131,
0.5581,3.131,
0.5593,3.131,
0.56,3.131,
0.5603,3.1208,
0.5622,3.1259,
0.5635,3.131,
0.5855,3.131,
0.5875,3.1259,
0.5883,3.1259,
0.589,3.1259,
0.5893,3.1259,
0.5897,3.131,
0.5944,3.1259,
0.5949,3.1259,
0.5951,3.1259,
0.5981,3.1259,
0.5984,3.131,
0.6039,3.131,
0.6042,3.1208,
0.6046,3.1208,
0.6084,3.1259,
0.6091,3.1259,
0.61,3.131,
0.6106,3.131,
0.6111,3.131,
0.6116,3.1361,
0.6118,3.1259,
0.6124,3.1361,
0.6129,3.131,
0.6131,3.131,
0.6134,3.1259,
0.6151,3.131,
0.6158,3.131,
0.6161,3.1259,
0.6167,3.1361,
0.6172,3.1361,
0.6174,3.131,
0.6183,3.1208,
0.6199,3.1259,
0.6202,3.1157,
0.621,3.1259,
0.6213,3.1259,
0.6224,3.131,
0.6336,3.1259,
0.6365,3.1208,
0.638,3.131,
0.6468,3.1157,
0.647,3.1259,
0.6473,3.1208,
0.6477,3.1157,
0.648,3.1157,
0.6485,3.1157,
0.6488,3.131,
0.6491,3.131,
0.6495,3.1259,
0.6498,3.1208,
0.6501,3.1157,
0.6504,3.1208,
0.651,3.1259,
0.6513,3.1157,
0.6515,3.1208,
0.6517,3.1259,
0.652,3.1259,
0.6522,3.1157,
0.6544,3.1208,
0.6551,3.1208,
0.6618,3.131,
0.6804,3.131,
0.6807,3.1208,
0.6815,3.1361,
0.6818,3.1361,
0.6821,3.1208,
0.6829,3.1259,
0.6887,3.1259,
0.689,3.1259,
0.6897,3.1157,
0.6901,3.1259,
0.6916,3.1157,
0.6927,3.1208,
0.6932,3.1208,
0.6938,3.1259,
0.6941,3.1208,
0.6946,3.1208,
0.6958,3.1208,
0.6963,3.1259,
0.6965,3.1259,
