Time B,Detector B,
0.0012,2.1737,
0.02,2.1788,
0.0356,2.1737,
0.049,2.1737,
0.0661,2.1737,
0.0666,2.1737,
0.1176,2.1788,
0.1178,2.1788,
0.1388,2.1737,
0.1388,2.1788,
0.1594,2.1635,
0.1672,2.1788,
0.1676,2.1686,
0.1681,2.1737,
0.1688,2.1686,
0.1693,2.1686,
0.1697,2.1635,
0.17,2.1737,
0.1704,2.1686,
0.1707,2.1635,
0.171,2.1686,
0.1714,2.1686,
0.1717,2.1686,
0.1721,2.1686,
0.1724,2.1686,
0.1728,2.1686,
0.1731,2.1737,
0.1734,2.1686,
0.1738,2.1686,
0.1741,2.1737,
0.1745,2.1686,
0.1748,2.1686,
0.1752,2.1686,
0.1755,2.1737,
0.1759,2.1737,
0.1763,2.1686,
0.1767,2.1737,
0.177,2.1635,
0.1774,2.1686,
0.1777,2.1686,
0.1785,2.1737,
0.1788,2.1737,
0.1792,2.1686,
0.1796,2.1686,
0.1799,2.1686,
0.1802,2.1686,
0.1806,2.1737,
0.1809,2.1686,
0.1813,2.1686,
0.1816,2.1737,
0.182,2.1686,
0.1823,2.1686,
0.1827,2.1686,
0.183,2.1737,
0.1834,2.1737,
0.1837,2.1686,
0.1841,2.1686,
0.1845,2.1686,
0.1847,2.1635,
0.1851,2.1737,
0.1854,2.1635,
0.1857,2.1635,
0.1861,2.1686,
0.1864,2.1686,
0.1868,2.1635,
0.1871,2.1686,
0.1875,2.1686,
0.1878,2.1686,
0.1881,2.1686,
0.1885,2.1686,
0.1888,2.1635,
0.1892,2.1686,
0.1895,2.1635,
0.1898,2.1686,
0.1902,2.1635,
0.1906,2.1686,
0.1909,2.1686,
0.1912,2.1635,
0.1916,2.1686,
0.1919,2.1635,
0.1923,2.1737,
0.1927,2.1635,
0.1931,2.1686,
0.1934,2.1686,
0.1938,2.1635,
0.1941,2.1686,
0.1945,2.1635,
0.1949,2.1686,
0.1952,2.1686,
0.1956,2.1737,
0.1959,2.1686,
0.1962,2.1686,
0.1966,2.1737,
0.1969,2.1686,
0.1973,2.1686,
0.1976,2.1686,
0.198,2.1737,
0.1983,2.1686,
0.199,2.1737,
0.1993,2.1686,
0.1997,2.1686,
0.2001,2.1686,
0.2005,2.1686,
0.2007,2.1584,
0.201,2.1686,
0.2014,2.1635,
0.2017,2.1737,
0.2021,2.1686,
0.2024,2.1686,
0.2028,2.1686,
0.2031,2.1737,
0.2035,2.1686,
0.2038,2.1737,
0.2042,2.1686,
0.2045,2.1686,
0.2049,2.1686,
0.2051,2.1686,
0.2054,2.1737,
0.2058,2.1686,
0.2061,2.1686,
0.2064,2.1737,
0.2068,2.1686,
0.2071,2.1686,
0.2075,2.1686,
0.2078,2.1686,
0.2082,2.1686,
0.2086,2.1686,
0.2089,2.1686,
0.2093,2.1737,
0.2096,2.1635,
0.21,2.1686,
0.2104,2.1686,
0.2107,2.1686,
0.2111,2.1686,
0.2114,2.1686,
0.2118,2.1686,
0.2121,2.1737,
0.2124,2.1686,
0.2128,2.1686,
0.2131,2.1686,
0.2135,2.1686,
0.2138,2.1737,
0.2142,2.1686,
0.2145,2.1737,
0.2149,2.1737,
0.2152,2.1686,
0.2156,2.1686,
0.2159,2.1686,
0.2163,2.1686,
0.2166,2.1584,
0.2175,2.1686,
0.2179,2.1635,
0.2182,2.1686,
0.2186,2.1686,
0.2196,2.1635,
0.22,2.1635,
0.2203,2.1686,
0.2207,2.1686,
0.2211,2.1635,
0.2214,2.1635,
0.2218,2.1635,
0.2221,2.1686,
0.2225,2.1686,
0.2229,2.1686,
0.2232,2.1686,
0.2236,2.1686,
0.2239,2.1686,
0.2244,2.1737,
0.2247,2.1635,
0.2251,2.1686,
0.2254,2.1686,
0.2258,2.1686,
0.2261,2.1686,
0.2265,2.1686,
0.2268,2.1737,
0.2271,2.1686,
0.2275,2.1737,
0.2278,2.1737,
0.2282,2.1686,
0.2285,2.1737,
0.2289,2.1737,
0.2292,2.1686,
0.2296,2.1686,
0.23,2.1635,
0.2303,2.1737,
0.2306,2.1686,
0.231,2.1686,
0.2313,2.1686,
0.2317,2.1686,
0.232,2.1737,
0.2324,2.1686,
0.2328,2.1686,
0.2331,2.1686,
0.2335,2.1686,
0.2338,2.1686,
0.2342,2.1686,
0.2345,2.1686,
0.2349,2.1686,
0.2352,2.1737,
0.2356,2.1737,
0.236,2.1686,
0.2363,2.1635,
0.2367,2.1686,
0.237,2.1686,
0.2374,2.1686,
0.2377,2.1686,
0.2381,2.1686,
0.2384,2.1686,
0.2387,2.1737,
0.2391,2.1686,
0.2401,2.1635,
0.2404,2.1533,
0.2407,2.1635,
0.241,2.1686,
0.2414,2.1686,
0.2417,2.1686,
0.2421,2.1686,
0.2424,2.1686,
0.2428,2.1686,
0.2431,2.1737,
0.2435,2.1686,
0.2438,2.1737,
0.2441,2.1686,
0.2445,2.1737,
0.2448,2.1686,
0.2452,2.1686,
0.2455,2.1737,
0.2459,2.1686,
0.2462,2.1737,
0.2466,2.1635,
0.2469,2.1686,
0.2474,2.1686,
0.2504,2.1635,
0.2508,2.1635,
0.2512,2.1584,
0.2516,2.1737,
0.2519,2.1737,
0.2523,2.1686,
0.2526,2.1686,
0.253,2.1686,
0.2533,2.1686,
0.2537,2.1686,
0.254,2.1686,
0.2544,2.1686,
0.2547,2.1737,
0.2551,2.1737,
0.2554,2.1686,
0.2558,2.1686,
0.2561,2.1686,
0.2566,2.1635,
0.257,2.1737,
0.2573,2.1686,
0.2577,2.1686,
0.258,2.1686,
0.2584,2.1737,
0.2587,2.1737,
0.2591,2.1737,
0.2594,2.1737,
0.2602,2.1737,
0.2605,2.1737,
0.2608,2.1737,
0.2612,2.1686,
0.2615,2.1686,
0.2619,2.1635,
0.2622,2.1635,
0.2626,2.1686,
0.2629,2.1737,
0.2633,2.1686,
0.2636,2.1686,
0.264,2.1686,
0.2644,2.1686,
0.2648,2.1686,
0.2651,2.1737,
0.2654,2.1686,
0.2658,2.1737,
0.2661,2.1686,
0.2665,2.1686,
0.2668,2.1686,
0.2679,2.1686,
0.2682,2.1635,
0.2686,2.1686,
0.2689,2.1686,
0.2693,2.1686,
0.2696,2.1686,
0.27,2.1686,
0.2703,2.1686,
0.2709,2.1686,
0.2713,2.1686,
0.2716,2.1737,
0.272,2.1686,
0.2723,2.1686,
0.2728,2.1635,
0.2732,2.1686,
0.2735,2.1635,
0.2739,2.1686,
0.2742,2.1686,
0.2745,2.1686,
0.2749,2.1686,
0.2752,2.1686,
0.2756,2.1686,
0.2759,2.1686,
0.2763,2.1686,
0.2766,2.1737,
0.277,2.1737,
0.2773,2.1686,
0.2777,2.1686,
0.278,2.1686,
0.2784,2.1686,
0.2787,2.1686,
0.279,2.1686,
0.2796,2.1635,
0.281,2.1584,
0.2813,2.1686,
0.2817,2.1686,
0.282,2.1635,
0.2824,2.1737,
0.2827,2.1584,
0.2829,2.1635,
0.2833,2.1584,
0.2836,2.1686,
0.284,2.1686,
0.286,2.1686,
0.287,2.1635,
0.2874,2.1635,
0.289,2.1584,
0.2893,2.1635,
0.2895,2.1635,
0.2898,2.1686,
0.2902,2.1635,
0.2906,2.1686,
0.2909,2.1635,
0.2913,2.1686,
0.2916,2.1737,
0.2921,2.1635,
0.2924,2.1686,
0.2927,2.1686,
0.2931,2.1686,
0.2934,2.1737,
0.2937,2.1737,
0.2944,2.1686,
0.295,2.1584,
0.2953,2.1686,
0.2956,2.1686,
0.296,2.1686,
0.2965,2.1635,
0.2969,2.1635,
0.2973,2.1737,
0.2976,2.1635,
0.298,2.1635,
0.2985,2.1737,
0.299,2.1584,
0.3011,2.1635,
0.3015,2.1635,
0.3019,2.1635,
0.3042,2.1635,
0.3044,2.1635,
0.3304,2.1584,
0.3344,2.1686,
0.3404,2.1635,
0.346,2.1737,
0.3468,2.1635,
0.3471,2.1686,
0.3477,2.1584,
0.3479,2.1686,
0.3482,2.1635,
0.3484,2.1686,
0.3486,2.1635,
0.3493,2.1686,
0.3495,2.1635,
0.3497,2.1686,
0.3499,2.1686,
0.3501,2.1635,
0.3504,2.1635,
0.352,2.1635,
0.3528,2.1635,
0.3531,2.1584,
0.3534,2.1635,
0.3537,2.1686,
0.3541,2.1737,
0.3544,2.1584,
0.3566,2.1686,
0.358,2.1686,
0.3783,2.1635,
0.3789,2.1686,
0.3999,2.1584,
0.4057,2.1635,
0.4104,2.1635,
0.4109,2.1584,
0.4116,2.1584,
0.4119,2.1584,
0.4124,2.1584,
0.4144,2.1635,
0.4175,2.1584,
0.4179,2.1533,
0.4189,2.1686,
0.4235,2.1635,
0.4242,2.1635,
0.4245,2.1635,
0.4267,2.1584,
0.4287,2.1686,
0.4295,2.1686,
0.4297,2.1686,
0.4304,2.1686,
0.4312,2.1737,
0.4325,2.1635,
0.4328,2.1635,
0.4332,2.1584,
0.434,2.1686,
0.4394,2.1635,
