Time B,Detector B,
0.0274,0.2812,
0.0465,0.2812,
0.0594,0.2812,
0.0627,0.2812,
0.071,0.2812,
0.0711,0.2812,
0.1078,0.2812,
0.1079,0.2812,
0.1093,0.2812,
0.1095,0.2812,
0.1097,0.2812,
0.11,0.2812,
0.1102,0.2812,
0.1104,0.2812,
0.1106,0.2812,
0.1108,0.2812,
0.111,0.2812,
0.1112,0.2812,
0.1114,0.2812,
0.1116,0.2812,
0.1118,0.2812,
0.112,0.2812,
0.1121,0.2812,
0.1123,0.2812,
0.1125,0.2812,
0.1127,0.2812,
0.1129,0.2812,
0.1131,0.2812,
0.1133,0.2812,
0.1135,0.2812,
0.1137,0.2812,
0.1139,0.2812,
0.1141,0.2812,
0.1143,0.2812,
0.1145,0.2812,
0.1147,0.2812,
0.1149,0.2812,
0.1152,0.2812,
0.1154,0.2812,
0.1156,0.2812,
0.1158,0.2812,
0.116,0.2812,
0.1162,0.2812,
0.1164,0.2812,
0.1166,0.2863,
0.1192,0.2812,
0.1249,0.2812,
0.1258,0.2812,
0.1266,0.2812,
0.1274,0.2812,
0.1288,0.2812,
0.1335,0.2812,
0.1338,0.2812,
0.1415,0.2812,
0.1417,0.2812,
0.1418,0.2812,
0.142,0.2812,
0.1422,0.2812,
0.1424,0.2812,
0.1426,0.2812,
0.1427,0.2812,
0.1429,0.2812,
0.1431,0.2812,
0.1433,0.2812,
0.1434,0.2812,
0.1436,0.2812,
0.1438,0.2812,
0.144,0.2812,
0.1441,0.2812,
0.1443,0.2812,
0.1445,0.2812,
0.1447,0.2812,
0.1449,0.2812,
0.1451,0.2812,
0.1452,0.2812,
0.1455,0.2812,
0.1497,0.2812,
0.1499,0.2812,
0.15,0.2812,
0.1502,0.2812,
0.1504,0.2812,
0.1506,0.2812,
0.1507,0.2812,
0.1509,0.2812,
0.1511,0.2812,
0.1513,0.2812,
0.1515,0.2812,
0.1516,0.2812,
0.1518,0.2812,
0.152,0.2812,
0.1522,0.2812,
0.1523,0.2812,
0.1525,0.2812,
0.1527,0.2812,
0.1529,0.2812,
0.153,0.2812,
0.1532,0.2812,
0.1534,0.2812,
0.1536,0.2812,
0.1538,0.2812,
0.1539,0.2812,
0.1541,0.2812,
0.1543,0.2812,
0.1545,0.2812,
0.1547,0.2812,
0.1548,0.2812,
0.155,0.2812,
0.1552,0.2812,
0.1554,0.2812,
0.1556,0.2812,
0.1557,0.2812,
0.1559,0.2812,
0.1561,0.2812,
0.1563,0.2812,
0.1564,0.2812,
0.1566,0.2812,
0.1568,0.2812,
0.157,0.2812,
0.1572,0.2812,
0.1573,0.2812,
0.1575,0.2812,
0.1577,0.2812,
0.1579,0.2812,
0.158,0.2812,
0.1582,0.2812,
0.1584,0.2812,
0.1586,0.2812,
0.1588,0.2812,
0.159,0.2812,
0.1591,0.2812,
0.1593,0.2812,
0.1595,0.2812,
0.1597,0.2812,
0.1598,0.2812,
0.16,0.2812,
0.1602,0.2812,
0.1666,0.2812,
0.1668,0.2812,
0.167,0.2812,
0.1671,0.2812,
0.1673,0.2812,
0.1675,0.2812,
0.1677,0.2812,
0.1678,0.2812,
0.168,0.2812,
0.1682,0.2812,
0.1684,0.2812,
0.1686,0.2812,
0.1688,0.2812,
0.1691,0.2812,
0.1757,0.2812,
0.1759,0.2812,
0.1761,0.2812,
0.1763,0.2812,
0.1765,0.2812,
0.1766,0.2812,
0.1768,0.2812,
0.177,0.2812,
0.1772,0.2812,
0.1774,0.2812,
0.1776,0.2812,
0.1777,0.2812,
0.1779,0.2812,
0.1781,0.2812,
0.1783,0.2812,
0.1785,0.2812,
0.1787,0.2812,
0.1789,0.2812,
0.179,0.2812,
0.1792,0.2812,
0.1794,0.2812,
0.1796,0.2812,
0.1798,0.2812,
0.1799,0.2812,
0.1801,0.2812,
0.1803,0.2812,
0.1805,0.2812,
0.1806,0.2812,
0.1808,0.2812,
0.181,0.2812,
0.1812,0.2812,
0.1813,0.2812,
0.1815,0.2812,
0.1817,0.2812,
0.1819,0.2812,
0.1821,0.2812,
0.1822,0.2812,
0.1824,0.2812,
0.1826,0.2812,
0.1828,0.2812,
0.183,0.2812,
0.1832,0.2812,
0.1833,0.2812,
0.1836,0.2812,
0.1838,0.2812,
0.1852,0.2812,
0.1923,0.2812,
0.1924,0.2812,
0.1926,0.2812,
0.1928,0.2812,
0.1929,0.2812,
0.1931,0.2812,
0.1933,0.2812,
0.1935,0.2812,
0.1937,0.2812,
0.1938,0.2812,
0.194,0.2812,
0.1942,0.2812,
0.1943,0.2812,
0.1945,0.2812,
0.1947,0.2812,
0.1948,0.2812,
0.195,0.2812,
0.1952,0.2812,
0.1953,0.2812,
0.1955,0.2812,
0.1957,0.2812,
0.1958,0.2812,
0.196,0.2812,
0.1962,0.2812,
0.1963,0.2812,
0.1965,0.2812,
0.1967,0.2812,
0.1969,0.2812,
0.197,0.2812,
0.1972,0.2812,
0.1974,0.2812,
0.1976,0.2812,
0.1977,0.2812,
0.1979,0.2812,
0.1981,0.2812,
0.1982,0.2812,
0.1984,0.2812,
0.1986,0.2812,
0.1988,0.2812,
0.199,0.2812,
0.1991,0.2812,
0.1993,0.2812,
0.1995,0.2812,
0.2083,0.2812,
0.2085,0.2812,
0.2087,0.2812,
0.2089,0.2812,
0.2091,0.2812,
0.2093,0.2812,
0.2095,0.2812,
0.2096,0.2812,
0.2098,0.2812,
0.21,0.2812,
0.2102,0.2812,
0.2104,0.2812,
0.2106,0.2812,
0.2107,0.2812,
0.2109,0.2812,
0.2111,0.2812,
0.2113,0.2812,
0.2114,0.2812,
0.2116,0.2812,
0.2118,0.2812,
0.212,0.2812,
0.2122,0.2812,
0.2124,0.2812,
0.2126,0.2812,
0.2128,0.2812,
0.213,0.2812,
0.2132,0.2812,
0.2134,0.2812,
0.2136,0.2812,
0.2137,0.2812,
0.2139,0.2812,
0.2141,0.2812,
0.2143,0.2812,
0.2144,0.2812,
0.2146,0.2812,
0.2148,0.2812,
0.215,0.2812,
0.2152,0.2812,
0.2153,0.2812,
0.2155,0.2812,
0.2157,0.2812,
0.2159,0.2812,
0.2161,0.2812,
0.2162,0.2812,
0.2164,0.2812,
0.2166,0.2812,
0.2168,0.2812,
0.2169,0.2812,
0.2171,0.2812,
0.2173,0.2812,
0.2175,0.2812,
0.2176,0.2812,
0.2178,0.2812,
0.218,0.2812,
0.2182,0.2812,
0.2208,0.2812,
0.221,0.2812,
0.2212,0.2812,
0.2214,0.2812,
0.2215,0.2812,
0.2217,0.2812,
0.2219,0.2812,
0.2221,0.2812,
0.2222,0.2812,
0.2224,0.2812,
0.2227,0.2812,
0.223,0.2812,
0.2293,0.2812,
0.2295,0.2812,
0.2297,0.2812,
0.2299,0.2812,
0.2301,0.2812,
0.2302,0.2812,
0.2304,0.2812,
0.2307,0.2812,
0.231,0.2812,
0.2312,0.2812,
0.2314,0.2812,
0.2316,0.2812,
0.2318,0.2812,
0.232,0.2812,
0.2322,0.2812,
0.2324,0.2812,
0.2325,0.2812,
0.2327,0.2812,
0.2329,0.2812,
0.233,0.2812,
0.2332,0.2812,
0.2334,0.2812,
0.2335,0.2812,
0.2337,0.2812,
0.2339,0.2812,
0.234,0.2812,
0.2342,0.2812,
0.2344,0.2812,
0.2345,0.2812,
0.2347,0.2812,
0.2349,0.2812,
0.2351,0.2812,
0.2411,0.2812,
0.2413,0.2812,
0.2415,0.2812,
0.2418,0.2812,
0.2419,0.2812,
0.2421,0.2812,
0.2423,0.2812,
0.2425,0.2812,
0.2427,0.2812,
0.2429,0.2812,
0.2431,0.2812,
0.2433,0.2812,
0.2434,0.2812,
0.2436,0.2812,
0.2438,0.2812,
0.244,0.2812,
0.2442,0.2812,
0.2444,0.2812,
0.2446,0.2812,
0.2447,0.2812,
0.2449,0.2812,
0.2451,0.2812,
0.2453,0.2812,
0.2461,0.2812,
0.2513,0.2812,
0.2553,0.2812,
0.2557,0.2812,
0.2561,0.2812,
0.2568,0.2812,
0.2571,0.2812,
0.2573,0.2812,
0.2575,0.2812,
0.2577,0.2812,
0.2578,0.2812,
0.258,0.2812,
0.2582,0.2812,
0.2583,0.2812,
0.2585,0.2812,
0.2587,0.2812,
0.2588,0.2812,
0.259,0.2812,
0.2592,0.2812,
0.2594,0.2812,
0.2595,0.2812,
0.2597,0.2812,
0.2599,0.2812,
0.26,0.2812,
0.2602,0.2812,
0.2604,0.2812,
0.2605,0.2812,
0.2607,0.2812,
0.2609,0.2812,
0.2611,0.2812,
0.2612,0.2812,
0.2614,0.2812,
0.2616,0.2812,
0.2617,0.2812,
0.2619,0.2812,
0.2621,0.2812,
0.2623,0.2812,
0.2624,0.2812,
0.2626,0.2812,
0.2628,0.2812,
0.263,0.2812,
0.2631,0.2812,
0.2633,0.2812,
0.2635,0.2812,
0.2636,0.2812,
0.2638,0.2812,
0.264,0.2812,
0.2641,0.2812,
0.2643,0.2812,
0.2645,0.2812,
0.2646,0.2812,
0.2648,0.2812,
0.265,0.2812,
0.2651,0.2812,
0.2653,0.2812,
0.2655,0.2812,
0.2657,0.2812,
0.2658,0.2812,
0.266,0.2812,
0.2662,0.2812,
0.2663,0.2812,
0.2665,0.2812,
0.2667,0.2812,
0.2724,0.2812,
0.2728,0.2812,
0.273,0.2812,
0.2732,0.2812,
0.2734,0.2812,
0.2736,0.2812,
0.2738,0.2812,
0.274,0.2812,
0.2742,0.2812,
