Time B,Detector B,
0.0002,3.6887,
0.0006,3.6734,
0.0015,3.6785,
0.0024,3.6836,
0.0028,3.6785,
0.0028,3.6785,
0.0068,3.6785,
0.0079,3.6734,
0.0099,3.6683,
0.011,3.6785,
0.0136,3.6785,
0.015,3.6734,
0.0159,3.6785,
0.0171,3.6734,
0.018,3.6785,
0.0189,3.6734,
0.0197,3.6734,
0.0212,3.6785,
0.0239,3.6734,
0.0251,3.6734,
0.0285,3.6734,
0.0289,3.6785,
0.0303,3.6683,
0.0307,3.6734,
0.033,3.6632,
0.0343,3.6836,
0.0385,3.6734,
0.0409,3.6683,
0.0412,3.6734,
0.0434,3.6683,
0.0486,3.6734,
0.0517,3.6683,
0.053,3.6785,
0.0533,3.6785,
0.0537,3.6785,
0.0542,3.6683,
0.0547,3.6683,
0.0567,3.6785,
0.0586,3.6734,
0.0613,3.6785,
0.0623,3.6734,
0.0629,3.6734,
0.0647,3.6785,
0.0655,3.6683,
0.0662,3.6785,
0.067,3.6734,
0.0698,3.6734,
0.0701,3.6785,
0.0706,3.6683,
0.0728,3.6734,
0.0746,3.6683,
0.0749,3.6785,
0.0752,3.6836,
0.0755,3.6836,
0.0759,3.6734,
0.0762,3.6836,
0.0776,3.6836,
0.078,3.6785,
0.0783,3.6785,
0.0787,3.6785,
0.079,3.6836,
0.0795,3.6734,
0.0799,3.6785,
0.0802,3.6836,
0.0806,3.6785,
0.081,3.6836,
0.0812,3.6785,
0.0814,3.6785,
0.0818,3.6734,
0.0821,3.6785,
0.0825,3.6785,
0.0829,3.6785,
0.0834,3.6785,
0.0837,3.6836,
0.0841,3.6785,
0.0844,3.6836,
0.0847,3.6785,
0.0851,3.6785,
0.0855,3.6836,
0.0858,3.6836,
0.0862,3.6785,
0.0866,3.6836,
0.0869,3.6836,
0.0872,3.6785,
0.0875,3.6734,
0.0877,3.6683,
0.088,3.6683,
0.0884,3.6683,
0.0888,3.6785,
0.0891,3.6836,
0.0895,3.6734,
0.0898,3.6887,
0.0902,3.6887,
0.0905,3.6836,
0.0908,3.6836,
0.0912,3.6785,
0.0915,3.6785,
0.0919,3.6836,
0.0922,3.6785,
0.0925,3.6836,
0.0929,3.6785,
0.0932,3.6836,
0.0935,3.6785,
0.0939,3.6785,
0.0942,3.6785,
0.0946,3.6785,
0.0949,3.6785,
0.0953,3.6785,
0.0956,3.6785,
0.0959,3.6785,
0.0969,3.6632,
0.0972,3.6683,
0.098,3.6632,
0.0988,3.6734,
0.0992,3.6683,
0.0995,3.6785,
0.0999,3.6836,
0.1002,3.6836,
0.1005,3.6683,
0.1009,3.6785,
0.1012,3.6734,
0.1017,3.6683,
0.102,3.6836,
0.1024,3.6785,
0.1027,3.6734,
0.1031,3.6785,
0.1034,3.6836,
0.1038,3.6785,
0.1042,3.6632,
0.1045,3.6734,
0.1049,3.6836,
0.1053,3.6836,
0.1056,3.6785,
0.1061,3.6836,
0.1064,3.6836,
0.1074,3.6683,
0.1077,3.6785,
0.108,3.6785,
0.1084,3.6734,
0.1087,3.6734,
0.109,3.6836,
0.1094,3.6785,
0.1098,3.6785,
0.1101,3.6734,
0.1107,3.6734,
0.111,3.6683,
0.1114,3.6734,
0.1117,3.6887,
0.1121,3.6734,
0.1125,3.6785,
0.1128,3.6734,
0.1132,3.6785,
0.1135,3.6785,
0.1139,3.6785,
0.1142,3.6785,
0.1145,3.6836,
0.1151,3.6734,
0.1155,3.6836,
0.1159,3.6836,
0.1162,3.6785,
0.1166,3.6785,
0.1169,3.6785,
0.1172,3.6836,
0.1176,3.6785,
0.1179,3.6785,
0.1182,3.6836,
0.1186,3.6785,
0.119,3.6785,
0.1193,3.6785,
0.1197,3.6683,
0.1202,3.6683,
0.1206,3.6785,
0.121,3.6836,
0.1213,3.6836,
0.1217,3.6785,
0.1221,3.6734,
0.1226,3.6734,
0.123,3.6785,
0.1237,3.6785,
0.1243,3.6683,
0.1248,3.6683,
0.1251,3.6785,
0.1255,3.6836,
0.1258,3.6734,
0.1266,3.6683,
0.1269,3.6785,
0.1273,3.6734,
0.1276,3.6785,
0.1279,3.6785,
0.1283,3.6734,
0.1286,3.6785,
0.1289,3.6785,
0.1293,3.6836,
0.1296,3.6785,
0.13,3.6785,
0.1303,3.6734,
