Time A,Detector A,
0.0005,0.6194,
0.0012,0.6143,
0.01,0.6194,
0.0159,0.6194,
0.0214,0.6194,
0.0215,0.6194,
0.0223,0.6194,
0.0238,0.6194,
0.0589,0.6194,
0.1305,0.6143,
0.1368,0.6143,
0.1437,0.6143,
0.144,0.6143,
0.15,0.6194,
0.1508,0.6143,
0.1512,0.6194,
0.1515,0.6143,
0.1519,0.6143,
0.1522,0.6143,
0.1526,0.6194,
0.1529,0.6194,
0.1532,0.6143,
0.1536,0.6194,
0.1539,0.6143,
0.1543,0.6143,
0.1553,0.6194,
0.1556,0.6194,
0.1559,0.6143,
0.1563,0.6194,
0.1566,0.6143,
0.157,0.6143,
0.1573,0.6143,
0.1577,0.6194,
0.158,0.6194,
0.1589,0.6194,
0.1592,0.6143,
0.1595,0.6143,
0.1599,0.6143,
0.1603,0.6143,
0.1607,0.6143,
0.1611,0.6143,
0.1614,0.6143,
0.1618,0.6143,
0.1622,0.6143,
0.1625,0.6143,
0.1629,0.6143,
0.1633,0.6143,
0.1636,0.6143,
0.164,0.6143,
0.1644,0.6143,
0.1648,0.6143,
0.1651,0.6194,
0.1655,0.6143,
0.1659,0.6143,
0.1662,0.6143,
0.1667,0.6143,
0.167,0.6194,
0.1674,0.6143,
0.1677,0.6143,
0.168,0.6143,
0.1684,0.6143,
0.1687,0.6143,
0.1691,0.6194,
0.1694,0.6143,
0.1698,0.6143,
0.1702,0.6194,
0.1705,0.6143,
0.1708,0.6143,
0.1712,0.6143,
0.1716,0.6143,
0.1719,0.6143,
0.1723,0.6194,
0.1726,0.6194,
0.1729,0.6194,
0.1733,0.6194,
0.1736,0.6143,
0.174,0.6194,
0.1754,0.6143,
0.1757,0.6143,
0.176,0.6143,
0.1764,0.6143,
0.1767,0.6194,
0.1771,0.6143,
0.1774,0.6194,
0.1777,0.6143,
0.1781,0.6143,
0.1784,0.6194,
0.1788,0.6194,
0.1791,0.6143,
0.1795,0.6143,
0.1799,0.6143,
0.1802,0.6143,
0.1806,0.6143,
0.1809,0.6143,
0.1812,0.6143,
0.1816,0.6143,
0.182,0.6143,
0.184,0.6143,
0.1844,0.6143,
0.1848,0.6143,
0.1852,0.6194,
0.1856,0.6143,
0.1859,0.6143,
0.1863,0.6143,
0.1869,0.6143,
0.1873,0.6143,
0.1877,0.6143,
0.1881,0.6194,
0.1884,0.6143,
0.1888,0.6143,
0.1891,0.6143,
0.1895,0.6143,
0.1898,0.6143,
0.1902,0.6143,
0.1903,0.6143,
0.1911,0.6143,
0.1915,0.6143,
0.1918,0.6194,
0.1922,0.6143,
0.1925,0.6143,
0.1929,0.6143,
0.1932,0.6194,
0.1935,0.6143,
0.1939,0.6143,
0.1943,0.6143,
0.1946,0.6194,
0.1949,0.6143,
0.1957,0.6143,
0.1961,0.6143,
0.1964,0.6194,
0.1968,0.6194,
0.1971,0.6143,
0.1974,0.6143,
0.1978,0.6143,
0.1981,0.6194,
0.1985,0.6143,
0.199,0.6143,
0.1993,0.6143,
0.1998,0.6143,
0.2001,0.6143,
0.2005,0.6143,
0.2008,0.6143,
0.2012,0.6194,
0.2015,0.6194,
0.2018,0.6143,
