Time B,Detector B,
0.0006,0.0108,
0.0013,0.0108,
0.011,0.0108,
0.0178,0.0108,
0.0236,0.0108,
0.0237,0.0108,
0.0257,0.0108,
0.0259,0.0108,
0.0694,0.0108,
0.0815,0.0108,
0.0854,0.0108,
0.0989,0.0108,
0.0992,0.0108,
0.0994,0.0108,
0.0996,0.0108,
0.0998,0.0108,
0.1,0.0108,
0.1002,0.0108,
0.1003,0.0108,
0.1005,0.0108,
0.1007,0.0108,
0.1009,0.0108,
0.1011,0.0108,
0.1013,0.0108,
0.1015,0.0108,
0.1017,0.0108,
0.1019,0.0108,
0.1021,0.0108,
0.1023,0.0108,
0.1024,0.0108,
0.1026,0.0108,
0.1028,0.0108,
0.103,0.0108,
0.1032,0.0108,
0.1034,0.0108,
0.1036,0.0108,
0.1038,0.0108,
0.104,0.0108,
0.1042,0.0108,
0.1044,0.0108,
0.1046,0.0108,
0.1048,0.0108,
0.1049,0.0108,
0.1051,0.0108,
0.1053,0.0108,
0.1055,0.0108,
0.1057,0.0108,
0.1059,0.0108,
0.1061,0.0108,
0.1063,0.0108,
0.1065,0.0108,
0.1067,0.0108,
0.1069,0.0108,
0.1071,0.0108,
0.1073,0.0108,
0.1075,0.0108,
0.1077,0.0108,
0.1079,0.0108,
0.1081,0.0108,
0.1082,0.0108,
0.1084,0.0108,
0.1086,0.0108,
0.1088,0.0108,
0.109,0.0108,
0.1092,0.0108,
0.1094,0.0108,
0.1096,0.0108,
0.1098,0.0108,
0.11,0.0108,
0.1102,0.0108,
0.1104,0.0108,
0.1106,0.0108,
0.1108,0.0108,
0.111,0.0108,
0.1113,0.0108,
0.1116,0.0108,
0.112,0.0108,
0.1122,0.0108,
0.1136,0.0108,
0.114,0.0108,
0.1143,0.0108,
0.1147,0.0108,
0.1152,0.0108,
0.1155,0.0108,
0.1158,0.0108,
0.116,0.0108,
0.1163,0.0108,
0.1166,0.0108,
0.1169,0.0108,
0.1172,0.0108,
0.1174,0.0108,
0.1177,0.0108,
0.1179,0.0108,
0.1181,0.0108,
0.1183,0.0108,
0.1185,0.0108,
0.1187,0.0108,
0.119,0.0108,
0.1192,0.0108,
0.1194,0.0108,
0.1197,0.0108,
0.1199,0.0108,
0.1201,0.0108,
0.1203,0.0108,
0.1205,0.0108,
0.1218,0.0159,
0.1221,0.0108,
0.1223,0.0108,
0.1226,0.0108,
0.1228,0.0108,
0.123,0.0108,
0.1231,0.0108,
0.1233,0.0108,
0.1235,0.0108,
0.1237,0.0108,
0.1239,0.0108,
0.1241,0.0108,
0.1242,0.0108,
0.1244,0.0108,
0.1246,0.0108,
0.1249,0.0108,
0.1251,0.0108,
0.1254,0.0108,
0.1256,0.0108,
0.1257,0.0108,
0.1259,0.0108,
0.1261,0.0108,
0.1262,0.0108,
0.1264,0.0108,
0.1267,0.0108,
0.1268,0.0108,
0.127,0.0108,
0.1272,0.0108,
0.1273,0.0108,
0.1275,0.0108,
0.1276,0.0108,
0.1278,0.0108,
0.128,0.0108,
0.1281,0.0108,
0.1283,0.0108,
0.1285,0.0108,
0.1286,0.0108,
0.1288,0.0108,
0.129,0.0108,
0.1292,0.0108,
0.1293,0.0108,
0.1295,0.0108,
0.1296,0.0108,
0.1298,0.0108,
0.13,0.0108,
0.1302,0.0108,
0.1303,0.0108,
0.1305,0.0108,
0.1307,0.0108,
0.1308,0.0108,
0.131,0.0108,
0.1312,0.0108,
0.1313,0.0108,
0.1315,0.0108,
0.1317,0.0108,
0.1319,0.0108,
0.1321,0.0108,
0.1325,0.0108,
0.1327,0.0108,
0.1329,0.0108,
0.1331,0.0108,
0.1333,0.0108,
0.1335,0.0108,
0.1337,0.0108,
0.1339,0.0108,
0.1341,0.0108,
0.1343,0.0108,
0.1345,0.0108,
0.1347,0.0108,
0.135,0.0108,
0.1352,0.0108,
0.1355,0.0108,
0.1357,0.0108,
0.1359,0.0108,
0.1362,0.0108,
0.1364,0.0108,
0.1366,0.0108,
0.1368,0.0108,
0.137,0.0108,
0.1371,0.0108,
0.1373,0.0108,
0.1375,0.0108,
0.1376,0.0108,
0.1378,0.0108,
0.138,0.0108,
0.1381,0.0108,
0.1383,0.0108,
0.1386,0.0108,
0.1388,0.0108,
0.139,0.0108,
0.1392,0.0108,
0.1393,0.0108,
0.1401,0.0108,
0.1427,0.0108,
0.1429,0.0108,
0.1431,0.0108,
0.1433,0.0108,
0.1435,0.0108,
0.1438,0.0108,
0.144,0.0108,
0.1442,0.0108,
0.1444,0.0108,
0.1445,0.0108,
0.1447,0.0108,
0.1449,0.0108,
0.1451,0.0108,
0.1453,0.0108,
0.1455,0.0108,
0.1457,0.0108,
0.1459,0.0108,
0.146,0.0108,
0.1462,0.0108,
0.1464,0.0108,
0.1466,0.0108,
0.1468,0.0108,
0.1469,0.0108,
