Time A,Detector A,
0.0006,1.5606,
0.0013,1.5606,
0.0105,1.5657,
0.0169,1.5606,
0.017,1.5606,
0.0224,1.5606,
0.0247,1.5606,
0.0558,1.5606,
0.0748,1.5606,
0.099,1.5606,
0.0997,1.5606,
0.1455,1.5657,
0.147,1.5606,
0.1548,1.5555,
0.1597,1.5606,
0.16,1.5555,
0.1602,1.5606,
0.1604,1.5555,
0.1606,1.5555,
0.1608,1.5606,
0.161,1.5555,
0.1612,1.5606,
0.1614,1.5606,
0.1616,1.5555,
0.1618,1.5606,
0.162,1.5555,
0.1621,1.5606,
0.1623,1.5606,
0.1625,1.5555,
0.1627,1.5555,
0.1629,1.5606,
0.1631,1.5606,
0.1633,1.5555,
0.1635,1.5555,
0.1637,1.5555,
0.1639,1.5606,
0.1641,1.5555,
0.1643,1.5606,
0.1645,1.5606,
0.1647,1.5555,
0.1649,1.5555,
0.165,1.5606,
0.1652,1.5555,
0.1654,1.5555,
0.1656,1.5606,
0.1658,1.5555,
0.166,1.5606,
0.1663,1.5555,
0.1665,1.5555,
0.1668,1.5555,
0.1672,1.5606,
0.1676,1.5606,
0.1679,1.5555,
0.1682,1.5555,
0.1686,1.5555,
0.169,1.5606,
0.1693,1.5606,
0.1697,1.5606,
0.17,1.5555,
0.1703,1.5606,
0.1707,1.5555,
0.171,1.5606,
0.1714,1.5606,
0.1717,1.5555,
0.1721,1.5606,
0.1724,1.5606,
0.1728,1.5555,
0.1731,1.5606,
0.1735,1.5606,
0.1738,1.5555,
0.1741,1.5606,
0.1746,1.5555,
0.175,1.5606,
0.1753,1.5555,
0.1757,1.5606,
0.176,1.5555,
0.1764,1.5606,
0.1767,1.5555,
0.1771,1.5555,
0.1774,1.5555,
0.1777,1.5606,
0.1781,1.5555,
0.1784,1.5555,
0.1788,1.5606,
0.1791,1.5606,
0.1795,1.5555,
0.1798,1.5606,
0.1802,1.5555,
0.1805,1.5606,
0.1809,1.5555,
0.1812,1.5555,
0.1816,1.5606,
0.1819,1.5606,
0.1823,1.5555,
0.1826,1.5504,
0.1829,1.5555,
0.1832,1.5555,
0.1836,1.5606,
0.1839,1.5555,
0.1843,1.5606,
0.1846,1.5555,
0.185,1.5555,
0.1853,1.5555,
0.1856,1.5555,
0.186,1.5555,
0.1863,1.5606,
0.1867,1.5606,
0.187,1.5555,
0.1874,1.5555,
0.1877,1.5555,
0.188,1.5555,
0.1884,1.5555,
0.1887,1.5555,
0.1891,1.5555,
0.1893,1.5504,
0.1896,1.5555,
0.1898,1.5555,
0.1901,1.5555,
0.1906,1.5555,
0.191,1.5555,
0.1914,1.5555,
0.1917,1.5555,
0.192,1.5606,
0.1923,1.5606,
0.1927,1.5606,
0.193,1.5555,
0.1934,1.5555,
0.1937,1.5555,
0.1941,1.5606,
0.1944,1.5555,
0.1948,1.5606,
0.1951,1.5555,
0.1955,1.5555,
0.1958,1.5606,
0.1961,1.5555,
0.1965,1.5606,
0.1968,1.5606,
0.1972,1.5555,
0.1975,1.5555,
0.1979,1.5606,
0.1982,1.5555,
0.1985,1.5555,
0.1989,1.5555,
0.1992,1.5606,
0.1995,1.5606,
0.1999,1.5606,
0.2002,1.5555,
0.2006,1.5606,
0.2009,1.5606,
0.2013,1.5606,
0.2016,1.5606,
0.202,1.5555,
0.2023,1.5555,
0.2026,1.5555,
0.203,1.5606,
0.2033,1.5606,
0.2037,1.5606,
0.2041,1.5657,
0.2044,1.5555,
0.2048,1.5606,
0.2051,1.5555,
0.2054,1.5606,
0.2058,1.5606,
0.2061,1.5606,
0.2066,1.5504,
0.2069,1.5606,
0.2073,1.5555,
0.2076,1.5555,
0.208,1.5606,
0.2083,1.5555,
0.2087,1.5606,
0.209,1.5555,
0.2094,1.5606,
0.2097,1.5555,
0.2101,1.5555,
0.2104,1.5606,
0.2108,1.5555,
0.2111,1.5606,
0.2115,1.5555,
0.2118,1.5606,
0.2121,1.5555,
0.2125,1.5606,
0.2128,1.5606,
0.2132,1.5555,
0.2135,1.5606,
0.2139,1.5606,
0.2143,1.5606,
0.2145,1.5504,
0.2148,1.5555,
0.2152,1.5606,
0.2155,1.5606,
0.2159,1.5555,
0.2162,1.5555,
0.2166,1.5555,
0.2169,1.5555,
0.2172,1.5606,
0.2176,1.5504,
0.218,1.5555,
0.2183,1.5555,
0.2186,1.5555,
0.219,1.5555,
0.2193,1.5555,
0.2197,1.5555,
0.22,1.5555,
0.2203,1.5555,
0.2207,1.5606,
0.221,1.5555,
0.2214,1.5555,
0.2217,1.5555,
0.222,1.5555,
0.2224,1.5555,
0.2227,1.5606,
0.2231,1.5555,
0.2234,1.5606,
0.2238,1.5555,
0.2241,1.5555,
0.2245,1.5606,
0.2249,1.5606,
0.2252,1.5555,
0.2255,1.5606,
0.2258,1.5555,
0.2262,1.5606,
0.2265,1.5606,
0.2269,1.5555,
0.2272,1.5606,
0.2276,1.5555,
0.2279,1.5606,
0.2283,1.5606,
0.2286,1.5555,
0.229,1.5555,
0.2293,1.5606,
0.2297,1.5606,
0.23,1.5555,
0.2306,1.5504,
0.2309,1.5606,
0.2313,1.5606,
0.2316,1.5555,
0.2319,1.5606,
0.2323,1.5555,
0.2326,1.5606,
0.233,1.5606,
0.2333,1.5555,
0.2337,1.5606,
0.234,1.5606,
0.2344,1.5606,
0.2347,1.5606,
0.2351,1.5606,
0.2354,1.5606,
0.2358,1.5606,
0.2361,1.5606,
0.2364,1.5606,
0.2368,1.5606,
0.2371,1.5606,
0.2375,1.5606,
0.2378,1.5606,
0.2383,1.5555,
0.2385,1.5504,
0.2389,1.5606,
0.2392,1.5555,
0.2402,1.5555,
0.2406,1.5555,
0.2409,1.5606,
0.2413,1.5555,
0.2416,1.5606,
0.242,1.5606,
0.2423,1.5606,
0.2426,1.5606,
0.243,1.5555,
0.2434,1.5606,
0.2438,1.5606,
0.2441,1.5555,
0.2444,1.5606,
0.2447,1.5555,
0.2451,1.5606,
0.2454,1.5555,
0.2458,1.5606,
0.2461,1.5555,
0.2466,1.5555,
