Time A,Detector A,
0.0002,2.0824,
0.0006,2.0875,
0.0102,2.0824,
0.0104,2.0773,
0.0106,2.0773,
0.0419,2.0824,
0.0419,2.0824,
0.0496,2.0824,
0.0572,2.0875,
0.0576,2.0824,
0.0578,2.0875,
0.0581,2.0824,
0.0584,2.0875,
0.0591,2.0875,
0.0601,2.0773,
0.0604,2.0824,
0.0607,2.0824,
0.0644,2.0875,
0.0655,2.0773,
0.0658,2.0773,
0.0676,2.0875,
0.0686,2.0722,
0.0702,2.0824,
0.0713,2.0773,
0.0726,2.0824,
0.0735,2.0824,
0.0747,2.0773,
0.0756,2.0824,
0.0765,2.0824,
0.0773,2.0824,
0.0788,2.0824,
0.0801,2.0824,
0.0815,2.0824,
0.0828,2.0824,
0.0861,2.0824,
0.0865,2.0773,
0.0879,2.0773,
0.0884,2.0824,
0.0907,2.0824,
0.0919,2.0824,
0.0922,2.0824,
0.0963,2.0824,
0.0985,2.0773,
0.0989,2.0773,
0.101,2.0773,
0.1013,2.0824,
0.1062,2.0824,
0.108,2.0824,
0.1092,2.0875,
0.1095,2.0773,
0.1106,2.0875,
0.111,2.0824,
0.1114,2.0824,
0.1116,2.0824,
0.1119,2.0824,
0.1124,2.0875,
0.1126,2.0824,
0.1143,2.0875,
0.1147,2.0824,
0.1163,2.0875,
0.1165,2.0824,
0.119,2.0824,
0.1193,2.0824,
0.1199,2.0824,
0.1202,2.0824,
0.1206,2.0875,
0.1209,2.0824,
0.1216,2.0824,
0.122,2.0824,
0.1224,2.0773,
0.1231,2.0875,
0.1234,2.0773,
0.1239,2.0824,
0.1246,2.0875,
0.1249,2.0875,
0.1274,2.0824,
0.1278,2.0773,
0.1283,2.0722,
0.1304,2.0824,
0.131,2.0773,
0.1324,2.0824,
0.1327,2.0824,
0.1331,2.0824,
0.1334,2.0875,
0.1337,2.0824,
0.1341,2.0824,
0.1355,2.0824,
0.1359,2.0824,
0.1362,2.0824,
0.1365,2.0875,
0.137,2.0824,
0.1374,2.0824,
0.1377,2.0824,
0.1381,2.0875,
0.1385,2.0875,
0.1393,2.0824,
0.1397,2.0824,
0.14,2.0824,
0.1404,2.0875,
0.1407,2.0824,
0.1412,2.0824,
0.1416,2.0875,
0.1419,2.0824,
0.1423,2.0824,
0.1426,2.0875,
0.143,2.0875,
0.1433,2.0875,
0.1437,2.0824,
0.1441,2.0824,
0.1444,2.0824,
0.1448,2.0824,
0.146,2.0824,
0.1463,2.0875,
0.1467,2.0875,
0.147,2.0824,
0.1473,2.0824,
0.1477,2.0875,
0.148,2.0875,
0.1484,2.0875,
0.1487,2.0875,
0.1491,2.0875,
0.1494,2.0875,
0.1497,2.0875,
0.1501,2.0824,
0.1504,2.0824,
0.1507,2.0875,
0.1511,2.0875,
0.1514,2.0824,
0.1518,2.0824,
0.1521,2.0824,
0.1524,2.0824,
0.1528,2.0824,
0.1531,2.0875,
0.1535,2.0824,
0.1538,2.0824,
0.1544,2.0722,
0.1548,2.0722,
0.1553,2.0722,
0.1562,2.0773,
0.1567,2.0773,
0.157,2.0824,
0.1574,2.0875,
0.1577,2.0824,
0.1581,2.0824,
0.1584,2.0824,
0.1588,2.0824,
0.1592,2.0773,
0.1595,2.0773,
0.1599,2.0875,
0.1603,2.0875,
0.1606,2.0824,
0.161,2.0824,
0.1613,2.0875,
0.1617,2.0824,
0.162,2.0722,
0.1624,2.0824,
0.1628,2.0875,
0.1632,2.0824,
0.1636,2.0875,
0.164,2.0824,
0.1643,2.0875,
0.1652,2.0773,
0.1655,2.0824,
0.1659,2.0875,
0.1662,2.0875,
0.1665,2.0824,
0.1669,2.0875,
0.1673,2.0875,
0.1676,2.0773,
0.168,2.0773,
0.1682,2.0824,
0.1686,2.0875,
0.1689,2.0824,
0.1693,2.0824,
0.1696,2.0875,
0.17,2.0773,
0.1704,2.0824,
0.1707,2.0824,
0.171,2.0824,
0.1714,2.0875,
0.1717,2.0824,
0.1721,2.0824,
