Time B,Detector B,
0.0006,3.9437,
0.0018,3.9437,
0.0492,3.9488,
0.0705,3.9437,
0.1287,3.9437,
0.1289,3.9437,
0.129,3.9386,
0.1292,3.9437,
0.1293,3.9437,
0.1295,3.9488,
0.1297,3.9488,
0.1299,3.9437,
0.1301,3.9437,
0.1302,3.9488,
0.1304,3.9488,
0.1306,3.9539,
0.1308,3.9488,
0.1309,3.9437,
0.1311,3.9488,
0.1313,3.9488,
0.1315,3.9488,
0.1316,3.9488,
0.1318,3.9437,
0.132,3.9488,
0.1322,3.9488,
0.1323,3.9488,
0.1325,3.9539,
0.1327,3.9437,
0.1329,3.9437,
0.1331,3.9488,
0.1332,3.9437,
0.1422,3.9335,
0.1425,3.9386,
0.1428,3.9386,
0.1432,3.9437,
0.1435,3.9386,
0.1439,3.9335,
0.1442,3.9437,
0.1449,3.9437,
0.1453,3.9386,
0.1456,3.9437,
0.1459,3.9437,
0.1463,3.9386,
0.1466,3.9386,
0.1469,3.9437,
0.1473,3.9437,
0.1476,3.9386,
0.1479,3.9437,
0.1483,3.9437,
0.1486,3.9386,
0.149,3.9437,
0.1493,3.9386,
0.1496,3.9437,
0.15,3.9386,
0.1503,3.9386,
0.1506,3.9437,
0.151,3.9437,
0.1513,3.9386,
0.1516,3.9437,
0.152,3.9437,
0.1523,3.9386,
0.1527,3.9437,
0.153,3.9233,
0.1532,3.9335,
0.1534,3.9335,
0.1537,3.9386,
0.154,3.9386,
0.1543,3.9386,
0.1546,3.9386,
0.1549,3.9335,
0.1553,3.9335,
0.1556,3.9335,
0.1559,3.9335,
0.1562,3.9284,
0.1565,3.9335,
0.1568,3.9437,
0.1571,3.9437,
0.1574,3.9386,
0.1577,3.9437,
0.158,3.9437,
0.1583,3.9386,
0.1586,3.9437,
0.1589,3.9437,
0.1592,3.9386,
0.1596,3.9437,
0.1599,3.9437,
0.1602,3.9386,
0.1605,3.9386,
0.1608,3.9386,
0.1614,3.9335,
0.1617,3.9386,
0.162,3.9335,
0.1624,3.9335,
0.1627,3.9386,
0.163,3.9386,
0.1637,3.9437,
0.164,3.9335,
0.1643,3.9335,
0.1646,3.9386,
0.1653,3.9437,
0.1656,3.9437,
0.1659,3.9386,
0.1662,3.9335,
0.1665,3.9335,
0.1668,3.9386,
0.1671,3.9437,
0.1675,3.9437,
0.1678,3.9386,
0.1681,3.9386,
0.1684,3.9335,
0.1687,3.9437,
0.169,3.9284,
0.1692,3.9284,
0.1695,3.9386,
0.1698,3.9386,
0.1701,3.9335,
0.1704,3.9335,
0.1707,3.9386,
0.171,3.9437,
0.1714,3.9437,
0.1722,3.9386,
0.1724,3.9335,
0.1729,3.9386,
0.1732,3.9386,
0.1736,3.9437,
0.1739,3.9386,
0.1742,3.9335,
0.1745,3.9437,
0.1748,3.9437,
0.1751,3.9386,
0.1755,3.9335,
0.1758,3.9335,
0.1761,3.9335,
0.1764,3.9335,
0.1767,3.9437,
0.1771,3.9284,
0.1773,3.9335,
0.1774,3.9335,
0.1778,3.9386,
0.1781,3.9335,
0.1784,3.9284,
0.1787,3.9335,
0.1791,3.9386,
0.1794,3.9386,
0.1797,3.9335,
0.18,3.9233,
0.1803,3.9335,
0.1807,3.9386,
0.181,3.9284,
0.1813,3.9386,
0.1816,3.9386,
0.182,3.9386,
0.1823,3.9284,
0.1826,3.9284,
0.183,3.9284,
0.1833,3.9284,
0.1836,3.9284,
0.1839,3.9335,
0.1842,3.9386,
0.1845,3.9335,
0.1849,3.9284,
0.1857,3.9386,
0.186,3.9386,
0.1863,3.9437,
0.1866,3.9386,
0.1869,3.9335,
0.1872,3.9437,
0.1875,3.9386,
0.1878,3.9386,
0.1882,3.9335,
0.1885,3.9386,
0.1888,3.9437,
0.1891,3.9335,
0.1894,3.9386,
0.1897,3.9437,
0.19,3.9335,
0.1903,3.9335,
0.1906,3.9386,
0.191,3.9437,
0.1913,3.9437,
0.1916,3.9386,
0.1919,3.9386,
0.1922,3.9335,
0.1925,3.9386,
0.1929,3.9386,
0.1934,3.9284,
0.1937,3.9437,
0.1941,3.9386,
0.1944,3.9386,
0.1947,3.9335,
0.195,3.9386,
0.1954,3.9386,
0.1957,3.9386,
0.196,3.9437,
0.1963,3.9284,
0.1967,3.9437,
0.197,3.9386,
0.1973,3.9386,
0.1976,3.9335,
0.198,3.9386,
0.1983,3.9437,
0.1986,3.9335,
0.1989,3.9386,
0.1993,3.9437,
0.1996,3.9386,
0.1999,3.9386,
0.2002,3.9437,
0.2006,3.9335,
0.2009,3.9386,
0.2014,3.9284,
0.2017,3.9386,
0.2021,3.9386,
0.2024,3.9386,
0.2027,3.9335,
0.203,3.9386,
0.2034,3.9437,
0.2037,3.9386,
0.2041,3.9386,
0.2044,3.9437,
0.2047,3.9284,
0.205,3.9386,
0.2054,3.9437,
0.2061,3.9386,
0.2064,3.9437,
0.2067,3.9386,
0.2071,3.9386,
0.2074,3.9386,
0.2077,3.9386,
0.2333,3.9233,
0.2399,3.9284,
0.2461,3.9335,
0.2486,3.9284,
0.2489,3.9284,
0.2496,3.9284,
0.2501,3.9284,
0.2504,3.9284,
0.2507,3.9284,
0.2511,3.9233,
0.2514,3.9386,
0.2518,3.9284,
0.2522,3.9284,
0.2525,3.9233,
0.2529,3.9437,
0.2533,3.9284,
