Time A,Detector A,
0.0004,0.246,
0.0007,0.246,
0.0011,0.2409,
0.0096,0.2409,
0.0159,0.246,
0.0161,0.246,
0.0197,0.246,
0.0201,0.246,
0.0509,0.2409,
0.0695,0.246,
0.0699,0.2409,
0.076,0.2409,
0.1485,0.246,
0.1559,0.2409,
0.1577,0.246,
0.1635,0.2409,
0.1662,0.2409,
0.1667,0.246,
0.169,0.246,
0.1692,0.246,
0.1694,0.2409,
0.1696,0.246,
0.1697,0.2409,
0.1699,0.246,
0.1701,0.2409,
0.1702,0.246,
0.1704,0.246,
0.1706,0.246,
0.1708,0.246,
0.1709,0.246,
0.1711,0.2409,
0.1713,0.2409,
0.1715,0.2409,
0.1716,0.2409,
0.1718,0.2409,
0.172,0.246,
0.1721,0.2409,
0.1723,0.2409,
0.1728,0.246,
0.173,0.2409,
0.1732,0.2409,
0.1733,0.2409,
0.1735,0.246,
0.1737,0.246,
0.1739,0.246,
0.174,0.2409,
0.1742,0.246,
0.1744,0.246,
0.1745,0.2409,
0.1747,0.2409,
0.1749,0.2409,
0.175,0.2409,
0.1752,0.2409,
0.1755,0.2409,
0.1756,0.2409,
0.1758,0.246,
0.176,0.246,
0.1761,0.2409,
0.1763,0.246,
0.1765,0.246,
0.1766,0.2409,
0.1768,0.2409,
0.177,0.2409,
0.1772,0.2409,
0.1773,0.2409,
0.1775,0.2409,
0.1777,0.2409,
0.1779,0.2409,
0.1781,0.2409,
0.1782,0.2409,
0.1784,0.2409,
0.1786,0.246,
0.1788,0.246,
0.179,0.246,
0.186,0.246,
0.1863,0.2409,
0.1866,0.2409,
0.187,0.2409,
0.1873,0.2409,
0.1876,0.2409,
0.1879,0.2409,
0.1883,0.2409,
0.1891,0.2409,
0.1895,0.2409,
0.1898,0.246,
0.1901,0.2409,
0.1905,0.2409,
0.1908,0.2409,
0.1912,0.2409,
0.1915,0.246,
0.1918,0.246,
0.1921,0.246,
0.1924,0.2409,
0.1927,0.246,
0.193,0.2409,
0.1933,0.246,
0.1936,0.2409,
0.1939,0.2409,
0.1943,0.2409,
0.1946,0.2409,
0.1949,0.2409,
0.1952,0.246,
0.1955,0.246,
0.1958,0.246,
0.1962,0.2409,
0.1968,0.2409,
0.197,0.2409,
0.1973,0.2409,
0.1976,0.246,
0.1979,0.246,
0.1983,0.2409,
0.1986,0.246,
0.1989,0.246,
0.1992,0.246,
0.1995,0.2409,
0.1998,0.2409,
0.2001,0.2409,
0.2004,0.246,
0.2007,0.2409,
0.201,0.246,
0.2014,0.246,
0.2017,0.2409,
0.202,0.246,
0.2024,0.246,
0.2027,0.246,
0.203,0.2409,
0.2033,0.2409,
0.2036,0.2409,
0.2039,0.246,
0.2042,0.2409,
0.2048,0.2409,
0.205,0.246,
0.2053,0.2409,
0.2056,0.246,
0.2059,0.2409,
0.2063,0.2409,
0.2066,0.2409,
0.207,0.246,
0.2073,0.2409,
0.2076,0.246,
0.2079,0.2409,
0.2083,0.2409,
0.2086,0.2409,
0.2089,0.2409,
0.2092,0.246,
0.2096,0.246,
0.2099,0.2409,
0.2102,0.246,
0.2106,0.2409,
0.2109,0.2409,
0.2112,0.246,
0.2116,0.246,
0.2119,0.246,
0.2122,0.246,
0.2128,0.246,
0.2132,0.246,
0.2135,0.246,
0.2138,0.2409,
0.2141,0.2409,
0.2144,0.2409,
0.2148,0.246,
0.2151,0.246,
0.2154,0.2409,
0.2157,0.246,
0.216,0.2409,
0.2163,0.2409,
0.2166,0.246,
0.2169,0.2409,
0.2173,0.2409,
0.2176,0.2409,
0.2179,0.2409,
0.2182,0.2409,
0.2185,0.2409,
0.2188,0.246,
0.2191,0.2409,
0.2195,0.246,
0.2198,0.2409,
0.2201,0.2409,
0.2204,0.246,
0.221,0.2409,
0.2213,0.2409,
0.2216,0.246,
0.222,0.246,
0.2223,0.2409,
0.2226,0.2409,
0.2229,0.246,
0.2232,0.2409,
0.2235,0.2409,
0.2239,0.246,
0.2242,0.2409,
0.2245,0.246,
0.2248,0.2409,
0.2252,0.2409,
0.2255,0.246,
0.2258,0.2409,
0.2264,0.246,
0.2267,0.2409,
0.227,0.2409,
0.2273,0.2409,
0.2276,0.2409,
0.2279,0.2409,
0.2282,0.2409,
0.2289,0.2409,
0.2292,0.2409,
0.2295,0.246,
0.2298,0.2409,
0.2301,0.246,
0.2304,0.2409,
0.2307,0.246,
0.2311,0.246,
0.2314,0.246,
0.2317,0.246,
0.2319,0.2409,
0.2322,0.2409,
0.2325,0.246,
0.2328,0.246,
0.2331,0.246,
0.2334,0.2409,
0.2337,0.2409,
0.2341,0.2409,
0.2344,0.2409,
0.2347,0.246,
0.235,0.2409,
0.2353,0.2409,
0.2356,0.246,
0.2359,0.246,
0.2362,0.2409,
0.2418,0.2409,
0.2422,0.2409,
