Time A,Detector A,
0.0014,1.4072,
0.0129,1.4123,
0.0202,1.4072,
0.0204,1.4072,
0.0206,1.4072,
0.0264,1.4072,
0.0306,1.4072,
0.031,1.4072,
0.0322,1.4072,
0.043,1.4072,
0.0485,1.4072,
0.0493,1.4021,
0.05,1.4072,
0.0597,1.4021,
0.0863,1.4021,
0.0932,1.4072,
0.1059,1.4021,
0.108,1.4021,
0.1083,1.4072,
0.1103,1.4072,
0.1125,1.4021,
0.1167,1.4072,
0.1225,1.4072,
0.1388,1.4072,
0.1421,1.4021,
0.1444,1.4021,
0.1497,1.4021,
0.1502,1.4021,
0.1634,1.4072,
0.1682,1.3969,
0.1724,1.4072,
0.176,1.4021,
0.1767,1.4021,
0.178,1.4072,
0.1786,1.4021,
0.1795,1.4021,
0.1801,1.4021,
0.181,1.4021,
0.1825,1.4021,
0.1831,1.4021,
0.1842,1.4021,
0.185,1.4021,
0.1855,1.4072,
0.186,1.4072,
0.1866,1.4072,
0.1877,1.4021,
0.1883,1.4021,
0.1888,1.4021,
0.1913,1.4021,
0.1927,1.4072,
0.1935,1.4021,
0.197,1.4021,
0.199,1.4021,
0.2008,1.4072,
0.2023,1.4021,
0.2029,1.4072,
0.2034,1.4072,
0.2048,1.4072,
0.2074,1.4072,
0.2086,1.3969,
0.2091,1.3969,
0.2102,1.4021,
0.2108,1.4021,
0.2114,1.4021,
0.212,1.4021,
0.2125,1.4021,
0.2139,1.4021,
0.2142,1.4021,
0.215,1.4072,
0.2157,1.4072,
0.2216,1.4021,
0.2222,1.4021,
0.2237,1.4072,
0.2247,1.4021,
0.2281,1.4021,
0.2313,1.4072,
0.2318,1.3969,
0.2322,1.4072,
0.2325,1.4072,
0.2329,1.4021,
0.2332,1.4072,
0.2336,1.4072,
0.234,1.4072,
0.2343,1.4072,
0.2346,1.4072,
0.235,1.4072,
0.2353,1.4072,
0.2356,1.4072,
0.236,1.4072,
0.2363,1.4072,
0.2367,1.4123,
0.237,1.4072,
0.2373,1.4072,
0.2377,1.4072,
0.238,1.4072,
0.2384,1.4072,
0.2387,1.4072,
0.2391,1.4072,
0.2395,1.4072,
0.2398,1.4072,
0.2402,1.4072,
0.2405,1.4072,
0.2408,1.4072,
0.2412,1.4072,
0.2415,1.4072,
0.2419,1.4072,
0.2422,1.4072,
0.2426,1.4072,
0.2429,1.4072,
0.2433,1.4072,
0.2437,1.4072,
0.2441,1.4123,
0.2445,1.4072,
0.2448,1.4021,
0.2453,1.4072,
0.2456,1.4072,
0.2459,1.4072,
0.2463,1.4123,
0.2466,1.4123,
0.2469,1.4123,
0.2473,1.4072,
0.2476,1.4021,
0.2479,1.4072,
0.2483,1.4072,
0.2487,1.4072,
0.249,1.4072,
0.2493,1.4072,
0.2497,1.4072,
0.25,1.4072,
0.2503,1.4072,
0.2507,1.4072,
0.251,1.4072,
0.2514,1.4021,
0.2518,1.4072,
0.2522,1.4072,
0.2525,1.4072,
0.2528,1.4072,
0.2532,1.4021,
0.2537,1.4021,
0.254,1.4021,
0.2544,1.3969,
0.2548,1.3969,
0.2551,1.4021,
0.2555,1.4021,
0.2558,1.4021,
0.2564,1.4021,
0.2568,1.4021,
0.2571,1.4072,
0.2575,1.4021,
0.2581,1.4021,
0.2594,1.4021,
0.2601,1.4021,
0.2605,1.4123,
0.2609,1.4072,
0.2612,1.4021,
0.2616,1.4072,
0.2619,1.4021,
0.2623,1.4021,
0.2627,1.4072,
0.263,1.4072,
0.2633,1.4072,
0.2637,1.4021,
0.264,1.4072,
0.2643,1.4072,
0.2647,1.4072,
0.2655,1.4021,
0.2701,1.4072,
0.2705,1.4072,
0.2708,1.4072,
0.2712,1.4072,
0.2723,1.3969,
0.2726,1.4072,
0.273,1.4072,
0.2733,1.4021,
0.2737,1.4072,
0.274,1.4072,
0.2744,1.4072,
0.2747,1.4072,
0.2751,1.4072,
0.2755,1.4021,
0.2758,1.4021,
0.2762,1.4072,
0.2765,1.4072,
0.2769,1.4072,
0.2772,1.4072,
0.2788,1.4072,
0.2791,1.4072,
0.2819,1.4021,
0.2823,1.4072,
0.2826,1.4072,
0.283,1.4072,
0.2834,1.4072,
0.2838,1.4072,
