Time B,Detector B,
0.0006,1.9645,
0.001,1.9645,
0.0362,1.9645,
0.0581,1.9645,
0.0894,1.9645,
0.1077,1.9594,
0.1078,1.9594,
0.1141,1.9594,
0.1142,1.9594,
0.1208,1.9594,
0.121,1.9594,
0.1214,1.9594,
0.1216,1.9594,
0.1218,1.9645,
0.122,1.9594,
0.1222,1.9594,
0.1224,1.9594,
0.1226,1.9645,
0.1228,1.9645,
0.123,1.9594,
0.1232,1.9594,
0.1234,1.9645,
0.1236,1.9594,
0.1238,1.9645,
0.124,1.9645,
0.1242,1.9594,
0.1244,1.9645,
0.1246,1.9594,
0.1248,1.9645,
0.125,1.9594,
0.1251,1.9594,
0.1253,1.9645,
0.1255,1.9594,
0.1257,1.9594,
0.1259,1.9594,
0.1261,1.9594,
0.1263,1.9594,
0.1265,1.9645,
0.1267,1.9594,
0.1269,1.9645,
0.1271,1.9594,
0.1277,1.9645,
0.1279,1.9594,
0.1283,1.9645,
0.1286,1.9594,
0.129,1.9594,
0.1293,1.9645,
0.1297,1.9594,
0.13,1.9645,
0.1303,1.9645,
0.1307,1.9594,
0.131,1.9645,
0.1314,1.9594,
0.1317,1.9645,
0.1319,1.9594,
0.1322,1.9594,
0.1324,1.9594,
0.1327,1.9645,
0.133,1.9645,
0.1334,1.9594,
0.1337,1.9645,
0.1341,1.9645,
0.1344,1.9645,
0.1348,1.9594,
0.1351,1.9645,
0.1357,1.9594,
0.136,1.9594,
0.1363,1.9594,
0.1366,1.9645,
0.137,1.9645,
0.1374,1.9543,
0.1378,1.9543,
0.1381,1.9543,
0.1385,1.9543,
0.1389,1.9594,
0.1393,1.9543,
0.1396,1.9543,
0.14,1.9543,
0.1403,1.9594,
0.1407,1.9543,
0.1411,1.9543,
0.1415,1.9594,
0.1419,1.9543,
0.1422,1.9594,
0.1426,1.9543,
0.1429,1.9543,
0.1433,1.9594,
0.1441,1.9594,
0.1445,1.9645,
0.1448,1.9645,
0.1452,1.9594,
0.1455,1.9594,
0.1458,1.9747,
0.1462,1.9594,
0.1465,1.9594,
0.1469,1.9594,
0.1473,1.9594,
0.1476,1.9645,
0.148,1.9594,
0.1483,1.9645,
0.1486,1.9594,
0.149,1.9594,
0.1494,1.9594,
0.1497,1.9594,
0.15,1.9594,
0.1504,1.9645,
0.1507,1.9645,
0.1511,1.9594,
0.1517,1.9645,
0.152,1.9543,
0.1528,1.9543,
0.1531,1.9594,
0.1535,1.9594,
0.1538,1.9645,
0.1542,1.9594,
0.1545,1.9645,
0.1549,1.9645,
0.1552,1.9645,
0.1555,1.9594,
0.1559,1.9645,
0.1562,1.9645,
0.1566,1.9594,
0.157,1.9594,
0.1573,1.9594,
0.1577,1.9594,
0.158,1.9594,
0.1583,1.9645,
0.1587,1.9594,
0.1591,1.9543,
0.1599,1.9594,
0.1602,1.9594,
0.1606,1.9492,
0.161,1.9543,
0.1615,1.9492,
0.1619,1.9543,
0.1623,1.9543,
0.1626,1.9543,
0.163,1.9543,
0.1634,1.9594,
0.1639,1.9543,
0.1644,1.9543,
0.1648,1.9543,
0.1652,1.9594,
0.1655,1.9645,
0.1659,1.9594,
0.1662,1.9594,
0.1666,1.9594,
0.1669,1.9594,
0.1673,1.9594,
0.1686,1.9543,
0.1689,1.9594,
0.1693,1.9645,
0.1696,1.9594,
0.17,1.9594,
0.1703,1.9645,
0.1707,1.9645,
0.171,1.9645,
0.1714,1.9594,
0.1717,1.9594,
0.172,1.9645,
0.1724,1.9594,
0.1732,1.9594,
0.1735,1.9594,
0.1739,1.9645,
0.1742,1.9645,
0.1745,1.9645,
0.1749,1.9594,
0.1752,1.9645,
0.1756,1.9594,
0.1765,1.9543,
0.1769,1.9594,
0.1772,1.9594,
0.1776,1.9594,
0.1779,1.9645,
0.1783,1.9594,
0.1786,1.9594,
0.1789,1.9645,
0.1793,1.9594,
0.1796,1.9594,
0.18,1.9645,
0.1803,1.9594,
0.1807,1.9594,
0.1811,1.9645,
0.1814,1.9645,
0.1817,1.9594,
0.1821,1.9645,
0.1824,1.9645,
0.1828,1.9696,
0.1831,1.9645,
0.1838,1.9645,
0.184,1.9594,
0.1843,1.9645,
0.1847,1.9594,
0.185,1.9594,
0.1854,1.9594,
0.1857,1.9645,
0.1861,1.9594,
0.1864,1.9594,
0.1868,1.9645,
0.1871,1.9594,
0.1875,1.9594,
0.1878,1.9594,
0.1882,1.9645,
0.1886,1.9645,
0.189,1.9594,
0.1893,1.9543,
0.1895,1.9645,
0.1897,1.9645,
0.1899,1.9594,
0.1901,1.9594,
0.1903,1.9594,
0.1904,1.9645,
0.1906,1.9645,
0.1909,1.9645,
0.1911,1.9645,
0.1913,1.9645,
0.1917,1.9594,
0.192,1.9594,
0.1922,1.9645,
0.1924,1.9594,
0.1926,1.9645,
0.1928,1.9594,
0.1929,1.9594,
0.1931,1.9594,
0.1933,1.9594,
0.1935,1.9645,
0.1937,1.9645,
0.1939,1.9594,
0.1941,1.9645,
0.1943,1.9645,
0.1945,1.9645,
0.1947,1.9645,
0.1949,1.9594,
0.1951,1.9645,
0.1953,1.9645,
0.1955,1.9645,
0.1957,1.9594,
0.1959,1.9594,
0.1961,1.9594,
0.1963,1.9594,
0.1965,1.9594,
0.1967,1.9594,
0.1969,1.9594,
0.1971,1.9645,
0.1973,1.9594,
0.1974,1.9696,
0.1976,1.9594,
0.1978,1.9645,
0.198,1.9594,
0.1982,1.9645,
0.1984,1.9645,
0.1986,1.9594,
0.1989,1.9645,
0.1993,1.9594,
0.1999,1.9594,
0.2002,1.9645,
0.2006,1.9645,
0.201,1.9645,
0.2013,1.9645,
0.2016,1.9594,
0.202,1.9645,
0.2023,1.9645,
0.2027,1.9645,
0.203,1.9645,
0.2034,1.9645,
0.2037,1.9594,
0.2041,1.9645,
0.2044,1.9645,
0.2047,1.9645,
0.2051,1.9645,
0.2055,1.9645,
0.2058,1.9594,
0.2062,1.9645,
0.2065,1.9594,
0.2069,1.9594,
0.2072,1.9645,
0.208,1.9594,
0.2083,1.9594,
0.2087,1.9594,
0.209,1.9594,
0.2094,1.9645,
0.2097,1.9645,
0.2101,1.9594,
0.2104,1.9645,
0.2108,1.9594,
0.2112,1.9594,
0.2115,1.9594,
0.2119,1.9543,
0.2122,1.9594,
0.2126,1.9594,
0.2129,1.9645,
0.2133,1.9594,
0.2136,1.9594,
0.214,1.9594,
0.2143,1.9645,
0.2146,1.9594,
0.215,1.9594,
0.2153,1.9645,
0.216,1.9594,
0.2163,1.9645,
0.2167,1.9645,
0.217,1.9645,
0.2173,1.9645,
0.2177,1.9645,
0.218,1.9645,
0.2184,1.9594,
0.2188,1.9645,
0.2191,1.9696,
0.2194,1.9645,
0.2198,1.9645,
0.2201,1.9645,
0.2205,1.9645,
0.2209,1.9594,
0.2214,1.9543,
0.222,1.9543,
0.2225,1.9594,
0.2231,1.9594,
0.2237,1.9492,
0.2241,1.9594,
0.2245,1.9594,
0.2248,1.9645,
0.2253,1.9645,
0.2258,1.9645,
0.2263,1.9594,
0.227,1.9594,
0.2274,1.9594,
0.2277,1.9594,
0.228,1.9645,
0.2284,1.9594,
0.2291,1.9543,
0.2295,1.9543,
0.2299,1.9645,
0.2303,1.9645,
0.2306,1.9594,
0.2309,1.9645,
0.2312,1.9543,
0.2318,1.9543,
0.2321,1.9645,
0.2325,1.9594,
0.2328,1.9594,
0.2342,1.9594,
0.2347,1.9543,
0.2356,1.9594,
0.2359,1.9645,
0.2363,1.9594,
0.2367,1.9645,
0.2371,1.9594,
0.2374,1.9594,
0.2377,1.9645,
0.2381,1.9645,
0.2385,1.9594,
0.2389,1.9594,
0.2393,1.9543,
0.2399,1.9594,
0.2403,1.9594,
0.2407,1.9594,
0.241,1.9594,
0.2413,1.9645,
0.2417,1.9645,
0.242,1.9543,
0.2424,1.9594,
0.2428,1.9594,
0.2431,1.9594,
0.2435,1.9594,
0.2439,1.9594,
0.2442,1.9594,
0.2446,1.9594,
0.245,1.9594,
0.2454,1.9492,
0.2458,1.9492,
0.2462,1.9543,
0.2466,1.9543,
0.2469,1.9594,
0.2472,1.9594,
0.2479,1.9543,
0.2482,1.9594,
0.2485,1.9645,
0.2489,1.9645,
0.2493,1.9543,
0.2497,1.9594,
0.2501,1.9594,
0.2505,1.9594,
0.2509,1.9594,
0.2512,1.9645,
0.2516,1.9594,
0.2519,1.9594,
0.2523,1.9645,
0.2527,1.9594,
0.253,1.9594,
0.2533,1.9594,
0.2537,1.9594,
0.2541,1.9594,
0.2545,1.9594,
0.2549,1.9594,
0.2553,1.9594,
0.2559,1.9594,
0.2562,1.9645,
0.2566,1.9594,
0.257,1.9543,
0.2573,1.9594,
0.2577,1.9594,
0.258,1.9594,
0.2584,1.9594,
0.2587,1.9645,
0.2591,1.9594,
0.2595,1.9594,
0.2599,1.9543,
0.2601,1.9543,
0.2605,1.9594,
0.2608,1.9645,
0.2612,1.9594,
0.2615,1.9645,
0.2618,1.9594,
0.2622,1.9645,
0.2625,1.9645,
0.2628,1.9645,
0.2631,1.9594,
0.2637,1.9645,
0.264,1.9594,
