Time A,Detector A,
0.0006,1.4123,
0.0013,1.4123,
0.0108,1.4123,
0.0171,1.4123,
0.0172,1.4123,
0.0227,1.4072,
0.0228,1.4123,
0.0253,1.4123,
0.026,1.4123,
0.0529,1.4123,
0.0628,1.4123,
0.0715,1.4123,
0.0848,1.4072,
0.0881,1.4123,
0.0965,1.4123,
0.1334,1.4072,
0.135,1.4072,
0.1446,1.4021,
0.1484,1.4072,
0.1503,1.4021,
0.1513,1.4072,
0.1521,1.4072,
0.1529,1.4021,
0.1542,1.4072,
0.1592,1.4021,
0.1595,1.4072,
0.1597,1.4072,
0.1598,1.4072,
0.16,1.4072,
0.1602,1.4072,
0.1604,1.4072,
0.1606,1.4072,
0.1607,1.4123,
0.1609,1.4123,
0.1611,1.4072,
0.1613,1.4072,
0.1615,1.4072,
0.1616,1.4123,
0.1618,1.4072,
0.162,1.4072,
0.1622,1.4072,
0.1623,1.4072,
0.1625,1.4072,
0.1627,1.4072,
0.1629,1.4021,
0.1631,1.4072,
0.1632,1.4072,
0.1634,1.4072,
0.1636,1.4072,
0.1638,1.4072,
0.164,1.4072,
0.1641,1.4072,
0.1643,1.4072,
0.1645,1.4072,
0.1647,1.4072,
0.1649,1.4072,
0.1651,1.4072,
0.1653,1.4072,
0.1654,1.4072,
0.1656,1.4072,
0.1658,1.4072,
0.166,1.4072,
0.1661,1.4072,
0.1663,1.4072,
0.1665,1.4072,
0.1667,1.4072,
0.1669,1.4072,
0.1711,1.4072,
0.1713,1.4072,
0.1715,1.4072,
0.1717,1.4072,
0.1719,1.4123,
0.172,1.4072,
0.1722,1.4072,
0.1724,1.4072,
0.1726,1.4072,
0.1727,1.4072,
0.1729,1.4072,
0.1731,1.4072,
0.1733,1.4072,
0.1735,1.4072,
0.1736,1.4072,
0.1738,1.4123,
0.174,1.4072,
0.1742,1.4072,
0.1744,1.4123,
0.1745,1.4072,
0.1747,1.4072,
0.1749,1.4072,
0.1751,1.4072,
0.1859,1.4072,
0.1861,1.4072,
0.1863,1.4072,
0.1865,1.4072,
0.1867,1.4072,
0.1869,1.4021,
0.1871,1.4021,
0.1873,1.4072,
0.1875,1.4072,
0.1877,1.4021,
0.1879,1.4021,
0.1881,1.4072,
0.1883,1.4072,
0.1885,1.4021,
0.1887,1.4021,
0.1889,1.4072,
0.1891,1.4021,
0.1892,1.4021,
0.1894,1.4072,
0.1897,1.4021,
0.1899,1.4072,
0.1901,1.4072,
0.1903,1.4021,
0.1905,1.4072,
0.1907,1.4072,
0.1909,1.4072,
0.191,1.4072,
0.1912,1.4072,
0.1914,1.4072,
0.1916,1.4072,
0.1918,1.4072,
0.1921,1.4072,
0.1948,1.4021,
0.195,1.4021,
0.1952,1.4021,
0.1954,1.4072,
0.1956,1.4021,
0.1958,1.4021,
0.196,1.4021,
0.1962,1.4021,
0.1964,1.4072,
0.1966,1.4072,
0.1967,1.4021,
0.1969,1.4072,
0.1971,1.4072,
0.1973,1.4072,
0.1974,1.4072,
0.1976,1.4072,
0.1978,1.4021,
0.198,1.4072,
0.1982,1.4072,
0.1983,1.4072,
0.1985,1.4021,
0.1987,1.4021,
0.1989,1.4072,
0.1991,1.4072,
0.1993,1.4072,
0.1995,1.4072,
