Time A,Detector A,
0.0003,3.4481,
0.0007,3.4584,
0.0112,3.4533,
0.0113,3.4584,
0.0388,3.4533,
0.0389,3.4584,
0.0427,3.4584,
0.0442,3.4481,
0.0511,3.4584,
0.058,3.4533,
0.095,3.4635,
0.0998,3.4584,
0.1054,3.4584,
0.1126,3.4635,
0.1136,3.4584,
0.1285,3.4533,
0.1288,3.4584,
0.1301,3.4533,
0.1324,3.4635,
0.1343,3.4584,
0.1346,3.4584,
0.1349,3.4584,
0.1352,3.4584,
0.1355,3.4686,
0.1358,3.4635,
0.1361,3.4635,
0.1364,3.4635,
0.1367,3.4635,
0.137,3.4584,
0.1374,3.4584,
0.1377,3.4584,
0.138,3.4635,
0.1383,3.4584,
0.1386,3.4584,
0.1395,3.4481,
0.1398,3.4481,
0.1401,3.4584,
0.1404,3.4584,
0.1407,3.4584,
0.141,3.4584,
0.1415,3.4481,
0.1418,3.4584,
0.1421,3.4584,
0.1424,3.4584,
0.1427,3.4584,
0.143,3.4533,
0.1433,3.4584,
0.1437,3.4533,
0.1448,3.4635,
0.1451,3.4533,
0.1454,3.4533,
0.1458,3.4481,
0.1461,3.4481,
0.1465,3.4533,
0.1468,3.4635,
0.1471,3.4533,
0.1475,3.4584,
0.1478,3.4533,
0.1481,3.4635,
0.1485,3.4584,
0.149,3.4533,
0.1494,3.4533,
0.1496,3.4481,
0.1499,3.4481,
0.1502,3.4481,
0.1505,3.4584,
0.1509,3.4481,
0.1512,3.4584,
0.1515,3.4533,
0.1518,3.4533,
0.1521,3.4584,
0.1524,3.4584,
0.1536,3.4533,
0.1539,3.4635,
0.1546,3.4584,
0.1549,3.4635,
0.1552,3.4635,
0.1556,3.4635,
0.1559,3.4635,
0.1562,3.4584,
0.1566,3.4635,
0.1568,3.4533,
0.1571,3.4635,
0.158,3.4481,
0.1583,3.4481,
0.1587,3.4481,
0.159,3.4584,
0.1593,3.4584,
0.1596,3.4635,
0.1599,3.4635,
0.1602,3.4584,
0.1605,3.4584,
0.1608,3.4635,
0.1611,3.4635,
0.1614,3.4635,
0.1617,3.4635,
0.162,3.4635,
0.1624,3.4635,
0.1627,3.4635,
0.163,3.4635,
0.1633,3.4584,
0.1636,3.4635,
0.1639,3.4584,
0.1642,3.4635,
0.1645,3.4584,
0.1648,3.4584,
0.1651,3.4635,
0.1658,3.4584,
0.1661,3.4584,
0.1664,3.4584,
0.1668,3.4635,
0.1671,3.4584,
0.1674,3.4584,
0.1677,3.4584,
0.1681,3.4635,
0.1684,3.4584,
0.1687,3.4635,
0.169,3.4584,
0.1693,3.4533,
0.1696,3.4635,
0.1699,3.4635,
0.1702,3.4635,
0.1705,3.4635,
0.1708,3.4635,
0.1711,3.4635,
0.1714,3.4635,
0.1718,3.4635,
0.1721,3.4635,
0.1724,3.4584,
0.1727,3.4584,
0.173,3.4584,
0.1735,3.4533,
0.1738,3.4635,
0.1741,3.4635,
0.1744,3.4635,
0.1745,3.4584,
0.1747,3.4533,
0.1749,3.4481,
0.1752,3.4584,
0.1755,3.4635,
0.1759,3.4584,
0.1762,3.4584,
0.1765,3.4584,
0.1768,3.4584,
0.1771,3.4533,
0.1775,3.4533,
0.1778,3.4533,
0.1781,3.4481,
0.1784,3.4584,
0.1787,3.4481,
0.179,3.4533,
0.1793,3.4584,
0.1796,3.4533,
0.1799,3.4533,
0.1802,3.4584,
0.1806,3.4584,
0.1809,3.4584,
0.1812,3.4584,
0.1816,3.4481,
0.1819,3.4584,
0.1822,3.4533,
0.1826,3.4584,
0.1829,3.4584,
0.1832,3.4533,
0.1835,3.4584,
0.1838,3.4584,
0.1841,3.4533,
0.1844,3.4635,
0.1847,3.4533,
0.185,3.4533,
0.1853,3.4584,
0.1856,3.4584,
0.1859,3.4481,
0.1863,3.4635,
0.1866,3.4584,
0.187,3.4584,
0.1873,3.4584,
0.1876,3.4635,
0.1879,3.4635,
0.1882,3.4533,
0.1885,3.4584,
0.1888,3.4584,
0.1892,3.4584,
0.1894,3.4533,
0.1896,3.4481,
0.19,3.4481,
0.1903,3.4635,
0.1906,3.4635,
0.1909,3.4686,
0.1912,3.4635,
0.1915,3.4635,
0.1918,3.4635,
0.1922,3.4635,
0.1925,3.4635,
0.1928,3.4635,
0.1931,3.4584,
0.1934,3.4584,
0.1937,3.4584,
0.194,3.4584,
0.1943,3.4584,
0.1946,3.4584,
0.1954,3.4533,
0.1957,3.4635,
0.196,3.4635,
0.1963,3.4635,
0.1966,3.4635,
0.1969,3.4584,
0.1973,3.4533,
0.1977,3.4533,
0.198,3.4635,
0.1983,3.4635,
0.1986,3.4635,
0.1989,3.4584,
0.1993,3.4584,
0.1996,3.4584,
0.1999,3.4584,
0.2002,3.4584,
0.2005,3.4584,
0.2008,3.4635,
0.2011,3.4635,
0.2014,3.4635,
0.2017,3.4635,
0.202,3.4635,
0.2023,3.4584,
0.2027,3.4635,
0.203,3.4584,
0.2033,3.4635,
0.2036,3.4635,
0.2039,3.4635,
0.2042,3.4635,
0.2045,3.4635,
0.2048,3.4584,
0.2051,3.4584,
0.2056,3.4533,
0.2059,3.4584,
0.2062,3.4584,
0.2065,3.4584,
0.2068,3.4635,
0.2071,3.4584,
0.2074,3.4584,
0.2077,3.4584,
0.2086,3.4533,
0.2089,3.4584,
0.2092,3.4635,
0.2095,3.4584,
0.2098,3.4635,
0.2101,3.4635,
0.2104,3.4584,
0.2107,3.4635,
0.2111,3.4635,
0.2114,3.4635,
0.2117,3.4635,
0.212,3.4635,
0.2123,3.4635,
0.2126,3.4584,
0.2129,3.4635,
0.2133,3.4533,
0.2136,3.4533,
0.2139,3.4635,
0.2142,3.4635,
0.2145,3.4584,
0.2148,3.4584,
0.2151,3.4584,
0.2153,3.4533,
0.2155,3.4533,
0.2157,3.4584,
0.216,3.4584,
0.2163,3.4635,
0.2166,3.4635,
0.2169,3.4584,
0.2173,3.4584,
0.2176,3.4584,
0.2179,3.4584,
0.2182,3.4584,
0.2185,3.4584,
0.2188,3.4635,
0.2191,3.4635,
0.2195,3.4686,
0.2198,3.4635,
0.2201,3.4635,
0.2204,3.4635,
0.2207,3.4635,
0.221,3.4635,
0.2214,3.4635,
0.2217,3.4481,
0.222,3.4635,
0.2223,3.4635,
0.2226,3.4635,
0.223,3.4635,
0.2233,3.4584,
0.2236,3.4635,
0.2239,3.4635,
0.2242,3.4584,
0.2245,3.4584,
0.2248,3.4584,
0.2251,3.4584,
0.2254,3.4584,
0.2258,3.4584,
0.2261,3.4635,
0.2264,3.4635,
0.2267,3.4584,
0.227,3.4584,
0.2273,3.4481,
0.2276,3.4635,
0.228,3.4635,
0.2285,3.4584,
0.2288,3.4584,
0.2291,3.4379,
0.2296,3.4481,
0.23,3.4584,
0.2303,3.4481,
0.2308,3.4533,
0.231,3.4481,
0.2314,3.4584,
0.2317,3.4533,
0.232,3.4481,
0.2323,3.4533,
0.2326,3.4481,
0.233,3.4584,
0.2333,3.4481,
0.2336,3.4533,
0.2339,3.4533,
0.2342,3.4584,
0.2346,3.4533,
0.2349,3.4481,
0.2352,3.4533,
0.2356,3.4481,
0.2358,3.4481,
0.236,3.4533,
0.2363,3.443,
0.2374,3.4533,
0.2583,3.4481,
0.2587,3.4533,
0.2603,3.4481,
0.2607,3.4686,
0.2714,3.4584,
0.2732,3.4533,
0.2735,3.4481,
0.2738,3.443,
0.2741,3.443,
0.2743,3.4481,
0.2747,3.4481,
0.2752,3.4481,
0.2754,3.443,
0.276,3.4481,
0.2763,3.4481,
0.277,3.4584,
0.2774,3.4533,
0.2776,3.4533,
0.2778,3.4481,
0.278,3.4481,
0.2782,3.4481,
0.2785,3.4481,
0.2789,3.4584,
0.2791,3.443,
0.2793,3.4533,
0.2797,3.443,
0.2799,3.4481,
0.2812,3.4533,
0.282,3.4533,
0.2836,3.4481,
0.2895,3.4533,
0.3113,3.443,
0.3169,3.443,
0.3183,3.4481,
0.3187,3.4584,
0.3189,3.4533,
0.3193,3.4481,
0.3197,3.4533,
0.3201,3.4481,
0.3217,3.4533,
0.322,3.4533,
0.3228,3.4481,
0.3232,3.4481,
0.3235,3.4584,
0.325,3.4584,
0.3254,3.4584,
0.326,3.4533,
0.3271,3.4584,
0.3277,3.4481,
0.329,3.4481,
0.3294,3.4481,
0.3307,3.4481,
0.331,3.4533,
0.3312,3.4533,
0.3316,3.4481,
0.3334,3.4481,
0.3357,3.443,
0.3373,3.4533,
0.3398,3.4533,
0.3433,3.4533,
0.349,3.4584,
0.3494,3.4481,
0.3544,3.443,
0.3606,3.443,
0.3625,3.4481,
0.3824,3.4379,
0.3968,3.4481,
0.4005,3.4533,
0.4011,3.4533,
0.403,3.443,
0.4037,3.443,
0.4042,3.4533,
0.4048,3.443,
0.4056,3.4481,
0.4062,3.4533,
0.4067,3.443,
0.4069,3.4533,
0.4083,3.4533,
0.4088,3.443,
0.409,3.4481,
0.4107,3.4533,
0.4112,3.4533,
0.4129,3.4584,
0.4134,3.4584,
