Time A,Detector A,
0.000537,-0.00078,
0.000958,0.004324,
0.001512,0.004324,
0.011292,-0.00078,
0.018329,0.004324,
0.018453,0.004324,
0.023906,0.004324,
0.024,0.004324,
0.026278,0.004324,
0.080343,0.004324,
0.084549,0.004324,
0.090463,-0.00078,
0.093668,0.004324,
0.095547,0.004324,
0.101369,0.004324,
0.101882,0.004324,
0.102704,0.004324,
0.102959,-0.00078,
0.104228,0.004324,
0.10452,0.004324,
0.117641,0.004324,
0.119866,0.004324,
0.12018,0.004324,
0.123137,0.004324,
0.123482,-0.00078,
0.123843,0.004324,
0.125086,0.004324,
0.125497,0.004324,
0.128891,0.004324,
0.1292,0.004324,
0.13361,0.004324,
0.135135,0.004324,
0.13566,0.004324,
0.139473,0.004324,
0.139865,0.004324,
0.140333,0.004324,
0.142342,0.004324,
0.14396,0.004324,
0.144585,0.004324,
0.146177,0.004324,
0.146765,0.004324,
0.147195,0.004324,
0.147664,0.004324,
0.148317,0.004324,
0.148832,0.004324,
0.1493,0.004324,
0.149735,0.004324,
0.150478,0.004324,
0.151159,0.004324,
0.151459,0.004324,
0.151938,-0.00078,
0.153368,0.004324,
0.15438,0.004324,
0.155643,0.004324,
0.156477,-0.00078,
0.156952,0.004324,
0.157227,0.004324,
0.157914,-0.00078,
0.158877,0.004324,
0.159596,-0.00078,
0.160188,0.004324,
0.160538,0.004324,
0.160995,-0.00078,
0.161736,0.004324,
0.162159,-0.00078,
0.162485,-0.00078,
0.162921,0.004324,
0.166398,0.004324,
0.166876,0.004324,
0.168465,0.004324,
0.168809,-0.00078,
0.169171,0.004324,
0.169786,0.004324,
0.170208,0.004324,
0.170682,0.004324,
0.171005,-0.00078,
0.171313,0.004324,
0.171869,-0.00078,
0.172192,0.004324,
0.172585,-0.00078,
0.173133,-0.00078,
0.1735,0.004324,
0.173954,0.004324,
0.174343,0.004324,
0.174744,0.004324,
0.177144,-0.00078,
0.177678,-0.00078,
0.178121,0.004324,
0.178735,0.004324,
0.181033,0.004324,
0.181577,0.004324,
0.181795,0.004324,
0.182139,0.004324,
0.182478,-0.00078,
0.182818,0.004324,
0.183158,0.004324,
0.183498,-0.00078,
0.183844,-0.00078,
0.184208,0.004324,
0.184699,0.004324,
0.185035,0.004324,
0.185409,0.004324,
0.185758,-0.00078,
0.186122,0.004324,
0.186478,0.004324,
0.186843,0.004324,
0.187202,0.004324,
0.187552,0.004324,
0.187919,-0.00078,
0.188476,0.004324,
0.189083,0.004324,
0.189502,-0.00078,
0.18994,0.004324,
0.191101,0.004324,
0.191562,0.004324,
0.191819,-0.00078,
0.192167,0.004324,
0.192529,0.004324,
0.192871,0.004324,
0.193218,0.004324,
0.19356,-0.00078,
0.193912,0.004324,
0.194263,0.004324,
0.194635,0.004324,
0.19517,0.004324,
0.195571,0.004324,
0.196013,-0.00078,
0.196422,0.004324,
0.196843,0.004324,
0.197187,0.004324,
0.197539,0.004324,
0.197899,0.004324,
0.198467,-0.00078,
0.198864,0.004324,
0.199257,0.004324,
0.199635,0.004324,
0.200059,0.004324,
0.200398,0.004324,
0.200737,0.004324,
0.201075,0.004324,
0.201416,0.004324,
0.201754,0.004324,
0.202091,0.004324,
0.202428,0.004324,
0.202769,-0.00078,
0.203103,0.004324,
0.20344,-0.00078,
0.203781,0.004324,
0.204163,0.004324,
0.204462,0.004324,
0.204803,0.004324,
0.205145,-0.00078,
0.205487,0.004324,
0.205843,0.004324,
0.206194,0.004324,
0.206469,0.004324,
0.206966,-0.00078,
0.207221,0.004324,
0.207597,0.004324,
0.208147,0.004324,
0.208704,0.004324,
0.20915,0.004324,
0.209507,0.004324,
0.210329,0.004324,
0.210689,0.004324,
0.211051,0.004324,
0.211398,0.004324,
0.211761,-0.00078,
0.212152,0.004324,
0.212509,-0.00078,
0.212863,0.004324,
0.213221,0.004324,
0.213592,0.004324,
0.213996,-0.00078,
0.21438,0.004324,
0.21507,-0.00078,
0.215691,0.004324,
0.216269,0.004324,
0.21666,-0.00078,
0.217003,0.004324,
0.217346,0.004324,
0.2177,0.004324,
0.218091,0.004324,
0.218482,0.004324,
0.218868,0.004324,
0.219217,0.004324,
0.21957,0.004324,
0.220081,0.004324,
0.220423,0.004324,
0.224477,0.004324,
0.224731,0.004324,
0.225137,0.004324,
0.225458,0.004324,
0.225835,0.004324,
0.226187,0.004324,
0.226538,-0.00078,
0.226884,0.004324,
0.227232,-0.00078,
0.227587,0.004324,
0.22794,0.004324,
0.228305,0.004324,
0.228647,0.004324,
0.229007,0.004324,
0.229362,0.004324,
0.22956,0.004324,
0.229758,0.004324,
0.229957,-0.00078,
0.23017,0.004324,
0.230374,-0.00078,
0.230597,-0.00078,
0.230948,-0.00078,
0.231293,0.004324,
0.231641,0.004324,
0.231984,0.004324,
0.23233,0.004324,
0.232677,0.004324,
0.233022,-0.00078,
0.23337,0.004324,
0.233719,0.004324,
0.234061,0.004324,
0.234406,-0.00078,
0.23475,0.004324,
0.235126,0.004324,
0.235478,0.004324,
0.235823,0.004324,
0.236167,0.004324,
0.236513,-0.00078,
0.236857,0.004324,
0.237201,0.004324,
0.237548,0.004324,
0.237898,0.004324,
0.238254,0.004324,
0.238485,0.004324,
0.238824,0.004324,
0.23917,-0.00078,
0.239513,0.004324,
0.23989,0.004324,
0.24025,0.004324,
0.240652,0.004324,
0.241037,0.004324,
0.241417,0.004324,
0.241791,0.004324,
0.242174,0.004324,
0.242543,0.004324,
