Time B,Detector B,
0.00556,2.288463,
0.008769,2.283376,
0.010759,2.27829,
0.016469,2.283376,
0.016749,2.283376,
0.017081,2.288463,
0.017974,2.283376,
0.019442,2.288463,
0.019483,2.288463,
0.032732,2.283376,
0.035085,2.283376,
0.035125,2.288463,
0.038363,2.283376,
0.040321,2.27829,
0.040729,2.288463,
0.044227,2.283376,
0.050425,2.27829,
0.05087,2.283376,
0.054712,2.27829,
0.055096,2.283376,
0.055442,2.283376,
0.057578,2.288463,
0.059212,2.27829,
0.059823,2.283376,
0.061443,2.27829,
0.062008,2.27829,
0.06246,2.283376,
0.062897,2.283376,
0.063807,2.283376,
0.064632,2.283376,
0.065316,2.27829,
0.066383,2.27829,
0.067012,2.27829,
0.068603,2.273203,
0.069633,2.27829,
0.070883,2.273203,
0.071712,2.27829,
0.072159,2.283376,
0.072739,2.27829,
0.07353,2.27829,
0.074102,2.273203,
0.074842,2.27829,
0.075405,2.283376,
0.07576,2.283376,
0.076205,2.283376,
0.07696,2.27829,
0.077401,2.283376,
0.078022,2.283376,
0.081819,2.283376,
0.083704,2.283376,
0.084262,2.283376,
0.085013,2.283376,
0.085414,2.283376,
0.08589,2.283376,
0.086226,2.283376,
0.087079,2.283376,
0.087695,2.283376,
0.088341,2.283376,
0.088717,2.283376,
0.089566,2.283376,
0.089949,2.283376,
0.092385,2.283376,
0.092885,2.283376,
0.093328,2.283376,
0.093949,2.283376,
0.096272,2.283376,
0.096779,2.283376,
0.097115,2.283376,
0.097456,2.288463,
0.097797,2.288463,
0.098137,2.288463,
0.098477,2.288463,
0.098818,2.288463,
0.099173,2.283376,
0.099527,2.27829,
0.100013,2.283376,
0.100356,2.288463,
0.100735,2.283376,
0.101078,2.288463,
0.101457,2.288463,
0.101817,2.283376,
0.102172,2.283376,
0.102525,2.288463,
0.102888,2.27829,
0.10324,2.27829,
0.103859,2.283376,
0.104371,2.283376,
0.104957,2.283376,
0.105726,2.283376,
0.106386,2.273203,
0.106808,2.283376,
0.10714,2.288463,
0.107499,2.288463,
0.107849,2.283376,
0.108196,2.288463,
0.108539,2.288463,
0.108881,2.288463,
0.109236,2.27829,
0.109607,2.283376,
0.110149,2.27829,
0.110509,2.273203,
0.110943,2.283376,
0.111398,2.27829,
0.111808,2.27829,
0.11216,2.283376,
0.112506,2.283376,
0.11287,2.288463,
0.113451,2.283376,
0.113843,2.283376,
0.114234,2.283376,
0.114609,2.283376,
0.115041,2.283376,
0.115379,2.27829,
0.115716,2.288463,
0.116055,2.288463,
0.116395,2.288463,
0.116733,2.288463,
0.117071,2.288463,
0.117408,2.283376,
0.117745,2.288463,
0.118083,2.288463,
0.11842,2.288463,
0.118758,2.288463,
0.119101,2.288463,
0.11944,2.283376,
0.119782,2.283376,
0.120122,2.283376,
0.120463,2.288463,
0.120829,2.288463,
0.121161,2.288463,
0.12185,2.273203,
0.123049,2.27829,
0.123681,2.273203,
0.124093,2.273203,
0.12447,2.27829,
0.12492,2.27829,
0.125619,2.27829,
0.126033,2.283376,
0.126376,2.283376,
0.12673,2.288463,
0.127137,2.283376,
0.127482,2.283376,
0.127838,2.273203,
0.128193,2.27829,
0.128587,2.283376,
0.128973,2.27829,
0.129324,2.283376,
0.129761,2.283376,
0.130456,2.283376,
0.132086,2.288463,
0.132328,2.288463,
0.132666,2.288463,
0.133066,2.283376,
0.133455,2.283376,
0.133839,2.283376,
0.134196,2.283376,
0.134539,2.283376,
0.134911,2.27829,
0.139462,2.283376,
0.140831,2.283376,
0.141165,2.283376,
0.141512,2.283376,
0.141855,2.288463,
0.142207,2.288463,
0.142564,2.288463,
0.142913,2.283376,
0.143262,2.283376,
0.143622,2.27829,
0.143981,2.283376,
0.14433,2.288463,
0.145941,2.283376,
0.146271,2.288463,
0.146624,2.283376,
0.146963,2.283376,
0.147307,2.27829,
0.147655,2.27829,
0.147999,2.283376,
0.148344,2.27829,
0.148694,2.283376,
0.149039,2.283376,
0.149383,2.283376,
0.149727,2.283376,
0.150072,2.27829,
0.150449,2.283376,
0.1508,2.27829,
0.151146,2.27829,
0.151488,2.283376,
0.151833,2.283376,
0.152179,2.283376,
0.152522,2.283376,
0.152873,2.283376,
0.153218,2.283376,
0.153805,2.283376,
0.154148,2.27829,
0.15449,2.27829,
0.154836,2.283376,
0.15521,2.283376,
0.155596,2.27829,
0.155994,2.283376,
0.156372,2.273203,
0.15677,2.273203,
0.15714,2.27829,
0.157515,2.27829,
0.157892,2.283376,
0.158272,2.27829,
0.15863,2.273203,
0.158994,2.27829,
0.15937,2.27829,
0.159747,2.27829,
0.160164,2.273203,
0.160606,2.27829,
0.160962,2.27829,
0.161603,2.27829,
0.161974,2.27829,
0.162296,2.273203,
0.162639,2.283376,
0.162982,2.283376,
0.163328,2.283376,
0.163674,2.27829,
0.16402,2.27829,
0.164363,2.283376,
0.164708,2.288463,
0.165068,2.283376,
0.165413,2.283376,
0.165762,2.283376,
0.166102,2.283376,
0.166509,2.27829,
0.166903,2.27829,
0.1673,2.27829,
0.167673,2.27829,
0.168062,2.27829,
0.168447,2.283376,
0.168793,2.27829,
0.180907,2.27829,
0.181245,2.27829,
0.181594,2.283376,
0.181948,2.273203,
0.182305,2.27829,
0.182654,2.283376,
0.183003,2.27829,
0.183353,2.27829,
0.183705,2.283376,
0.184057,2.283376,
0.18444,2.283376,
0.184786,2.27829,
0.185244,2.273203,
0.185659,2.27829,
0.185995,2.283376,
0.186339,2.283376,
0.186682,2.293549,
0.187024,2.288463,
0.18737,2.288463,
0.187713,2.288463,
0.188054,2.283376,
0.188396,2.288463,
0.188737,2.288463,
0.189082,2.283376,
0.189495,2.273203,
0.189833,2.283376,
0.190176,2.288463,
0.19056,2.288463,
0.190875,2.283376,
0.191215,2.283376,
0.191554,2.283376,
0.191892,2.288463,
0.19223,2.283376,
0.192569,2.283376,
0.192909,2.283376,
0.193255,2.288463,
0.193594,2.283376,
0.193946,2.288463,
0.194701,2.283376,
0.195598,2.273203,
0.195964,2.27829,
0.196322,2.27829,
0.196815,2.27829,
0.197167,2.27829,
0.197509,2.288463,
0.197858,2.288463,
0.198231,2.27829,
0.19861,2.283376,
0.198969,2.283376,
0.199338,2.283376,
0.199691,2.283376,
0.200051,2.283376,
0.200401,2.283376,
0.200833,2.283376,
0.201173,2.283376,
0.201531,2.27829,
0.201969,2.283376,
0.202387,2.283376,
0.202902,2.27829,
0.203448,2.27829,
0.203757,2.293549,
0.204127,2.288463,
0.20446,2.293549,
0.204788,2.288463,
0.205118,2.288463,
0.205448,2.288463,
0.205779,2.288463,
0.206108,2.27829,
0.206436,2.288463,
0.206767,2.288463,
0.2071,2.288463,
0.207432,2.288463,
0.207763,2.288463,
0.208095,2.288463,
0.208425,2.288463,
0.208767,2.283376,
0.209091,2.283376,
0.20946,2.288463,
0.209706,2.27829,
0.210725,2.27829,
0.211819,2.273203,
0.212512,2.27829,
0.212718,2.283376,
0.212911,2.283376,
0.213086,2.288463,
0.213869,2.283376,
0.214099,2.283376,
0.214304,2.283376,
0.214838,2.283376,
0.215521,2.283376,
0.21573,2.288463,
0.215925,2.288463,
0.216113,2.283376,
0.216287,2.283376,
0.21646,2.283376,
0.216644,2.288463,
0.216892,2.288463,
0.217134,2.288463,
0.217334,2.283376,
0.217725,2.27829,
0.226259,2.283376,
0.226451,2.293549,
0.226696,2.283376,
0.227133,2.283376,
0.227394,2.283376,
0.227602,2.283376,
0.227854,2.283376,
0.228078,2.283376,
0.228317,2.283376,
0.228548,2.288463,
0.228717,2.293549,
0.228887,2.283376,
0.229054,2.293549,
0.229222,2.288463,
0.229391,2.283376,
0.229559,2.288463,
0.229727,2.288463,
0.229895,2.288463,
0.230063,2.288463,
0.230233,2.288463,
0.230415,2.293549,
0.230654,2.288463,
0.230825,2.293549,
0.230993,2.293549,
0.231163,2.288463,
0.23133,2.293549,
0.2315,2.293549,
0.231668,2.283376,
0.231836,2.288463,
0.232008,2.288463,
0.232178,2.288463,
0.232349,2.288463,
0.23252,2.288463,
0.232689,2.288463,
0.232858,2.288463,
0.233025,2.288463,
0.233194,2.288463,
0.233376,2.293549,
0.233554,2.283376,
0.23384,2.283376,
0.241526,2.283376,
0.241752,2.27829,
0.242003,2.27829,
0.24222,2.283376,
0.242465,2.283376,
0.24277,2.283376,
0.243045,2.283376,
0.243356,2.27829,
0.243977,2.27829,
0.244323,2.283376,
0.244541,2.283376,
0.244759,2.283376,
0.244967,2.27829,
0.24528,2.273203,
0.245517,2.283376,
0.245759,2.27829,
0.245998,2.288463,
0.246238,2.288463,
0.246474,2.283376,
0.24671,2.288463,
0.246908,2.283376,
0.247108,2.288463,
0.24731,2.288463,
0.247497,2.288463,
0.247669,2.288463,
0.247847,2.293549,
0.248074,2.288463,
0.248425,2.288463,
0.248757,2.288463,
0.249015,2.283376,
0.254081,2.283376,
0.254417,2.283376,
0.255652,2.27829,
0.255907,2.288463,
0.256108,2.27829,
0.25632,2.288463,
0.256515,2.288463,
0.256733,2.283376,
0.25697,2.293549,
0.257167,2.283376,
0.257405,2.283376,
0.257603,2.288463,
0.257879,2.293549,
0.258089,2.288463,
0.258286,2.283376,
0.258499,2.283376,
0.258817,2.27829,
0.259112,2.27829,
0.259333,2.283376,
0.259537,2.288463,
0.259752,2.283376,
0.259967,2.283376,
0.26016,2.288463,
0.260338,2.283376,
0.260642,2.288463,
0.268303,2.283376,
0.268816,2.283376,
0.269108,2.27829,
0.26929,2.283376,
0.269459,2.288463,
0.269628,2.293549,
0.269796,2.283376,
0.269963,2.288463,
0.270132,2.293549,
0.2703,2.288463,
0.270468,2.283376,
0.270688,2.27829,
0.270861,2.293549,
0.271029,2.288463,
0.271198,2.288463,
0.271367,2.293549,
0.271535,2.288463,
0.271703,2.283376,
0.271873,2.288463,
0.272044,2.283376,
0.272217,2.288463,
0.272389,2.283376,
0.272569,2.27829,
0.272739,2.288463,
0.27291,2.288463,
0.27308,2.288463,
0.27326,2.283376,
0.273454,2.283376,
0.273632,2.288463,
0.273847,2.283376,
0.274016,2.283376,
0.274185,2.293549,
0.274376,2.288463,
0.274594,2.288463,
0.274804,2.283376,
0.275006,2.288463,
0.275202,2.283376,
0.276215,2.27829,
0.276424,2.283376,
0.276625,2.283376,
0.276826,2.283376,
0.277016,2.27829,
0.277212,2.283376,
0.277439,2.27829,
0.277632,2.283376,
0.277985,2.27829,
0.278277,2.283376,
0.278572,2.27829,
0.284698,2.288463,
0.285001,2.27829,
0.28523,2.288463,
0.285426,2.288463,
0.285742,2.27829,
0.286326,2.283376,
0.286527,2.288463,
0.286714,2.283376,
0.286897,2.283376,
0.287084,2.288463,
0.293026,2.283376,
0.293202,2.288463,
0.293374,2.293549,
0.293542,2.293549,
0.293711,2.283376,
0.293902,2.283376,
0.29411,2.283376,
0.294318,2.283376,
0.294518,2.288463,
0.294913,2.288463,
0.295234,2.27829,
0.29547,2.27829,
0.295681,2.283376,
0.295895,2.283376,
0.296104,2.27829,
0.296304,2.283376,
0.296507,2.283376,
0.29672,2.283376,
0.296975,2.27829,
0.297175,2.27829,
0.297358,2.27829,
0.299166,2.27829,
0.299457,2.27829,
0.300012,2.283376,
0.300632,2.27829,
