Time B,Detector B,
0.0003,3.5357,
0.0007,3.5254,
0.0009,3.5254,
0.0012,3.5357,
0.0016,3.5357,
0.0449,3.5306,
0.0484,3.5408,
0.0485,3.5306,
0.0531,3.5306,
0.0532,3.5357,
0.0541,3.5306,
0.0565,3.5254,
0.0586,3.5254,
0.0593,3.5306,
0.0662,3.5254,
0.0716,3.5203,
0.0898,3.5254,
0.0956,3.5306,
0.0959,3.5357,
0.0963,3.5306,
0.1027,3.5306,
0.1074,3.5152,
0.1079,3.5254,
0.1083,3.5254,
0.1091,3.5152,
0.1094,3.5203,
0.1097,3.5203,
0.1101,3.5254,
0.111,3.5254,
0.1113,3.5254,
0.1117,3.5254,
0.1121,3.5254,
0.1125,3.5203,
0.1128,3.5254,
0.113,3.5306,
0.1133,3.5203,
0.1136,3.5203,
0.114,3.5254,
0.1142,3.5254,
0.1148,3.5152,
0.1155,3.5306,
0.1159,3.5203,
0.1163,3.5203,
0.1168,3.5306,
0.117,3.5254,
0.1173,3.5203,
0.1177,3.5203,
0.118,3.5306,
0.1183,3.5254,
0.1187,3.5306,
0.119,3.5306,
0.1195,3.5152,
0.1198,3.5306,
0.1202,3.5357,
0.1205,3.5306,
0.1209,3.5306,
0.1212,3.5254,
0.1216,3.5254,
0.1221,3.5254,
0.1225,3.5254,
0.1229,3.5152,
0.1233,3.5152,
0.1237,3.5254,
0.1241,3.5152,
0.1244,3.5203,
0.1249,3.5203,
0.1253,3.5203,
0.1257,3.5203,
0.126,3.5203,
0.1264,3.5203,
0.1268,3.5152,
0.1271,3.5203,
0.1275,3.5203,
0.1279,3.5152,
0.1282,3.5203,
0.1286,3.5203,
0.1336,3.5306,
0.1339,3.5203,
0.1352,3.5203,
0.1355,3.5306,
0.1359,3.5254,
0.1362,3.5254,
0.1364,3.5203,
0.137,3.5254,
0.1374,3.5254,
0.1377,3.5203,
0.1381,3.5203,
0.1384,3.5254,
0.139,3.5203,
0.1393,3.5203,
0.14,3.5203,
0.1403,3.5203,
0.1407,3.5254,
0.141,3.5254,
0.1414,3.5203,
0.1417,3.5203,
0.1421,3.5203,
0.1424,3.5203,
0.1428,3.5203,
0.1432,3.5152,
0.1435,3.5254,
0.1439,3.5306,
0.1442,3.5306,
0.1446,3.5203,
0.1449,3.5203,
0.1453,3.5203,
0.1457,3.5152,
0.146,3.5254,
0.1464,3.5254,
0.1468,3.5254,
0.1471,3.5203,
0.1475,3.5203,
0.148,3.5254,
0.1485,3.5203,
0.1489,3.5306,
0.1493,3.5203,
0.151,3.5203,
0.1517,3.5306,
0.1522,3.5203,
0.1526,3.5254,
0.153,3.5254,
0.1534,3.5254,
0.1538,3.5254,
0.1542,3.5203,
0.1546,3.5203,
0.1561,3.5306,
0.1565,3.5203,
0.1569,3.5152,
0.1577,3.5203,
0.1581,3.5203,
0.1586,3.5254,
0.1591,3.5203,
0.1594,3.5203,
0.1603,3.5152,
0.1608,3.5254,
0.1612,3.5203,
0.1617,3.5101,
0.162,3.5203,
0.1624,3.5203,
0.1627,3.5203,
0.1634,3.5306,
0.1638,3.5254,
0.1641,3.5306,
0.1649,3.5203,
0.1654,3.5254,
0.1659,3.5203,
0.1662,3.5306,
0.1666,3.5254,
0.1669,3.5306,
0.1673,3.5306,
0.1676,3.5203,
0.1679,3.5306,
0.1683,3.5306,
0.1686,3.5357,
0.169,3.5254,
0.1694,3.5357,
0.1697,3.5306,
0.17,3.5306,
0.1704,3.5306,
0.1707,3.5357,
0.1711,3.5203,
0.1715,3.5254,
0.1718,3.5203,
0.1722,3.5254,
0.1725,3.5203,
0.1728,3.5254,
0.1732,3.5254,
0.1735,3.5306,
0.174,3.5254,
0.1742,3.5306,
0.1746,3.5203,
0.1749,3.5254,
0.1753,3.5254,
0.1756,3.5254,
0.1759,3.5254,
0.1763,3.5306,
0.1766,3.5306,
0.1769,3.5203,
0.1773,3.5254,
0.1776,3.5306,
0.1779,3.5306,
0.1783,3.5306,
0.1786,3.5254,
0.1792,3.5203,
0.1795,3.5306,
0.1799,3.5306,
0.1802,3.5306,
0.1805,3.5254,
0.1809,3.5306,
0.1812,3.5254,
0.1815,3.5203,
0.1819,3.5254,
0.1822,3.5306,
0.1826,3.5203,
0.1829,3.5254,
0.1832,3.5306,
0.1836,3.5254,
0.1839,3.5306,
0.1842,3.5254,
0.1846,3.5254,
0.1849,3.5254,
0.1852,3.5306,
0.1856,3.5306,
0.1859,3.5254,
0.1863,3.5254,
0.1866,3.5306,
0.1872,3.5254,
0.1876,3.5306,
0.1879,3.5306,
0.1882,3.5254,
0.1886,3.5254,
0.1889,3.5254,
0.1893,3.5306,
0.1896,3.5306,
0.1899,3.5357,
0.1902,3.5357,
0.1906,3.5357,
0.1909,3.5203,
0.1913,3.5254,
0.1917,3.5254,
0.1921,3.5254,
0.1925,3.5306,
0.1929,3.5306,
0.1932,3.5408,
0.1936,3.5306,
0.1939,3.5357,
0.1943,3.5357,
0.1946,3.5357,
0.1952,3.5306,
0.1956,3.5357,
0.1959,3.5408,
0.1962,3.5357,
0.1966,3.5459,
0.1969,3.5357,
0.1972,3.5357,
0.1976,3.5357,
0.1979,3.5357,
0.1982,3.5357,
0.1986,3.5408,
0.1989,3.5357,
0.1993,3.5408,
0.1996,3.5357,
0.1999,3.5357,
0.2003,3.5306,
0.2006,3.5306,
0.2009,3.5357,
