Time B,Detector B,
0.000835,2.909032,
0.001312,2.903945,
0.002331,2.903945,
0.014199,2.909032,
0.014316,2.914118,
0.020334,2.909032,
0.073595,2.909032,
0.098551,2.893772,
0.100422,2.898859,
0.109182,2.893772,
0.112936,2.898859,
0.114413,2.893772,
0.117533,2.898859,
0.119529,2.893772,
0.125916,2.893772,
0.132782,2.893772,
0.133174,2.893772,
0.134682,2.893772,
0.134956,2.893772,
0.138355,2.893772,
0.138686,2.888685,
0.140749,2.888685,
0.141109,2.888685,
0.14185,2.898859,
0.142339,2.903945,
0.142753,2.883599,
0.143279,2.888685,
0.144645,2.893772,
0.1453,2.893772,
0.145887,2.888685,
0.146551,2.888685,
0.146875,2.888685,
0.147331,2.893772,
0.151007,2.888685,
0.151901,2.888685,
0.153875,2.888685,
0.159317,2.888685,
0.160258,2.888685,
0.161016,2.888685,
0.161636,2.893772,
0.162616,2.903945,
0.168659,2.893772,
0.169367,2.888685,
0.170428,2.888685,
0.170787,2.883599,
0.177703,2.888685,
0.178824,2.888685,
0.17921,2.893772,
0.179557,2.893772,
0.179881,2.888685,
0.180187,2.893772,
0.180515,2.888685,
0.180844,2.888685,
0.181262,2.893772,
0.181795,2.893772,
0.182006,2.888685,
0.182219,2.893772,
0.182424,2.893772,
0.18262,2.888685,
0.182822,2.893772,
0.183023,2.893772,
0.183221,2.893772,
0.183425,2.883599,
0.183623,2.893772,
0.183821,2.893772,
0.184056,2.893772,
0.184257,2.888685,
0.184448,2.883599,
0.184627,2.893772,
0.18481,2.893772,
0.185023,2.888685,
0.185235,2.893772,
0.185444,2.898859,
0.185675,2.888685,
0.186123,2.893772,
0.186351,2.893772,
0.186531,2.893772,
0.186706,2.903945,
0.186878,2.903945,
0.187049,2.903945,
0.187221,2.903945,
0.187393,2.903945,
0.187566,2.903945,
0.187737,2.903945,
0.18791,2.898859,
0.188087,2.898859,
0.188281,2.893772,
0.188472,2.898859,
0.188661,2.898859,
0.188836,2.898859,
0.189013,2.898859,
0.189189,2.893772,
0.18939,2.898859,
0.189582,2.898859,
0.189767,2.893772,
0.189944,2.898859,
0.190146,2.893772,
0.190351,2.893772,
0.190534,2.898859,
0.190716,2.893772,
0.190901,2.898859,
0.191089,2.893772,
0.191267,2.898859,
0.191467,2.898859,
0.1917,2.898859,
0.204174,2.893772,
0.204354,2.898859,
0.204529,2.898859,
0.204701,2.898859,
0.204878,2.898859,
0.205048,2.898859,
0.205219,2.898859,
0.205391,2.898859,
0.205562,2.898859,
0.205733,2.898859,
0.205912,2.898859,
0.206086,2.903945,
0.206258,2.898859,
0.206429,2.898859,
0.2066,2.898859,
0.206771,2.898859,
0.206942,2.903945,
0.207114,2.903945,
0.207284,2.903945,
0.207456,2.903945,
0.207628,2.903945,
0.2078,2.903945,
0.207971,2.903945,
0.208146,2.903945,
0.208322,2.903945,
0.208494,2.898859,
0.208665,2.898859,
0.208837,2.898859,
0.209008,2.903945,
0.20918,2.898859,
0.209351,2.898859,
0.209529,2.898859,
0.2097,2.898859,
0.210074,2.893772,
0.210295,2.893772,
0.210472,2.898859,
0.210644,2.898859,
0.210818,2.903945,
0.210987,2.903945,
0.211158,2.903945,
0.211334,2.903945,
0.211519,2.893772,
0.211708,2.898859,
0.211925,2.898859,
0.212151,2.893772,
0.212449,2.883599,
0.212765,2.893772,
0.213068,2.883599,
0.213372,2.888685,
0.21389,2.883599,
0.219106,2.893772,
