Time A,Detector A,
0.000338,2.597129,
0.000591,2.602233,
0.000986,2.597129,
0.013635,2.592025,
0.016816,2.597129,
0.016887,2.592025,
0.017118,2.592025,
0.017349,2.592025,
0.019539,2.597129,
0.060203,2.586921,
0.063508,2.586921,
0.069115,2.592025,
0.071777,2.592025,
0.075382,2.586921,
0.07886,2.592025,
0.079275,2.597129,
0.080037,2.592025,
0.081216,2.592025,
0.103407,2.592025,
0.106858,2.592025,
0.112117,2.597129,
0.115229,2.597129,
0.118611,2.592025,
0.119074,2.592025,
0.119832,2.586921,
0.122733,2.592025,
0.128032,2.581817,
0.128722,2.592025,
0.129137,2.592025,
0.129843,2.592025,
0.130284,2.597129,
0.130646,2.592025,
0.131046,2.597129,
0.131701,2.586921,
0.13212,2.592025,
0.145733,2.592025,
0.146193,2.581817,
0.146546,2.592025,
0.146864,2.597129,
0.147222,2.592025,
0.147559,2.586921,
0.147928,2.592025,
0.148258,2.592025,
0.148602,2.592025,
0.148943,2.592025,
0.149617,2.586921,
0.149935,2.597129,
0.150253,2.592025,
0.15202,2.586921,
0.152329,2.586921,
0.152645,2.602233,
0.152981,2.592025,
0.153296,2.592025,
0.153604,2.597129,
0.15391,2.597129,
0.154228,2.592025,
0.154535,2.597129,
0.154843,2.592025,
0.155167,2.592025,
0.155482,2.597129,
0.155795,2.592025,
0.156101,2.597129,
0.156429,2.592025,
0.156737,2.592025,
0.157046,2.597129,
0.157356,2.592025,
0.157534,2.592025,
0.157979,2.581817,
0.158291,2.597129,
0.158599,2.597129,
0.158921,2.592025,
0.160209,2.592025,
0.160541,2.592025,
0.160872,2.597129,
0.161253,2.581817,
0.161657,2.576713,
0.161989,2.592025,
0.162304,2.597129,
0.162611,2.592025,
0.162918,2.597129,
0.16332,2.597129,
0.16363,2.602233,
0.163937,2.597129,
0.164243,2.592025,
0.164558,2.597129,
0.164913,2.592025,
0.165227,2.592025,
0.165532,2.592025,
0.165853,2.597129,
0.1662,2.597129,
0.166508,2.597129,
0.166821,2.597129,
0.16713,2.597129,
