Time A,Detector A,
0.000402,0.004324,
0.000752,0.004324,
0.001307,0.004324,
0.004825,0.004324,
0.010478,0.004324,
0.010734,0.004324,
0.018737,0.004324,
0.018962,0.004324,
0.025434,0.004324,
0.062662,0.004324,
0.079985,0.004324,
0.111386,-0.00078,
0.117769,0.004324,
0.126124,0.004324,
0.138271,0.004324,
0.146342,0.004324,
0.146674,0.004324,
0.147017,0.004324,
0.149104,0.004324,
0.14946,0.004324,
0.149654,-0.00078,
0.149834,0.004324,
0.150011,0.004324,
0.150188,0.004324,
0.150419,0.004324,
0.1506,0.004324,
0.150778,0.004324,
0.150954,0.004324,
0.151131,0.004324,
0.151304,0.004324,
0.151485,0.004324,
0.151661,0.004324,
0.151839,0.004324,
0.152025,0.004324,
0.152199,0.004324,
0.15238,0.004324,
0.152558,0.004324,
0.152734,0.004324,
0.154562,0.004324,
0.158088,0.004324,
0.158271,0.004324,
0.158444,0.004324,
0.158617,-0.00078,
0.158788,0.004324,
0.15896,0.004324,
0.15913,0.004324,
0.159301,0.004324,
0.159473,0.004324,
0.159645,-0.00078,
0.159815,0.004324,
0.159985,0.004324,
0.160179,0.004324,
0.16035,0.004324,
0.160522,-0.00078,
0.160693,0.004324,
0.160864,0.004324,
0.161102,0.004324,
0.165238,0.004324,
0.165419,-0.00078,
0.165594,0.004324,
0.165766,0.004324,
0.165938,-0.00078,
0.166111,-0.00078,
0.166321,0.004324,
0.166496,0.004324,
0.166672,-0.00078,
0.166842,0.004324,
0.167082,0.004324,
0.167267,0.004324,
0.167441,-0.00078,
0.167612,0.004324,
0.167782,0.004324,
0.167953,0.004324,
0.168124,-0.00078,
0.168301,0.004324,
0.168473,0.004324,
0.168644,0.004324,
0.168818,0.004324,
0.168989,0.004324,
0.169159,-0.00078,
0.169328,0.004324,
0.169498,0.004324,
0.169668,0.004324,
0.169862,0.004324,
0.170031,0.004324,
0.170201,0.004324,
0.170371,0.004324,
0.170542,0.004324,
0.170712,-0.00078,
0.170882,0.004324,
0.171055,0.004324,
0.171225,0.004324,
0.171397,0.004324,
0.17157,0.004324,
0.171744,0.004324,
0.171916,0.004324,
0.172086,0.004324,
0.172297,0.004324,
0.18042,0.004324,
0.18082,-0.00078,
