Time B,Detector B,
0.0493,5.0966,
0.0547,5.1017,
0.0885,5.0915,
0.1354,5.0966,
0.1356,5.1068,
0.1377,5.0915,
0.1377,5.0813,
0.1462,5.0762,
0.1466,5.0864,
0.1468,5.0915,
0.1469,5.0813,
0.1471,5.0915,
0.1473,5.0915,
0.1475,5.0966,
0.1476,5.0966,
0.1478,5.1017,
0.148,5.0966,
0.1481,5.0966,
0.1483,5.0966,
0.1485,5.0966,
0.1588,5.0915,
0.1589,5.0915,
0.1591,5.0864,
0.1593,5.0915,
0.1594,5.0864,
0.1596,5.0864,
0.1598,5.0864,
0.16,5.0864,
0.1605,5.0813,
0.1607,5.0864,
0.1609,5.0864,
0.161,5.0762,
0.1612,5.0864,
0.1614,5.0711,
0.1616,5.0864,
0.1618,5.0864,
0.1619,5.0813,
0.1621,5.0864,
0.1623,5.0813,
0.1625,5.0915,
0.1627,5.0813,
0.1628,5.0864,
0.163,5.0864,
0.1632,5.0813,
0.1634,5.0915,
0.1635,5.0864,
0.1637,5.0813,
0.164,5.0813,
0.1643,5.0762,
0.1645,5.0711,
0.1654,5.0711,
0.1657,5.0762,
0.1661,5.0813,
0.1664,5.0864,
0.1667,5.0711,
0.1671,5.0864,
0.1674,5.0864,
0.1677,5.0813,
0.1681,5.0864,
0.1686,5.0711,
0.1689,5.0711,
0.1692,5.0864,
0.1695,5.0762,
0.1699,5.0813,
0.1703,5.0864,
0.1706,5.0915,
0.1709,5.0864,
0.1712,5.0864,
0.1715,5.0813,
0.1718,5.0915,
0.1722,5.0864,
0.1725,5.0915,
0.1728,5.0966,
0.1731,5.0813,
0.1734,5.0915,
0.1737,5.0915,
0.174,5.0864,
0.1743,5.0813,
0.1747,5.0864,
0.175,5.0864,
0.1753,5.0915,
0.1756,5.0915,
0.1759,5.0915,
0.1768,5.0915,
0.1771,5.0966,
0.1774,5.0915,
0.1777,5.0762,
0.178,5.0966,
0.1783,5.0915,
0.1786,5.0915,
0.1789,5.0864,
0.1793,5.0813,
0.1796,5.0915,
0.1799,5.0915,
0.1802,5.0864,
0.1805,5.0915,
0.1808,5.0966,
0.1811,5.0864,
0.1815,5.0966,
0.1818,5.0966,
0.1821,5.0915,
0.1824,5.0915,
0.1827,5.0864,
0.183,5.0915,
0.1834,5.0966,
0.1837,5.0864,
0.184,5.0915,
0.1848,5.0915,
0.1851,5.0915,
0.1854,5.0966,
0.1857,5.0813,
0.186,5.0711,
0.1864,5.0864,
0.1867,5.0864,
0.187,5.0762,
0.1874,5.0864,
0.1877,5.0762,
0.188,5.0864,
0.1883,5.0813,
0.1887,5.0864,
0.189,5.0813,
