Time A,Detector A,
0.0005,1.4379,
0.0013,1.443,
0.0107,1.443,
0.0174,1.443,
0.0177,1.4379,
0.023,1.443,
0.0231,1.443,
0.0725,1.443,
0.0823,1.443,
0.0826,1.443,
0.0943,1.4379,
0.0948,1.4379,
0.0954,1.4379,
0.1294,1.4379,
0.1397,1.443,
0.1622,1.443,
0.1625,1.4328,
0.1627,1.4328,
0.1629,1.4379,
0.1631,1.4379,
0.1633,1.4379,
0.1635,1.4379,
0.1637,1.443,
0.1639,1.4379,
0.1641,1.4379,
0.1643,1.4379,
0.1645,1.4379,
0.1646,1.4379,
0.1648,1.4379,
0.165,1.4379,
0.1652,1.443,
0.1654,1.443,
0.1656,1.443,
0.1658,1.4379,
0.1661,1.4379,
0.1663,1.4379,
0.1665,1.4328,
0.1668,1.4328,
0.1669,1.443,
0.1671,1.4379,
0.1673,1.4379,
0.1675,1.4379,
0.1677,1.4379,
0.1679,1.4379,
0.1681,1.4379,
0.1683,1.4379,
0.1685,1.4379,
0.1687,1.4379,
0.1689,1.443,
0.1691,1.4379,
0.1693,1.4379,
0.1694,1.443,
0.1697,1.4379,
0.1699,1.4379,
0.1701,1.4379,
0.1702,1.4379,
0.1704,1.4379,
0.1706,1.443,
0.1708,1.4379,
0.171,1.4328,
0.1712,1.4379,
0.1714,1.4379,
0.1716,1.4379,
0.1718,1.4379,
0.172,1.4379,
0.1722,1.4379,
0.1724,1.4379,
0.1726,1.4379,
0.1728,1.4379,
0.173,1.4379,
0.1732,1.4379,
0.1734,1.4379,
0.1736,1.443,
0.1738,1.4379,
0.1739,1.4379,
0.1742,1.4379,
0.1745,1.4328,
0.1747,1.4379,
0.1748,1.4379,
0.175,1.443,
0.1752,1.4379,
0.1754,1.4379,
0.1756,1.4379,
0.1758,1.4379,
0.176,1.4379,
0.177,1.4379,
0.1773,1.4379,
0.1776,1.4328,
0.1778,1.4379,
0.178,1.4328,
0.1782,1.4379,
0.1784,1.4379,
0.1786,1.4379,
0.1788,1.4328,
0.1791,1.4379,
0.1793,1.4328,
0.1795,1.4328,
0.1797,1.4328,
0.1799,1.4379,
0.1801,1.4328,
0.1804,1.4379,
0.1806,1.4328,
0.1808,1.4328,
0.181,1.4328,
0.1812,1.4328,
0.1815,1.4379,
0.1817,1.4379,
0.1819,1.4328,
0.1822,1.4379,
0.1824,1.4276,
0.1826,1.4379,
0.1828,1.4379,
0.183,1.4379,
0.1832,1.4379,
0.1834,1.4379,
0.1836,1.4328,
0.1838,1.4379,
0.184,1.4379,
0.1842,1.4379,
0.1843,1.4379,
0.1845,1.4379,
0.1847,1.4379,
0.1849,1.4379,
0.1851,1.4379,
0.1853,1.4328,
0.1855,1.4379,
0.1857,1.4379,
0.186,1.4379,
0.1862,1.4379,
0.1864,1.4379,
0.1866,1.4328,
0.1868,1.4379,
0.187,1.4379,
0.1872,1.4379,
0.1874,1.443,
0.1875,1.4379,
0.1877,1.443,
0.1879,1.4379,
0.1881,1.443,
0.1883,1.4379,
0.1885,1.4379,
0.1887,1.443,
0.1889,1.4379,
0.1891,1.4379,
0.1893,1.443,
0.1895,1.4379,
0.1896,1.443,
0.1898,1.4379,
0.1901,1.4379,
0.1904,1.4328,
0.1906,1.4379,
0.1908,1.4379,
0.1909,1.4379,
0.1911,1.4379,
0.1914,1.4379,
0.1916,1.4379,
0.1918,1.4379,
0.1919,1.4379,
0.1921,1.4379,
0.1923,1.4379,
0.1925,1.4379,
0.1927,1.4379,
0.1929,1.4379,
0.1931,1.4379,
0.1933,1.4379,
0.1935,1.4379,
0.1937,1.4379,
0.1938,1.4379,
0.194,1.4379,
0.1942,1.4379,
0.1944,1.4379,
0.1946,1.4379,
0.1948,1.443,
0.195,1.4379,
0.1952,1.4379,
0.1954,1.4379,
0.1956,1.4379,
0.1958,1.4379,
0.196,1.4379,
0.1962,1.4379,
0.1964,1.4379,
0.1966,1.4379,
0.1968,1.4379,
0.1974,1.4379,
0.1977,1.4379,
0.1979,1.4379,
0.1983,1.4379,
0.1986,1.4328,
0.1989,1.4328,
0.1991,1.4328,
0.1993,1.4328,
0.1996,1.4328,
0.1998,1.4379,
0.2,1.4328,
0.2002,1.4328,
0.2004,1.4328,
0.2006,1.4328,
0.2008,1.4379,
0.2011,1.4379,
0.2013,1.4379,
0.2015,1.4379,
0.2017,1.4276,
0.2019,1.4379,
0.2021,1.4379,
0.2023,1.4379,
0.2026,1.4328,
0.2028,1.4379,
0.203,1.4379,
0.2032,1.4379,
0.2034,1.4379,
0.2036,1.4379,
0.2038,1.4379,
0.204,1.4379,
0.2042,1.4379,
0.2044,1.4379,
0.2046,1.4379,
0.2048,1.4379,
0.205,1.4379,
0.2052,1.4379,
0.2053,1.4379,
