Component Name,Rel,Resp Factor,Stand0,Stand1,Stand2,Stand3
Limonene,Yes,1.00,0.0000,0.0000,0.0000,0.0000
Alpha Pinene,Yes,1.00,0.0000,0.0000,0.0000,0.0000
Linabol,Yes,1.00,0.0000,0.0000,0.0000,0.0000
B Pinene,Yes,1.00,0.0000,0.0000,0.0000,0.0000
mycene,Yes,1.00,0.0000,0.0000,0.0000,0.0000
A chycholpine,Yes,1.00,0.0000,0.0000,0.0000,0.0000
,,1.00,0.0000,0.0000,0.0000,0.0000
,,1.00,0.0000,0.0000,0.0000,0.0000
,,1.00,0.0000,0.0000,0.0000,0.0000
,,1.00,0.0000,0.0000,0.0000,0.0000
,,1.00,0.0000,0.0000,0.0000,0.0000
,,1.00,0.0000,0.0000,0.0000,0.0000
