Time A,Detector A,
0.0156,0,
0.0212,0,
0.1133,0,
0.371,0,
0.8411,0,
1.2494,0,
1.4515,0,
1.6552,0,
1.8607,0,
2.0625,0,
2.2636,0,
2.4657,0,
2.6724,0,
2.881,0,
3.0911,0,
3.3047,0,
3.5546,0,
3.7959,0,
4.0244,0,
4.2256,0,
4.4305,0,
4.6459,0,
4.8506,0,
5.0556,0,
5.2591,0,
5.4828,0,
5.6856,0,
5.8887,0,
6.0929,0,
6.2981,0,
6.4996,0,
6.7051,0,
6.9136,0,
7.125,0,
7.3311,0,
7.5509,0,
7.7562,0,
7.9597,0,
8.1638,0,
8.3672,0,
8.5837,0.2697,
8.7877,1.265,
8.9901,2.2654,
9.2022,3.0718,
9.4039,2.1072,
9.6111,1.1578,
9.8208,0,
10.0262,0,
10.23,0,
10.4315,0,
10.641,0,
10.843,0,
11.0449,0,
11.2484,0,
11.4495,0,
11.6511,0,
11.8601,0,
12.0657,0,
12.2693,0,
12.4784,0,
12.6842,0,
12.8868,0,
13.0934,0,
13.2964,0,
13.5018,0,
13.7084,0,
13.9203,0,
14.1291,0,
14.332,0,
14.5516,0,
14.7673,0,
14.9827,0.8363,
15.1861,1.8315,
15.3891,2.7911,
15.6017,2.541,
15.8121,1.5406,
16.0236,0.5351,
16.2285,0,
16.4333,0,
16.6376,0,
16.8425,0,
17.0448,0,
17.2497,0,
17.4588,0,
17.6668,0,
17.8719,0,
18.0794,0,
18.2826,0,
18.4859,0,
18.6942,0,
18.905,0,
19.1104,0,
19.3164,0,
19.5194,0,
19.7223,0,
19.9317,0,
20.1337,0,
20.3589,0,
20.5768,0,
20.7799,0,
20.9849,0,
21.2061,0,
21.4217,0,
21.6233,0,
21.8271,0,
22.0318,0,
22.2373,0,
22.4393,0,
22.6414,0,
