Time A,Detector A,
0.003,3.1566,
0.0032,3.1463,
0.011,3.1463,
0.0111,3.1515,
0.0115,3.1412,
0.0117,3.1463,
0.0432,3.1463,
0.0447,3.1463,
0.0481,3.1412,
0.0505,3.1412,
0.0524,3.1617,
0.0577,3.1617,
0.0635,3.1463,
0.0643,3.1463,
0.0714,3.1515,
0.0719,3.1463,
0.0722,3.1463,
0.0725,3.1463,
0.0729,3.1463,
0.0732,3.1412,
0.0736,3.1361,
0.0739,3.1463,
0.0743,3.1463,
0.0747,3.1515,
0.0751,3.1463,
0.0755,3.1412,
0.0837,3.1412,
0.084,3.1412,
0.117,3.1515,
0.1174,3.1361,
0.1178,3.1412,
0.118,3.1412,
0.1182,3.1412,
0.1187,3.1463,
0.1191,3.1412,
0.1195,3.1412,
0.1201,3.1361,
0.1204,3.1412,
0.1208,3.1463,
0.1211,3.1463,
0.1214,3.1463,
0.1218,3.1412,
0.1221,3.1463,
0.1225,3.1412,
0.1228,3.1515,
0.124,3.1463,
0.1377,3.1361,
0.1418,3.1412,
0.1479,3.1463,
0.1484,3.1361,
0.1551,3.1463,
0.1553,3.1412,
0.1556,3.1515,
0.156,3.1515,
0.1563,3.1463,
0.1567,3.1515,
0.157,3.1515,
0.1573,3.1515,
0.1577,3.1566,
0.158,3.1515,
0.1583,3.1463,
0.1591,3.1463,
0.1594,3.1515,
0.1598,3.1515,
0.1601,3.1463,
0.1604,3.1566,
0.1608,3.1463,
0.1612,3.1463,
0.1615,3.1412,
0.1619,3.1412,
0.1622,3.1412,
0.1626,3.1412,
0.163,3.1412,
0.1634,3.1463,
0.1637,3.1412,
0.1641,3.1361,
0.1708,3.1412,
0.1712,3.1412,
0.1715,3.1566,
0.1721,3.1515,
0.1732,3.1412,
0.1751,3.1412,
0.1762,3.1463,
0.1766,3.1463,
0.1769,3.1463,
0.1773,3.1463,
0.1776,3.1463,
0.178,3.1412,
0.1783,3.1463,
0.1786,3.1463,
0.179,3.1412,
0.1792,3.1412,
0.1793,3.1463,
0.1795,3.1361,
0.1799,3.1412,
0.1802,3.1515,
0.1805,3.1412,
0.1809,3.1515,
0.1812,3.1515,
0.1816,3.1412,
0.1846,3.1463,
0.185,3.1361,
0.1854,3.1412,
0.1857,3.1361,
0.1862,3.1412,
0.1865,3.1463,
0.1869,3.1463,
0.1872,3.1463,
0.1876,3.1412,
0.188,3.1463,
0.1883,3.1361,
