Time B,Detector B,
0.0005,0.0108,
0.0009,0.0108,
0.0014,0.0108,
0.0051,0.0108,
0.0108,0.0108,
0.0109,0.0108,
0.0174,0.0108,
0.0174,0.0108,
0.0261,0.0108,
0.0265,0.0108,
0.0607,0.0108,
0.0728,0.0108,
0.0813,0.0108,
0.0959,0.0108,
0.0964,0.0108,
0.1016,0.0108,
0.1023,0.0108,
0.1071,0.0108,
0.1145,0.0108,
0.1153,0.0108,
0.1162,0.0108,
0.1165,0.0108,
0.1167,0.0108,
0.1169,0.0108,
0.1171,0.0108,
0.1175,0.0108,
0.1181,0.0108,
0.1184,0.0108,
0.1186,0.0108,
0.1188,0.0108,
0.119,0.0108,
0.1192,0.0108,
0.1193,0.0108,
0.1196,0.0108,
0.1197,0.0108,
0.1199,0.0108,
0.1201,0.0108,
0.1203,0.0108,
0.1204,0.0108,
0.1206,0.0108,
0.1208,0.0108,
0.121,0.0108,
0.1212,0.0108,
0.1214,0.0108,
0.1216,0.0108,
0.1219,0.0108,
0.1221,0.0108,
0.1223,0.0108,
0.1231,0.0108,
0.1245,0.0108,
0.1247,0.0108,
0.125,0.0108,
0.1252,0.0108,
0.1254,0.0108,
0.1256,0.0108,
0.1259,0.0108,
0.1261,0.0108,
0.1264,0.0108,
0.1267,0.0108,
0.1269,0.0108,
0.1271,0.0108,
0.1274,0.0108,
0.1278,0.0108,
0.128,0.0108,
0.1282,0.0108,
0.1284,0.0108,
0.1287,0.0108,
0.1289,0.0108,
0.1291,0.0108,
0.1293,0.0108,
0.1294,0.0108,
0.1296,0.0108,
0.1298,0.0108,
0.1299,0.0108,
0.1301,0.0057,
0.1303,0.0108,
0.1305,0.0108,
0.1306,0.0108,
0.1308,0.0108,
0.1309,0.0108,
0.1311,0.0108,
0.1313,0.0108,
0.1314,0.0108,
0.1316,0.0108,
0.1318,0.0108,
0.1319,0.0108,
0.1321,0.0108,
0.1323,0.0108,
0.1324,0.0108,
0.1326,0.0108,
0.1328,0.0108,
0.133,0.0108,
0.1331,0.0108,
0.1333,0.0108,
0.1335,0.0108,
0.1336,0.0108,
0.1338,0.0108,
0.134,0.0108,
0.1342,0.0108,
0.1344,0.0108,
0.1346,0.0108,
0.1348,0.0108,
0.1349,0.0108,
0.1351,0.0108,
0.1353,0.0108,
0.1354,0.0108,
0.1356,0.0108,
0.1358,0.0108,
0.136,0.0108,
0.1361,0.0108,
0.1363,0.0108,
0.1365,0.0108,
0.1366,0.0108,
0.1368,0.0108,
0.137,0.0108,
0.1371,0.0108,
0.1373,0.0108,
0.1375,0.0108,
0.1376,0.0108,
0.1378,0.0108,
0.138,0.0108,
0.1381,0.0108,
0.1383,0.0108,
0.1385,0.0108,
0.1386,0.0108,
0.1388,0.0108,
0.139,0.0108,
0.1391,0.0108,
0.1393,0.0108,
0.1395,0.0108,
0.1396,0.0108,
0.1398,0.0108,
0.14,0.0108,
0.1401,0.0108,
0.1403,0.0108,
0.1405,0.0108,
0.1406,0.0108,
0.1408,0.0108,
0.141,0.0108,
0.1411,0.0108,
0.1413,0.0108,
0.1415,0.0108,
0.1416,0.0108,
0.1418,0.0108,
0.142,0.0108,
0.1422,0.0108,
0.1425,0.0108,
0.1426,0.0108,
0.1428,0.0108,
0.143,0.0108,
0.1432,0.0108,
0.1433,0.0108,
0.1435,0.0108,
0.1437,0.0108,
0.1439,0.0108,
0.1441,0.0108,
0.1443,0.0108,
0.1445,0.0108,
0.1448,0.0108,
0.145,0.0108,
