Time A,Detector A,
0.0003,3.4481,
0.0005,3.4584,
0.0007,3.4584,
0.0031,3.4584,
0.0116,3.4481,
0.0116,3.4481,
0.0118,3.4584,
0.0348,3.4533,
0.0353,3.4584,
0.0355,3.4533,
0.0358,3.4584,
0.0361,3.4533,
0.0364,3.4584,
0.0455,3.4533,
0.08,3.443,
0.0834,3.4635,
0.0888,3.4584,
0.089,3.4533,
0.0937,3.4481,
0.101,3.4328,
0.1053,3.4533,
0.1067,3.443,
0.1084,3.4584,
0.1147,3.4584,
0.1176,3.4481,
0.1231,3.4481,
0.1305,3.4533,
0.1308,3.4533,
0.1311,3.4533,
0.1315,3.4533,
0.1421,3.4481,
0.1428,3.443,
0.1431,3.4481,
0.1435,3.4481,
0.1442,3.443,
0.1446,3.4533,
0.1449,3.4481,
0.1454,3.4481,
0.1457,3.443,
0.1462,3.443,
0.1466,3.4533,
0.1469,3.4533,
0.1473,3.4533,
0.1477,3.4481,
0.1485,3.4533,
0.1488,3.4481,
0.1496,3.443,
0.1503,3.4481,
0.1508,3.443,
0.1512,3.4481,
0.1516,3.4584,
0.1522,3.443,
0.1525,3.4533,
0.1529,3.4533,
0.1532,3.4481,
0.1535,3.4533,
0.1539,3.4533,
0.1543,3.4481,
0.1546,3.443,
0.155,3.4533,
0.1554,3.4584,
0.1557,3.4533,
0.1561,3.4584,
0.1564,3.4584,
0.1569,3.4481,
0.1573,3.443,
0.1577,3.4379,
0.1581,3.4481,
0.1585,3.443,
0.1589,3.443,
0.1593,3.4379,
0.1597,3.443,
0.1601,3.4481,
0.1605,3.443,
0.1609,3.4379,
0.1612,3.4379,
0.1616,3.4481,
0.162,3.443,
0.1623,3.443,
0.1627,3.443,
0.1631,3.443,
0.1634,3.4379,
0.1638,3.4533,
0.1688,3.443,
0.17,3.443,
0.1704,3.4533,
0.1707,3.4533,
0.1711,3.4481,
0.1719,3.4533,
0.1722,3.4533,
0.1726,3.4533,
0.1729,3.4533,
0.1733,3.4533,
0.1737,3.4481,
0.1748,3.443,
0.1752,3.443,
0.1755,3.4481,
0.1759,3.4533,
0.1762,3.4481,
0.1766,3.443,
0.1769,3.4481,
0.1773,3.4481,
0.1776,3.4481,
0.178,3.443,
0.1784,3.4481,
0.1787,3.4533,
0.179,3.4533,
0.1794,3.4584,
0.1798,3.4481,
0.1801,3.4481,
0.1805,3.4533,
0.1809,3.4481,
0.1812,3.443,
0.1816,3.443,
0.182,3.443,
0.1823,3.4481,
0.1829,3.4481,
0.1833,3.4481,
0.1837,3.443,
0.1841,3.4379,
0.1847,3.443,
0.1852,3.443,
0.1857,3.4533,
0.1864,3.4379,
0.187,3.443,
0.1874,3.443,
0.1878,3.443,
0.1882,3.443,
0.1887,3.4481,
0.189,3.443,
0.1894,3.4481,
0.1901,3.4481,
0.1908,3.4481,
0.1913,3.4533,
0.1917,3.4379,
0.1926,3.4481,
0.1929,3.4481,
0.1933,3.443,
0.1938,3.443,
0.1943,3.443,
0.1949,3.443,
0.1957,3.4533,
0.196,3.4481,
0.1965,3.4481,
0.1969,3.443,
0.1972,3.4481,
0.1976,3.4481,
0.198,3.4481,
0.1983,3.443,
0.1986,3.4481,
0.199,3.4481,
0.1995,3.4481,
0.2002,3.4481,
0.2006,3.4481,
0.2011,3.443,
0.2014,3.4584,
0.2018,3.4584,
0.2021,3.4481,
0.2025,3.4584,
0.2028,3.4533,
0.2031,3.4584,
0.2035,3.4584,
0.2038,3.4635,
0.2042,3.4584,
0.2045,3.4584,
0.2049,3.4584,
0.2052,3.4584,
0.2056,3.4584,
0.2063,3.4481,
0.2067,3.443,
0.207,3.4533,
0.2073,3.443,
0.2077,3.4584,
0.208,3.4533,
0.2084,3.4533,
0.2087,3.4481,
0.2091,3.4584,
0.2094,3.4533,
0.2098,3.4481,
0.2101,3.4533,
0.2104,3.4584,
0.2108,3.4481,
0.2111,3.4481,
0.2114,3.4481,
0.2118,3.4481,
0.2121,3.4533,
0.2125,3.4533,
0.2128,3.4481,
0.2131,3.4533,
0.2135,3.4533,
0.2139,3.4481,
0.2144,3.443,
0.2147,3.4533,
0.2151,3.4533,
0.2154,3.4533,
0.2157,3.4533,
0.2161,3.4533,
0.2164,3.4533,
0.2167,3.4533,
0.2171,3.4533,
0.2174,3.4584,
0.2177,3.4584,
0.2181,3.4481,
0.2184,3.4533,
