Time B,Detector B,
0.0053,0.0006,
0.0056,0.0006,
0.0401,0.0006,
0.0414,0.0006,
0.0415,0.0006,
0.0434,0.0006,
0.0435,0.0006,
0.0506,0.0006,
0.0531,0.0006,
0.0589,0.0006,
0.0591,0.0006,
0.0628,0.0006,
0.0631,0.0006,
0.0635,0.0006,
0.0638,0.0006,
0.0641,0.0006,
0.0644,0.0006,
0.0646,0.0006,
0.0648,0.0006,
0.065,0.0006,
0.0652,0.0006,
0.0655,0.0006,
0.0658,0.0006,
0.0663,0.0006,
0.0666,0.0006,
0.0669,0.0006,
0.0672,0.0006,
0.0676,0.0006,
0.0679,0.0006,
0.0682,0.0006,
0.0685,0.0006,
0.0688,0.0006,
0.0691,0.0006,
0.0694,0.0006,
0.0697,0.0006,
0.07,0.0006,
0.0704,0.0006,
0.0707,0.0006,
0.071,0.0006,
0.0713,0.0006,
0.0716,0.0006,
0.0719,0.0006,
0.0722,0.0006,
0.0725,0.0006,
0.0729,0.0006,
0.0733,0.0006,
0.0736,0.0006,
0.074,0.0006,
0.0743,0.0006,
0.0746,0.0006,
0.0749,0.0006,
0.0752,0.0006,
0.0755,0.0006,
0.0759,0.0006,
0.0762,0.0006,
0.0765,0.0006,
0.0768,0.0006,
0.0785,0.0006,
0.0788,0.0006,
0.0791,0.0006,
0.0795,0.0006,
0.0798,0.0006,
0.0819,0.0006,
0.0823,0.0006,
0.0826,0.0006,
0.083,0.0006,
0.0834,0.0006,
0.0838,0.0006,
0.0843,0.0006,
0.0848,0.0006,
0.0851,0.0006,
0.0854,0.0006,
0.0858,0.0006,
0.0861,0.0006,
0.0864,0.0006,
0.0869,0.0006,
0.0872,0.0006,
0.0875,0.0006,
0.0878,0.0006,
0.0881,0.0006,
0.0885,0.0006,
0.0888,0.0006,
0.0891,0.0006,
0.0894,0.0006,
0.0897,0.0006,
0.09,0.0006,
0.0904,0.0006,
0.0907,0.0006,
0.091,0.0006,
0.0913,0.0006,
0.0916,0.0006,
0.0919,0.0006,
0.0922,0.0006,
0.0925,0.0006,
0.0928,0.0006,
0.0932,0.0006,
0.0935,0.0006,
0.0938,0.0006,
0.0941,0.0057,
0.0944,0.0006,
0.0948,0.0006,
0.0951,0.0006,
0.0954,0.0006,
0.0957,0.0006,
0.096,0.0006,
0.0963,0.0006,
0.0967,0.0006,
0.097,0.0006,
0.0973,0.0006,
0.0975,0.0006,
0.0976,0.0006,
0.0978,0.0006,
0.098,0.0006,
0.0982,0.0006,
0.0985,0.0006,
0.0989,0.0006,
0.0993,0.0006,
0.0997,0.0006,
0.1,0.0006,
0.1004,0.0006,
0.1007,0.0006,
0.101,0.0006,
0.1013,0.0006,
0.1016,0.0006,
0.1019,0.0006,
0.1022,0.0006,
0.1026,0.0006,
0.1031,0.0006,
0.1034,0.0006,
0.1038,0.0006,
0.1049,0.0006,
0.1052,0.0006,
0.1055,0.0006,
0.1058,0.0006,
0.1061,0.0006,
0.1065,0.0006,
0.1068,0.0006,
0.1073,0.0006,
0.1076,0.0006,
0.1079,0.0006,
0.1082,0.0006,
0.1085,0.0006,
0.1088,0.0006,
0.1092,0.0006,
0.1095,0.0006,
0.1098,0.0006,
0.1101,0.0006,
0.1104,0.0006,
0.1107,0.0006,
0.111,0.0006,
0.1114,0.0006,
0.1117,0.0006,
0.112,0.0006,
0.1123,0.0006,
0.1126,0.0006,
0.1129,0.0006,
0.1133,0.0006,
