Time A,Detector A,
0.0005,0.6194,
0.0009,0.6194,
0.0015,0.6194,
0.0108,0.6194,
0.0113,0.6194,
0.0184,0.6143,
0.024,0.6143,
0.0241,0.6194,
0.0264,0.6194,
0.0264,0.6194,
0.0272,0.6194,
0.0279,0.6194,
0.0831,0.6194,
0.0891,0.6194,
0.1297,0.6194,
0.137,0.6143,
0.1379,0.6194,
0.14,0.6194,
0.1402,0.6194,
0.1404,0.6143,
0.1405,0.6194,
0.1407,0.6194,
0.1409,0.6194,
0.141,0.6143,
0.1412,0.6143,
0.1414,0.6194,
0.1415,0.6143,
0.1417,0.6194,
0.1419,0.6194,
0.142,0.6194,
0.1422,0.6194,
0.1424,0.6194,
0.1425,0.6194,
0.1427,0.6143,
0.1429,0.6194,
0.143,0.6143,
0.1432,0.6143,
0.1434,0.6194,
0.1435,0.6194,
0.1437,0.6194,
0.1439,0.6194,
0.144,0.6194,
0.1442,0.6143,
0.1444,0.6194,
0.1445,0.6143,
0.1447,0.6143,
0.1449,0.6143,
0.145,0.6194,
0.1452,0.6194,
0.1454,0.6143,
0.1455,0.6143,
0.1457,0.6194,
0.1459,0.6194,
0.1461,0.6194,
0.1462,0.6194,
0.1464,0.6194,
0.1466,0.6194,
0.1467,0.6194,
0.1469,0.6194,
0.1471,0.6143,
0.1472,0.6143,
0.1474,0.6194,
0.1476,0.6194,
0.1478,0.6194,
0.1479,0.6194,
0.1481,0.6143,
0.1483,0.6194,
0.1484,0.6143,
0.1486,0.6194,
0.1488,0.6194,
0.1489,0.6194,
0.1491,0.6194,
0.1493,0.6194,
0.1494,0.6194,
0.1496,0.6143,
0.1498,0.6143,
0.1499,0.6143,
0.1501,0.6194,
0.1503,0.6143,
0.1504,0.6194,
0.1506,0.6194,
0.1508,0.6143,
0.1509,0.6143,
0.1511,0.6194,
0.1513,0.6194,
0.1514,0.6194,
0.1516,0.6194,
0.1518,0.6194,
0.1519,0.6143,
0.1521,0.6194,
0.1523,0.6194,
0.1524,0.6194,
0.1526,0.6194,
0.1528,0.6194,
0.1529,0.6194,
0.1531,0.6143,
0.1533,0.6194,
0.1534,0.6194,
0.1536,0.6143,
0.1538,0.6194,
0.1539,0.6194,
0.1541,0.6143,
0.1543,0.6194,
0.1544,0.6143,
0.1546,0.6194,
0.1548,0.6194,
0.1549,0.6194,
0.1551,0.6194,
0.1553,0.6143,
0.1555,0.6194,
0.1556,0.6143,
0.1558,0.6143,
0.156,0.6194,
0.1561,0.6143,
0.1563,0.6194,
0.1565,0.6194,
0.1566,0.6194,
0.1568,0.6194,
0.157,0.6143,
0.1571,0.6143,
0.1573,0.6194,
0.1575,0.6143,
0.1577,0.6194,
0.1579,0.6143,
0.1581,0.6143,
0.1583,0.6143,
0.1584,0.6143,
0.1586,0.6194,
0.1588,0.6143,
0.159,0.6194,
0.1592,0.6143,
0.1593,0.6143,
0.1595,0.6143,
0.1597,0.6143,
0.1605,0.6143,
0.1607,0.6194,
0.1609,0.6143,
0.1611,0.6143,
0.1613,0.6143,
0.1615,0.6143,
0.1616,0.6143,
0.1618,0.6143,
0.162,0.6194,
0.1622,0.6143,
0.1642,0.6143,
0.1644,0.6194,
0.1646,0.6194,
0.1647,0.6143,
0.1649,0.6194,
0.1651,0.6194,
0.1653,0.6143,
0.1654,0.6143,
0.1656,0.6143,
0.1658,0.6194,
0.1659,0.6194,
0.1661,0.6143,
0.1663,0.6143,
0.1665,0.6143,
0.1666,0.6194,
0.1668,0.6194,
0.1669,0.6194,
0.1671,0.6194,
0.1673,0.6194,
0.1675,0.6194,
0.1676,0.6194,
0.1678,0.6194,
0.168,0.6194,
0.1681,0.6194,
0.1683,0.6194,
0.1685,0.6194,
0.1686,0.6143,
0.1688,0.6143,
0.169,0.6194,
0.1692,0.6143,
0.1693,0.6143,
0.1695,0.6143,
0.1696,0.6194,
0.1698,0.6194,
0.17,0.6143,
0.1701,0.6143,
0.1703,0.6194,
0.1705,0.6143,
0.1707,0.6143,
0.1708,0.6194,
0.171,0.6194,
0.1711,0.6194,
0.1713,0.6194,
0.1715,0.6194,
0.1716,0.6143,
0.1718,0.6194,
0.172,0.6194,
0.1722,0.6194,
0.1723,0.6194,
0.1725,0.6194,
0.1727,0.6194,
0.1728,0.6143,
0.173,0.6143,
0.1732,0.6194,
0.1733,0.6143,
0.1735,0.6143,
0.1737,0.6194,
0.1738,0.6194,
0.174,0.6194,
0.1742,0.6194,
0.1743,0.6194,
0.1745,0.6143,
0.1747,0.6194,
0.1748,0.6143,
0.175,0.6143,
0.1752,0.6194,
0.1753,0.6194,
0.1755,0.6194,
0.1757,0.6194,
0.1758,0.6143,
0.176,0.6194,
0.1762,0.6194,
0.1764,0.6143,
0.1765,0.6143,
0.1767,0.6194,
0.1768,0.6194,
0.177,0.6194,
0.1772,0.6194,
0.1774,0.6143,
0.1775,0.6194,
0.1777,0.6194,
0.1779,0.6194,
0.178,0.6194,
0.1782,0.6194,
0.1784,0.6194,
0.1785,0.6194,
0.1787,0.6143,
0.1789,0.6143,
0.179,0.6194,
0.1792,0.6194,
0.1794,0.6194,
0.1795,0.6194,
0.1797,0.6143,
0.1799,0.6143,
0.18,0.6194,
0.1802,0.6143,
0.1804,0.6143,
0.1805,0.6194,
0.1807,0.6194,
0.1809,0.6194,
0.181,0.6194,
0.1812,0.6194,
0.1819,0.6194,
0.1821,0.6194,
0.1825,0.6143,
0.1826,0.6143,
0.1828,0.6194,
0.183,0.6143,
0.1832,0.6143,
0.1833,0.6194,
0.1835,0.6143,
0.1837,0.6194,
0.1838,0.6143,
0.184,0.6143,
0.1842,0.6194,
0.1844,0.6143,
0.1846,0.6194,
0.1848,0.6194,
0.1849,0.6143,
0.1851,0.6194,
0.1853,0.6194,
0.1855,0.6143,
0.1856,0.6143,
0.1858,0.6143,
0.186,0.6143,
0.1862,0.6143,
0.1863,0.6143,
0.1865,0.6143,
0.1867,0.6194,
0.1869,0.6194,
0.1871,0.6143,
0.1872,0.6143,
0.1874,0.6143,
0.1876,0.6143,
0.1878,0.6143,
0.1879,0.6143,
0.1881,0.6143,
0.1883,0.6143,
0.1885,0.6143,
0.1886,0.6143,
0.1888,0.6143,
0.189,0.6194,
0.1892,0.6194,
0.1893,0.6143,
0.1895,0.6194,
0.1897,0.6194,
0.1899,0.6143,
0.1902,0.6143,
0.1905,0.6143,
0.1907,0.6143,
0.1909,0.6143,
0.1911,0.6194,
0.1913,0.6194,
0.1915,0.6143,
0.1916,0.6194,
0.1918,0.6194,
0.192,0.6143,
0.1922,0.6194,
0.1923,0.6143,
0.1925,0.6143,
0.1927,0.6194,
0.1929,0.6194,
0.193,0.6194,
0.1932,0.6194,
0.1934,0.6194,
0.1935,0.6194,
0.1937,0.6143,
0.1938,0.6143,
0.194,0.6194,
0.1942,0.6194,
0.1943,0.6143,
0.1945,0.6143,
0.1947,0.6143,
0.1948,0.6194,
0.195,0.6194,
0.1952,0.6194,
0.1954,0.6143,
0.1955,0.6143,
0.1957,0.6143,
0.1959,0.6194,
0.196,0.6194,
0.1962,0.6143,
0.1964,0.6143,
0.1965,0.6143,
0.1967,0.6143,
0.1969,0.6143,
0.197,0.6143,
0.1972,0.6194,
0.1974,0.6194,
0.1975,0.6194,
0.1977,0.6143,
0.1979,0.6194,
0.1982,0.6143,
0.1984,0.6143,
0.1985,0.6143,
0.1987,0.6143,
0.1989,0.6194,
0.199,0.6194,
0.1992,0.6194,
0.1994,0.6194,
0.1995,0.6143,
0.1997,0.6143,
0.1999,0.6143,
0.2001,0.6143,
0.2002,0.6143,
0.2004,0.6143,
0.2006,0.6194,
0.2007,0.6143,
0.2009,0.6143,
0.2011,0.6143,
0.2012,0.6194,
0.2014,0.6194,
0.2016,0.6143,
0.2017,0.6143,
0.2024,0.6194,
0.2026,0.6194,
0.2028,0.6194,
0.2029,0.6194,
0.2031,0.6194,
0.2033,0.6194,
0.2034,0.6194,
0.2036,0.6194,
0.2038,0.6194,
0.2039,0.6143,
0.2041,0.6143,
0.2043,0.6194,
0.2044,0.6194,
0.2046,0.6143,
0.2048,0.6143,
0.2049,0.6194,
0.2051,0.6143,
0.2053,0.6194,
0.2055,0.6143,
0.2056,0.6143,
0.2058,0.6194,
0.2061,0.6143,
0.2063,0.6143,
0.2065,0.6143,
0.2066,0.6194,
0.2068,0.6194,
0.207,0.6194,
0.2072,0.6143,
0.2073,0.6143,
0.2075,0.6143,
0.2076,0.6143,
0.2078,0.6143,
0.208,0.6143,
0.2082,0.6143,
0.2083,0.6143,
0.2085,0.6143,
0.2087,0.6143,
0.2088,0.6194,
0.209,0.6194,
0.2092,0.6194,
0.2093,0.6194,
0.2095,0.6194,
0.2097,0.6143,
0.2098,0.6194,
0.21,0.6143,
0.2102,0.6143,
0.2104,0.6143,
0.2105,0.6143,
0.2107,0.6194,
0.2108,0.6194,
0.211,0.6143,
0.2112,0.6194,
0.2114,0.6194,
0.2115,0.6194,
0.2117,0.6143,
0.2118,0.6143,
0.212,0.6194,
0.2122,0.6194,
0.2123,0.6194,
0.2125,0.6194,
0.2127,0.6194,
0.2142,0.6194,
0.2147,0.6194,
0.2149,0.6194,
0.2151,0.6194,
0.2152,0.6194,
0.2154,0.6194,
0.2156,0.6194,
0.2158,0.6194,
0.2159,0.6194,
0.2161,0.6143,
0.2163,0.6143,
0.2164,0.6143,
0.2166,0.6143,
0.2168,0.6143,
0.2169,0.6194,
0.2171,0.6194,
0.2173,0.6143,
0.2174,0.6194,
0.2176,0.6194,
0.2178,0.6194,
0.2179,0.6143,
0.2181,0.6194,
0.2183,0.6194,
0.2184,0.6143,
0.2186,0.6143,
0.2188,0.6143,
0.2189,0.6143,
0.2191,0.6194,
0.2193,0.6194,
0.2194,0.6194,
0.2196,0.6143,
0.2198,0.6143,
0.2199,0.6194,
0.2201,0.6194,
0.2203,0.6194,
0.2294,0.6143,
0.2297,0.6194,
0.2301,0.6143,
0.2302,0.6143,
0.2304,0.6143,
0.2306,0.6194,
0.2308,0.6194,
0.2309,0.6143,
0.2311,0.6194,
0.2313,0.6143,
0.2314,0.6194,
0.2316,0.6194,
0.2318,0.6194,
0.2319,0.6194,
0.2321,0.6194,
0.2323,0.6194,
0.2324,0.6194,
0.2326,0.6194,
0.2328,0.6194,
0.2329,0.6194,
0.2331,0.6194,
0.2332,0.6194,
0.2334,0.6143,
0.2336,0.6143,
0.2337,0.6143,
0.2339,0.6194,
0.2341,0.6143,
0.2342,0.6143,
0.2344,0.6143,
0.2346,0.6194,
0.2347,0.6194,
0.2349,0.6194,
0.2351,0.6194,
0.2352,0.6194,
0.2354,0.6194,
0.2356,0.6194,
0.2357,0.6143,
0.2359,0.6143,
0.2361,0.6143,
0.2363,0.6143,
0.2364,0.6143,
0.2366,0.6143,
0.2368,0.6143,
0.237,0.6143,
0.2371,0.6143,
0.2373,0.6143,
0.2375,0.6194,
0.2376,0.6194,
0.2378,0.6194,
0.2381,0.6143,
0.2383,0.6143,
0.2384,0.6143,
0.2386,0.6143,
0.2388,0.6143,
0.2389,0.6143,
0.2391,0.6194,
0.2393,0.6194,
0.2394,0.6194,
0.2396,0.6194,
0.2398,0.6194,
0.2399,0.6143,
0.2401,0.6194,
0.2403,0.6143,
0.2404,0.6194,
0.2406,0.6194,
0.2408,0.6194,
0.241,0.6194,
0.2412,0.6194,
0.2414,0.6143,
0.2415,0.6194,
0.2417,0.6194,
0.2419,0.6194,
0.2421,0.6194,
0.2422,0.6194,
0.2424,0.6194,
0.2426,0.6194,
0.2428,0.6194,
0.2429,0.6194,
0.2431,0.6143,
0.2433,0.6194,
0.2435,0.6194,
0.2436,0.6143,
0.2438,0.6143,
0.244,0.6143,
0.2442,0.6143,
0.2443,0.6143,
0.2445,0.6194,
0.2447,0.6143,
0.2448,0.6143,
0.245,0.6143,
0.2452,0.6143,
0.2454,0.6194,
0.2456,0.6143,
0.2458,0.6143,
0.246,0.6194,
0.2462,0.6143,
0.2464,0.6194,
0.2466,0.6194,
0.2467,0.6194,
0.2469,0.6194,
0.2471,0.6194,
0.2472,0.6194,
0.2474,0.6194,
0.2476,0.6194,
0.2478,0.6143,
0.2479,0.6194,
0.2481,0.6194,
0.2483,0.6194,
0.2485,0.6143,
0.2486,0.6194,
0.2488,0.6143,
0.249,0.6194,
0.2492,0.6194,
0.2497,0.6194,
0.2499,0.6194,
0.2501,0.6194,
0.2503,0.6194,
0.2505,0.6143,
0.2508,0.6143,
0.2512,0.6143,
0.2514,0.6194,
0.2518,0.6143,
0.2526,0.6143,
0.2529,0.6143,
0.253,0.6194,
0.2532,0.6194,
0.2534,0.6143,
0.2535,0.6143,
0.2537,0.6143,
0.2541,0.6194,
0.2543,0.6143,
0.2545,0.6143,
0.2547,0.6194,
0.2552,0.6143,
0.2555,0.6143,
0.2557,0.6143,
0.2559,0.6194,
0.2561,0.6194,
0.2564,0.6143,
0.257,0.6143,
0.2571,0.6194,
0.2573,0.6194,
0.2575,0.6194,
0.2577,0.6143,
0.2578,0.6143,
0.258,0.6143,
0.2582,0.6143,
0.2583,0.6194,
0.2585,0.6143,
0.2591,0.6194,
0.2593,0.6143,
0.2595,0.6143,
0.2597,0.6143,
0.2599,0.6143,
0.2601,0.6194,
0.2603,0.6194,
0.2605,0.6194,
0.2607,0.6194,
0.2609,0.6194,
0.2611,0.6143,
0.2613,0.6194,
0.2614,0.6143,
0.2616,0.6194,
0.2618,0.6194,
0.2622,0.6143,
0.2624,0.6194,
0.2625,0.6194,
0.2627,0.6194,
0.2629,0.6194,
0.263,0.6194,
0.2632,0.6194,
0.2634,0.6143,
0.2636,0.6143,
0.2653,0.6143,
0.2658,0.6143,
0.2661,0.6143,
0.2664,0.6143,
0.2667,0.6194,
0.2669,0.6143,
0.2671,0.6194,
0.2673,0.6143,
0.2676,0.6143,
0.2678,0.6143,
0.268,0.6143,
0.2682,0.6194,
0.2684,0.6143,
0.2686,0.6194,
0.2688,0.6194,
0.269,0.6143,
0.2692,0.6194,
0.2694,0.6143,
0.2696,0.6194,
0.2698,0.6194,
0.2701,0.6143,
0.2703,0.6143,
0.2705,0.6194,
0.2707,0.6194,
0.2708,0.6194,
0.271,0.6194,
0.2712,0.6194,
0.2714,0.6194,
0.2715,0.6143,
0.2717,0.6143,
0.2719,0.6143,
0.2721,0.6143,
0.2723,0.6194,
0.2724,0.6143,
0.2726,0.6194,
0.2728,0.6143,
0.273,0.6194,
0.2732,0.6143,
0.2734,0.6143,
0.2735,0.6143,
0.2737,0.6143,
0.2739,0.6143,
0.2741,0.6194,
0.2743,0.6143,
0.2745,0.6143,
0.2746,0.6143,
0.2749,0.6143,
0.2752,0.6143,
0.2754,0.6143,
0.2755,0.6194,
0.2757,0.6143,
0.276,0.6143,
0.2763,0.6143,
0.2765,0.6143,
0.2767,0.6143,
0.2769,0.6143,
0.2771,0.6143,
0.2773,0.6143,
0.2775,0.6143,
