JS Status,JS X-Coord,JS Y-Coord,DAC X-value,DAC Y-value,HPC-1 RPM,HPC-2 RPM
FN,0,82,0,587,0,0
FN,0,325,0,796,0,0
FN,0,521,0,960,0,0
FN,0,563,0,996,0,0
FN,0,550,0,985,0,0
FN,0,412,0,869,0,0
FN,0,111,0,613,0,0
FN,0,32,0,544,0,0
FN,0,35,0,547,0,0
FN,0,23,0,536,0,0
FN,0,22,0,535,0,0
FN,0,48,0,558,502,541
FN,0,31,0,543,623,661
FN,0,52,0,561,525,594
FN,0,11,0,526,0,0
FN,0,23,0,536,480,527
FN,0,33,0,545,532,596
FN,0,34,0,546,568,626
FN,0,46,0,556,574,630
FN,0,48,0,558,607,649
FN,0,64,0,572,632,697
FN,0,67,0,574,708,754
FN,0,76,0,582,723,786
FN,0,87,0,592,721,778
FN,0,88,0,593,779,833
FN,0,93,0,597,807,870
FN,0,95,0,599,799,874
FN,0,108,0,610,806,867
FN,0,114,0,615,820,879
FN,0,118,0,619,863,925
FN,0,121,0,621,879,957
FN,0,127,0,626,916,982
FN,0,140,0,638,911,972
FN,0,144,0,641,964,1025
FN,0,153,0,649,974,1060
FN,0,161,0,656,962,1047
FN,0,166,0,660,1039,1120
FN,0,27,0,540,0,0
FN,0,36,0,548,478,466
FN,0,46,0,556,592,656
FN,0,75,0,581,613,654
FN,0,83,0,588,762,819
FN,0,99,0,602,766,829
FN,0,110,0,612,769,833
FN,0,113,0,614,805,859
FN,0,115,0,616,831,910
FN,0,116,0,617,881,937
FN,0,130,0,629,903,977
FN,0,131,0,630,907,975
FN,0,134,0,632,915,978
FN,0,152,0,648,942,997
FN,0,153,0,649,958,1024
FN,0,155,0,651,958,1039
FN,0,161,0,656,997,1058
FN,0,179,0,671,1094,1156
FN,0,182,0,674,1088,1152
FN,0,201,0,690,1135,1193
FN,0,217,0,704,1213,1280
FN,0,233,0,718,1256,1330
FN,0,238,0,723,1297,1386
FN,0,250,0,733,1347,1415
FN,0,255,0,737,1360,1437
FN,0,256,0,738,1381,1455
FN,0,274,0,754,1420,1501
FN,0,290,0,767,1482,1552
FN,0,311,0,785,1555,1643
FN,0,321,0,793,1595,1671
FN,0,325,0,796,1615,1724
FN,0,328,0,799,1647,1728
FN,0,338,0,807,1697,1781
FN,0,339,0,808,1702,1785
FN,0,340,0,809,1702,1791
FN,0,344,0,812,1707,1791
FN,0,351,0,818,1721,1805
FN,0,358,0,824,1758,1829
FN,0,362,0,827,1769,1858
FN,0,369,0,833,1793,1865
FN,0,394,0,854,1848,1917
FN,0,405,0,863,1898,1972
FN,0,414,0,871,1978,2060
FN,0,426,0,881,1997,2084
FN,0,429,0,883,2000,2086
FN,0,445,0,897,2014,2113
FN,0,449,0,900,2018,2141
FN,0,456,0,906,2064,2160
FN,0,476,0,923,2162,2264
FN,0,481,0,927,2162,2272
FN,0,483,0,929,2193,2289
FN,0,490,0,934,2253,2342
FN,0,506,0,948,2290,2383
FN,0,508,0,950,2286,2391
FN,0,522,0,961,2309,2403
FN,0,541,0,977,2411,2503
FN,0,550,0,985,2469,2564
FN,0,582,0,1013,2505,2608
FN,0,596,0,1025,2511,2623
FN,0,604,0,1032,2535,2630
FN,0,622,0,1047,2705,2805
FN,0,625,0,1050,2735,2876
FN,0,631,0,1055,2789,2883
FN,0,651,0,1073,2806,2902
FN,0,662,0,1082,2811,2929
FN,0,665,0,1085,2838,2939
FN,0,704,0,1119,2915,3035
FN,0,726,0,1138,3082,3180
FN,0,742,0,1152,3148,3235
FN,0,751,0,1159,3169,3280
FN,0,767,0,1173,3196,3305
FN,0,778,0,1183,3228,3321
FN,0,792,0,1196,3291,3434
FN,0,809,0,1210,3412,3514
FN,0,827,0,1226,3468,3595
FN,0,862,0,1256,3567,3696
FN,0,880,0,1271,3640,3744
FN,0,892,0,1281,3735,3829
FN,0,910,0,1297,3701,3888
FN,0,922,0,1307,3704,3951
FN,0,934,0,1317,3909,3990
FN,0,966,0,1345,3938,4062
FN,0,977,0,1354,4064,4187
FN,0,976,0,1353,4114,4236
FN,0,974,0,1351,4118,4235
FN,0,972,0,1350,4103,4256
FN,0,966,0,1345,4098,4223
FN,0,944,0,1326,4098,4196
FN,0,921,0,1306,4008,4161
FN,0,903,0,1291,3950,4050
FN,0,893,0,1282,3900,4056
FN,0,878,0,1269,3899,4002
FN,0,865,0,1258,3817,3871
FN,0,861,0,1255,3744,3866
FN,0,836,0,1233,3711,3846
FN,0,806,0,1208,3677,3812
FN,0,778,0,1183,3517,3656
FN,0,720,0,1132,3339,3480
FN,0,675,0,1093,3158,3291
FN,0,644,0,1067,3073,3193
FN,0,591,0,1021,2857,2986
FN,0,544,0,980,2583,2728
FN,0,503,0,945,2490,2618
FN,0,462,0,911,2398,2508
FN,0,414,0,871,2187,2310
FN,0,382,0,844,2044,2131
FN,0,346,0,814,1820,1924
FN,0,297,0,773,1734,1830
FN,0,246,0,729,1568,1682
FN,0,237,0,722,1568,1638
FN,0,226,0,712,1440,1545
FN,0,177,0,670,1220,1321
FN,0,119,0,619,1084,1165
FN,0,104,0,606,1059,1134
FN,0,79,0,585,990,1081
FN,0,26,0,539,688,780
FN,0,19,0,533,0,0
FN,0,29,0,541,447,441
FN,0,44,0,554,49,82
FN,0,48,0,558,494,451
FN,0,49,0,559,635,705
FN,0,71,0,578,619,670
FN,0,72,0,579,609,664
FN,0,74,0,580,710,777
FN,0,79,0,585,749,796
FN,0,98,0,601,744,806
FN,0,132,0,631,829,887
FN,0,144,0,641,928,978
FN,0,158,0,653,996,1051
FN,0,177,0,670,1044,1100
FN,0,182,0,674,1057,1130
FN,0,186,0,677,1109,1167
FN,0,205,0,694,1171,1242
FN,0,206,0,695,1153,1227
FN,0,211,0,699,1208,1268
FN,0,218,0,705,1272,1337
FN,0,224,0,710,1291,1359
FN,0,167,0,661,1288,1367
FN,0,20,0,534,267,230
FN,0,63,0,571,144,165
FN,0,115,0,616,695,736
FN,0,206,0,695,902,951
FN,0,260,0,742,1303,1350
FN,0,214,0,702,1360,1406
FN,0,14,0,528,0,0
FN,0,31,0,543,0,67
FN,0,44,0,554,467,463
FN,0,55,0,564,614,665
FN,0,67,0,574,625,690
FN,0,92,0,596,666,716
FN,0,113,0,614,829,886
FN,0,133,0,632,834,902
FN,0,145,0,642,869,928
FN,0,166,0,660,935,992
FN,0,193,0,684,1095,1152
FN,0,218,0,705,1127,1192
FN,0,233,0,718,1148,1208
FN,0,268,0,749,1274,1379
FN,0,278,0,757,1361,1425
FN,0,291,0,768,1444,1498
FN,0,323,0,795,1504,1579
FN,0,360,0,826,1722,1791
FN,0,374,0,837,1736,1811
FN,0,436,0,889,1841,1915
FN,0,454,0,904,1908,1997
FN,0,481,0,927,2010,2086
FN,0,504,0,946,2252,2333
FN,0,428,0,883,2370,2456
FN,0,404,0,863,2363,2453
FN,0,21,0,535,2260,2384
FN,0,113,0,614,0,0
FN,0,150,0,646,835,860
FN,0,148,0,645,1054,1116
FN,0,150,0,646,987,1065
FN,0,183,0,675,980,1043
FN,0,186,0,677,990,1065
FN,0,211,0,699,1139,1177
FN,0,228,0,714,1236,1282
FN,0,262,0,743,1318,1377
FN,0,303,0,778,1415,1479
FN,0,332,0,802,1540,1599
FN,0,355,0,822,1725,1800
FN,0,366,0,831,1761,1837
FN,0,376,0,839,1773,1863
FN,0,392,0,852,1828,1894
FN,0,411,0,868,1861,1962
FN,0,424,0,879,1932,2012
FN,0,448,0,899,2009,2093
FN,0,479,0,925,2094,2178
FN,0,524,0,963,2287,2375
FN,0,507,0,949,2343,2429
FN,0,485,0,930,2399,2524
FN,0,445,0,897,2426,2550
FN,0,341,0,810,2242,2357
FN,0,296,0,772,1936,2072
FN,0,254,0,736,1745,1885
FN,0,83,0,588,1436,1585
FN,0,901,0,1289,0,0
FN,0,899,0,1287,2357,1937
FN,0,900,0,1288,4256,4398
FN,0,899,0,1287,3870,3941
FN,0,898,0,1286,3762,3949
