HPC-1 RPM,HPC-2 RPM
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
502,541
623,661
525,594
0,0
480,527
532,596
568,626
574,630
607,649
632,697
708,754
723,786
721,778
779,833
807,870
799,874
806,867
820,879
863,925
879,957
916,982
911,972
964,1025
974,1060
962,1047
1039,1120
0,0
478,466
592,656
613,654
762,819
766,829
769,833
805,859
831,910
881,937
903,977
907,975
915,978
942,997
958,1024
958,1039
997,1058
1094,1156
1088,1152
1135,1193
1213,1280
1256,1330
1297,1386
1347,1415
1360,1437
1381,1455
1420,1501
1482,1552
1555,1643
1595,1671
1615,1724
1647,1728
1697,1781
1702,1785
1702,1791
1707,1791
1721,1805
1758,1829
1769,1858
1793,1865
1848,1917
1898,1972
1978,2060
1997,2084
2000,2086
2014,2113
2018,2141
2064,2160
2162,2264
2162,2272
2193,2289
2253,2342
2290,2383
2286,2391
2309,2403
2411,2503
2469,2564
2505,2608
2511,2623
2535,2630
2705,2805
2735,2876
2789,2883
2806,2902
2811,2929
2838,2939
2915,3035
3082,3180
3148,3235
3169,3280
3196,3305
3228,3321
3291,3434
3412,3514
3468,3595
3567,3696
3640,3744
3735,3829
3701,3888
3704,3951
3909,3990
3938,4062
4064,4187
4114,4236
4118,4235
4103,4256
4098,4223
4098,4196
4008,4161
3950,4050
3900,4056
3899,4002
3817,3871
3744,3866
3711,3846
3677,3812
3517,3656
3339,3480
3158,3291
3073,3193
2857,2986
2583,2728
2490,2618
2398,2508
2187,2310
2044,2131
1820,1924
1734,1830
1568,1682
1568,1638
1440,1545
1220,1321
1084,1165
1059,1134
990,1081
688,780
0,0
447,441
49,82
494,451
635,705
619,670
609,664
710,777
749,796
744,806
829,887
928,978
996,1051
1044,1100
1057,1130
1109,1167
1171,1242
1153,1227
1208,1268
1272,1337
1291,1359
1288,1367
267,230
144,165
695,736
902,951
1303,1350
1360,1406
0,0
0,67
467,463
614,665
625,690
666,716
829,886
834,902
869,928
935,992
1095,1152
1127,1192
1148,1208
1274,1379
1361,1425
1444,1498
1504,1579
1722,1791
1736,1811
1841,1915
1908,1997
2010,2086
2252,2333
2370,2456
2363,2453
2260,2384
0,0
835,860
1054,1116
987,1065
980,1043
990,1065
1139,1177
1236,1282
1318,1377
1415,1479
1540,1599
1725,1800
1761,1837
1773,1863
1828,1894
1861,1962
1932,2012
2009,2093
2094,2178
2287,2375
2343,2429
2399,2524
2426,2550
2242,2357
1936,2072
1745,1885
1436,1585
0,0
2357,1937
4256,4398
3870,3941
3762,3949
