degrees,values
10001,-0.9816
10002,-0.9781
10003,-0.9744
10004,-0.9703
10005,-0.9659
10006,-0.9613
10007,-0.9563
10008,-0.9511
10009,-0.9455
10010,-0.9397
10011,-0.9336
10012,-0.9272
10013,-0.9205
10014,-0.9135
10015,-0.9063
10016,-0.8988
10017,-0.891
10018,-0.8829
10019,-0.8746
10020,-0.866
10021,-0.8572
10022,-0.848
10023,-0.8387
10024,-0.829
10025,-0.8192
10026,-0.809
10027,-0.7986
10028,-0.788
10029,-0.7771
10030,-0.766
10031,-0.7547
10032,-0.7431
10033,-0.7314
10034,-0.7193
10035,-0.7071
10036,-0.6947
10037,-0.682
10038,-0.6691
10039,-0.6561
10040,-0.6428
10041,-0.6293
10042,-0.6157
10043,-0.6018
10044,-0.5878
10045,-0.5736
10046,-0.5592
10047,-0.5446
10048,-0.5299
10049,-0.515
10050,-0.5
10051,-0.4848
10052,-0.4695
10053,-0.454
10054,-0.4384
10055,-0.4226
10056,-0.4067
10057,-0.3907
10058,-0.3746
10059,-0.3584
10060,-0.342
10061,-0.3256
10062,-0.309
10063,-0.2924
10064,-0.2756
10065,-0.2588
10066,-0.2419
10067,-0.225
10068,-0.2079
10069,-0.1908
10070,-0.1736
10071,-0.1564
10072,-0.1392
10073,-0.1219
10074,-0.1045
10075,-0.0872
10076,-0.0698
10077,-0.0523
10078,-0.0349
10079,-0.0175
10080,-0.0
10081,0.0175
10082,0.0349
10083,0.0523
10084,0.0698
10085,0.0872
10086,0.1045
10087,0.1219
10088,0.1392
10089,0.1564
10090,0.1736
10091,0.1908
10092,0.2079
10093,0.225
10094,0.2419
10095,0.2588
10096,0.2756
10097,0.2924
10098,0.309
10099,0.3256
10100,0.342
10101,0.3584
10102,0.3746
10103,0.3907
10104,0.4067
10105,0.4226
10106,0.4384
10107,0.454
10108,0.4695
10109,0.4848
10110,0.5
10111,0.515
10112,0.5299
10113,0.5446
10114,0.5592
10115,0.5736
10116,0.5878
10117,0.6018
10118,0.6157
10119,0.6293
10120,0.6428
